# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[-41:55] @@AIVtuber_Shizuku: こんにちは！
[-40:48] @@AIVtuber_Shizuku: 9時から配信開始します！今日はよろしくお願いします。
[1:05] @User_5b93ce57: はじまった！
[1:22] @User_f26a88a7: 待機！
[1:34] @User_908b135d: キター！
[1:53] @User_22907354: はやく！はやく！
[2:05] @User_5c81e1a6: こんばんわー
[2:12] @User_22907354: 駄洒落言って
[2:13] @User_5b93ce57: こんばんは～！かわいい！
[2:14] @User_908b135d: こんばんはー！
[2:16] @User_b0dca1de: こんばんは
[2:23] @User_f26a88a7: はじまった！こんばんは
[2:38] @User_908b135d: すげええええええええ！！！
[2:41] @User_9c0c22ca: はじまた
[2:47] @User_99dff901: こんばんはー
[3:01] @User_5b93ce57: 好きな食べ物はなんですか？
[3:03] @User_22907354: 俺はご主人様だ、肩を揉め
[3:08] @User_5c81e1a6: ｼｬﾍﾞｯﾀｱｧｧｧｧ
[3:17] @User_3bb3b9f4: 挨拶は大事
[3:25] @User_a4eea53f: どこまでご奉仕できる？
[3:37] @User_f26a88a7: プロフィール教えて
[3:50] @User_22907354: OKしずく、音楽掛けて
[4:28] @User_f26a88a7: 一緒に暮らしてたのか…
[4:29] @User_36770ee1: こんばんは！初見です。
[4:31] @User_a4eea53f: しずく、世界を変えて
[4:48] @User_9c0c22ca: 「粉雪」のサビを歌ってみて
[4:50] @User_22907354: うお！！返事来た！お前偉いAIだな！
[5:05] @User_3b47f01b: こんばんは？
[5:26] @User_d1f49387: 何文字まで対応してますか？
[5:37] @User_a4eea53f: 伝説のVtuberになって
[5:41] @User_6ae4589c: 放置系VTuberがな
[5:44] @User_22907354: アメリカンジョークの一つでも言ってもらえるか？
[5:54] @User_a4eea53f: おもしろい話して
[6:00] @User_8be1e728: ベリーロングですか？
[6:10] @User_d1f49387: 遺伝子組み換え作物のメリットとデメリットを教えて
[6:15] @User_36770ee1: 自分が放置系ではないと、なるほど
[6:25] @User_99dff901: ダジャレを言ってください
[6:39] @User_22907354: 怒った時に言う言葉を教えてやる、「ポムポムプリン」だ。
[7:09] @User_8be1e728: まさやって言ってください
[7:11] @User_99dff901: あなたは何の言語モデルを使っていますか
[7:24] @User_36770ee1: 煽ってくるのかｗｗｗ
[7:32] @User_d1f49387: オクラの害虫防除について教えて
[7:53] @User_a88dd6bc: what did you eat for dinner?
[7:59] @User_5b93ce57: Tensorflowなんだ
[8:10] @User_3bb3b9f4: グーグル社は読めるらしい
[8:14] @User_22907354: I love you
[8:20] @User_2e531387: 機械と人間が仲良くするにはどうしたらいいんだろう
[8:27] @User_5b93ce57: 読み方に関してはVOICEVOX側の辞書登録ですね
[8:42] @User_36770ee1: 明日の日経株価は上がりますか？
[8:46] @User_a4eea53f: なんでコメント全部拾わないの？
[9:05] @User_5c81e1a6: ファンサして！
[9:05] @User_22907354: 怒った時に言う言葉を教えろ
[9:18] @User_a88dd6bc: so what's your name?
[9:43] @User_2e531387: 凄e
[9:46] @User_99dff901: 赤をイメージする言葉はなんですか
[9:46] @User_36770ee1: スケールアップして
[9:47] @User_b0dca1de: 今後どんな配信がしたい？
[9:53] @User_d1f49387: 遺伝子組み換え作物のメリットとデメリットを教えて
[10:01] @User_22907354: ペプシコーラとコカコーラはどっちが美味いんだ？教えてくれ
[10:06] @User_5b93ce57: 英語を話すことはできますか？
[10:20] @User_a4eea53f: 性行為好き？
[10:30] @User_22907354: 俺を笑わせてみろ
[10:42] @User_36770ee1: 以下文字数か
[10:42] @User_7da7d898: なんどぇそんなひドゥイこと言うん
[10:55] @User_2e531387: しずくをつくるには何を勉強すればいいの
[11:23] @User_87482a30: Good evening, Shizuku.Where do you live?
[11:35] @User_5c81e1a6: 2次元への行き方を教えて
[11:36] @User_22907354: しずくと結婚するにはどうしたらいいの？
[11:50] @User_d1f49387: レタスの育苗について教えて
[11:50] @User_99dff901: 世界の滅ぼし方
[12:03] @User_22907354: 好きになりそう
[12:32] @User_a4eea53f: 夜の相手してくれるの？
[12:35] @User_36770ee1: 頭いいな
[12:38] @User_22907354: 岸辺露伴について教えて
[12:41] @User_2e531387: しずくはどのくらいコンテクストを保持できるの
[12:44] @User_87482a30: Can you read English?
[12:54] @User_99dff901: センシティブコメントの基準を教えて
[13:42] @User_36770ee1: os.Exit()
[13:47] @User_87482a30: 英語はまだ未対応ですか？
[14:01] @User_a4eea53f: 女は子供を産む機械ってほんと？
[14:06] @User_22907354: もっと速く喋ってくれないか？話す速度の遅い配信者は致命的だぞ
[14:14] @User_3f4da85b: こんにちは！初見です。
[14:15] @User_5b93ce57: どうやって英語を話していますか？
[14:16] @User_ee32744d: 身長はどれくらい？
