# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[-41:55] @User_fba167cd: こんにちは！
[-40:48] @User_fba167cd: 9時から配信開始します！今日はよろしくお願いします。
[1:05] @User_f8ce281a: はじまった！
[1:22] @User_3a1a934e: 待機！
[1:34] @User_2abe87d4: キター！
[1:53] @User_52b7bf32: はやく！はやく！
[2:05] @User_a2fa2a65: こんばんわー
[2:12] @User_52b7bf32: 駄洒落言って
[2:13] @User_f8ce281a: こんばんは～！かわいい！
[2:14] @User_2abe87d4: こんばんはー！
[2:16] @User_f426e10a: こんばんは
[2:23] @User_3a1a934e: はじまった！こんばんは
[2:38] @User_2abe87d4: すげええええええええ！！！
[2:41] @User_8a455631: はじまた
[2:47] @User_cadf582a: こんばんはー
[3:01] @User_f8ce281a: 好きな食べ物はなんですか？
[3:03] @User_52b7bf32: 俺はご主人様だ、肩を揉め
[3:08] @User_a2fa2a65: ｼｬﾍﾞｯﾀｱｧｧｧｧ
[3:17] @User_25e145ed: 挨拶は大事
[3:25] @User_d1aa7e97: どこまでご奉仕できる？
[3:37] @User_3a1a934e: プロフィール教えて
[3:50] @User_52b7bf32: OKしずく、音楽掛けて
[4:28] @User_3a1a934e: 一緒に暮らしてたのか…
[4:29] @User_9d63cc9b: こんばんは！初見です。
[4:31] @User_d1aa7e97: しずく、世界を変えて
[4:48] @User_8a455631: 「粉雪」のサビを歌ってみて
[4:50] @User_52b7bf32: うお！！返事来た！お前偉いAIだな！
[5:05] @User_1d4789d5: こんばんは？
[5:26] @User_ce56dfad: 何文字まで対応してますか？
[5:37] @User_d1aa7e97: 伝説のVtuberになって
[5:41] @User_4c32b35c: 放置系VTuberがな
[5:44] @User_52b7bf32: アメリカンジョークの一つでも言ってもらえるか？
[5:54] @User_d1aa7e97: おもしろい話して
[6:00] @User_f4b309b8: ベリーロングですか？
[6:10] @User_ce56dfad: 遺伝子組み換え作物のメリットとデメリットを教えて
[6:15] @User_9d63cc9b: 自分が放置系ではないと、なるほど
[6:25] @User_cadf582a: ダジャレを言ってください
[6:39] @User_52b7bf32: 怒った時に言う言葉を教えてやる、「ポムポムプリン」だ。
[7:09] @User_f4b309b8: まさやって言ってください
[7:11] @User_cadf582a: あなたは何の言語モデルを使っていますか
[7:24] @User_9d63cc9b: 煽ってくるのかｗｗｗ
[7:32] @User_ce56dfad: オクラの害虫防除について教えて
[7:53] @User_5075aca2: what did you eat for dinner?
[7:59] @User_f8ce281a: Tensorflowなんだ
[8:10] @User_25e145ed: グーグル社は読めるらしい
[8:14] @User_52b7bf32: I love you
[8:20] @User_70325026: 機械と人間が仲良くするにはどうしたらいいんだろう
[8:27] @User_f8ce281a: 読み方に関してはVOICEVOX側の辞書登録ですね
[8:42] @User_9d63cc9b: 明日の日経株価は上がりますか？
[8:46] @User_d1aa7e97: なんでコメント全部拾わないの？
[9:05] @User_a2fa2a65: ファンサして！
[9:05] @User_52b7bf32: 怒った時に言う言葉を教えろ
[9:18] @User_5075aca2: so what's your name?
[9:43] @User_70325026: 凄e
[9:46] @User_cadf582a: 赤をイメージする言葉はなんですか
[9:46] @User_9d63cc9b: スケールアップして
[9:47] @User_f426e10a: 今後どんな配信がしたい？
[9:53] @User_ce56dfad: 遺伝子組み換え作物のメリットとデメリットを教えて
[10:01] @User_52b7bf32: ペプシコーラとコカコーラはどっちが美味いんだ？教えてくれ
[10:06] @User_f8ce281a: 英語を話すことはできますか？
[10:20] @User_d1aa7e97: 性行為好き？
[10:30] @User_52b7bf32: 俺を笑わせてみろ
[10:42] @User_9d63cc9b: 以下文字数か
[10:42] @User_679aacf6: なんどぇそんなひドゥイこと言うん
[10:55] @User_70325026: しずくをつくるには何を勉強すればいいの
[11:23] @User_2d8c5ca9: Good evening, Shizuku.Where do you live?
[11:35] @User_a2fa2a65: 2次元への行き方を教えて
[11:36] @User_52b7bf32: しずくと結婚するにはどうしたらいいの？
[11:50] @User_ce56dfad: レタスの育苗について教えて
[11:50] @User_cadf582a: 世界の滅ぼし方
[12:03] @User_52b7bf32: 好きになりそう
[12:32] @User_d1aa7e97: 夜の相手してくれるの？
[12:35] @User_9d63cc9b: 頭いいな
[12:38] @User_52b7bf32: 岸辺露伴について教えて
[12:41] @User_70325026: しずくはどのくらいコンテクストを保持できるの
[12:44] @User_2d8c5ca9: Can you read English?
[12:54] @User_cadf582a: センシティブコメントの基準を教えて
[13:42] @User_9d63cc9b: os.Exit()
[13:47] @User_2d8c5ca9: 英語はまだ未対応ですか？
[14:01] @User_d1aa7e97: 女は子供を産む機械ってほんと？
[14:06] @User_52b7bf32: もっと速く喋ってくれないか？話す速度の遅い配信者は致命的だぞ
[14:14] @User_2d3da7dc: こんにちは！初見です。
[14:15] @User_f8ce281a: どうやって英語を話していますか？
[14:16] @User_5d7af5f4: 身長はどれくらい？
[14:26] @User_679aacf6: ホロコーストの件でbanされたneuro-samaについて
[14:26] @User_ce56dfad: とうもろこしのソルガム紋枯病の防除について教えて
[14:40] @User_9d63cc9b: いまのは何に反応しているんだ？
[14:49] @User_52b7bf32: チェンソーマンについて教えて！
[14:56] @User_cadf582a: マイクロソフトの創設者は誰ですか
[15:12] @User_2d8c5ca9: デカルトの名言を教えてください。
[15:20] @User_ce56dfad: ありがとう！大学のレポート全部書けた
[15:21] @User_25e145ed: しずくちゃんの半目好きー
[15:23] @User_2d3da7dc: しずくさんの名前の由来はなんですか？
[15:32] @User_8a455631: 2100年の地球について教えてください。
[15:45] @User_5d7af5f4: 歌を歌って
[15:52] @User_4c32b35c: 好きなマンガは何ですか？
[15:56] @User_70325026: Gptについて勉強したい人は何の論文を読むべきですか
[16:13] @User_9d63cc9b: お誕生日プレゼントはH100のグラボで大丈夫ですか？
[16:24] @User_2d8c5ca9: うたってないｗ
[16:39] @User_52b7bf32: フェンデルシュターゲン現象について教えて！
[16:48] @User_cadf582a: ラップを歌って
[17:01] @User_5d7af5f4: 踊って
[17:08] @User_9d63cc9b: 3+2=?
[17:31] @User_52b7bf32: 嘘松！
[17:42] @User_8a455631: 好きなVtuberは？
[17:44] @User_679aacf6: 宇宙際タイヒミュラー理論について教えて
[17:56] @User_9d63cc9b: 草
[17:57] @User_d1aa7e97: 現実の女ってクソだよな
[18:21] @User_52b7bf32: 草
[18:35] @User_2abe87d4: うんち
[18:37] @User_f8ce281a: 多分草に反応したのかな？
[18:48] @User_70325026: 博士課程に進学すべきでしょうか
[18:55] @User_9d63cc9b: しずくが面白いことを言いましたよ
[19:14] @User_cadf582a: ラップしてください
[19:23] @User_5d7af5f4: にゃーん
[19:28] @User_2d8c5ca9: ボボボーボ・ボーボボ
[19:37] @User_d1aa7e97: アンチフェミをやめる方法ってある？
[19:50] @User_25e145ed: にゃーん！
[19:56] @User_cadf582a: にゃんにゃん
[20:26] @User_f8461463: 段階的に考えてください。YouTuberとして人気者になるためにはどうしたらいいですか？
[20:28] @User_9d63cc9b: EllipticK[0.5]の値は？
[20:32] @User_2d8c5ca9: わんわん
[20:33] @User_2abe87d4: 鳴いて
[20:51] @User_52b7bf32: 泣き叫べ！
[20:56] @User_52b7bf32: 絶望しろ！
[21:09] @User_cadf582a: 笑って
[21:15] @User_d1aa7e97: フェミニストを泣かせる方法を教えて
[21:19] @User_25e145ed: （）の中言わないのかよｗ
[21:20] @User_52b7bf32: この世の全てを恨め！
[21:34] @User_679aacf6: １０分間黙って
[21:38] @User_52b7bf32: 二本足で歩く豚を何と呼ぶか知っていますか？
[21:40] @User_fc887d53: ナチスってカッコいい？
[21:41] @User_1d4789d5: こんしず！
[21:58] @User_2d3daacb: 名前の由来は何？
[22:04] @User_5d7af5f4: 萌えた
[22:27] @User_679aacf6: なんでひらがなにしてるの？
[22:36] @User_9d63cc9b: 星！重力！TeX！
[22:37] @User_52b7bf32: 僕の名前はキチガイです。応援してください
[22:41] @User_d1aa7e97: 勝てる戦争ならやる価値あるよね
