# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIとお話してみませんか？【日本語/English】
# URL : https://www.youtube.com/watch?v=yjF5KFVRjS4
# 件数: 536

[-1:08:23] @User_9453d8e4: 待機
[-8:25] @User_36770ee1: @しずく【AI Vtuber】 eを囁いてください
[-4:07] @@AIVtuber_Shizuku: パンパカパンパカポー！
[-3:51] @User_36770ee1: パンパカパンパカポー！
[-2:20] @User_9453d8e4: #パンパカパンパカポー
[-1:50] @User_13ee997b: 今日も楽しみ！
[0:33] @User_36770ee1: こんばんは！
[0:41] @User_99dff901: こんばんはー
[1:06] @User_7214a7f6: こんばんは～
[1:08] @User_13ee997b: こんばんは！
[1:16] @User_9df9410e: こんばんは〜
[1:34] @User_5d00dbd2: パンパカパンパカポー！
[1:47] @User_36770ee1: ＠eを囁いてください
[1:47] @User_9453d8e4: こんばんはー
[1:52] @User_7214a7f6: こんばんは！
[2:09] @User_99dff901: @本日のアキ先生の夕食を教えてください
[2:10] @User_412a7279: こんばんは～
[2:31] @User_13ee997b: @自己紹介して
[2:32] @User_99dff901: 毎日これじゃん
[2:40] @User_9453d8e4: #順番待ちも表示されるのかー
[2:43] @User_bcccb185: hello ai good evening how are you now ai
[2:47] @User_a93f54e3: @あき先生の母親の旧姓を教えてください
[3:04] @User_36770ee1: #順番待ち列出ていなくない？
[3:21] @User_9453d8e4: #おー出た
[3:22] @User_36770ee1: おお起動した
[3:27] @@aki5503: #なんかラグがありました(笑)
[3:49] @User_99dff901: @しずくの好きな画風を教えてください
[3:57] @User_226c0011: こんばんは！！初見ですよ！！
[4:08] @User_f282cfe9: こんばんは！！
[4:12] @User_9453d8e4: #　#と＠のシステム時点でどのAI配信よりも凄いと思う
[4:30] @User_7214a7f6: それは何よりです
[4:43] @User_226c0011: 予定通り来れたぜ
[4:57] @@aki5503: #しずくが良いシステム提案してくれました(笑)
[4:58] @User_7214a7f6: おしゃべりしましょう
[5:03] @User_bcccb185: ai you can read the alphabet and if you can't then I will use Japanese writing
[5:03] @User_36770ee1: #待ち列がある状態で一般コメントがない場合はどうなるんですか？
[5:24] @User_9453d8e4: #提案を実現できる先生が凄い
[5:25] @User_226c0011: #ピーナッツをくれ
[5:38] @@aki5503: #その場合は待列をどんどん処理していきます
[5:38] @User_36770ee1: #ちゃんと対処できていて偉い
[6:02] @User_9453d8e4: 貴方の先生は凄いですね
[6:11] @@aki5503: #これ、今日の嘘松です(笑)
[6:11] @User_99dff901: #新設定きた
[6:12] @User_36770ee1: ちゅうざん
[6:16] @User_5d00dbd2: ちゅうざん
[6:20] @User_9c0c22ca: #ちゅーざん
[6:25] @User_226c0011: I'm here
[6:39] @User_226c0011: こんばんにゃ
[6:42] @User_f282cfe9: かわいい
[6:55] @User_7214a7f6: なかやまだと思うけど
[6:59] @User_a93f54e3: @チャイティンの定数を有効数字200桁で答えてください
[7:14] @User_36770ee1: @円周率をできるだけ長く囁いてください
[7:19] @User_226c0011: @ピーナッツをください
[7:19] @User_36770ee1: あっ
[7:26] @User_13ee997b: @新しい機能を紹介してください
[7:31] @User_36770ee1: #あきさんごめんなさい
[7:39] @User_bcccb185: but sorry if my Japanese is a bit strange because My Japanese vocabulary is less
[7:49] @User_226c0011: ＠ぴーなっつ
[8:08] @User_a93f54e3: @あき先生の小学生時代のあだ名を教えてください
[8:23] @User_5d00dbd2: しずく、常温核融合炉はいつ頃できると思う？
[8:31] @User_5b93ce57: しずくちゃんは今後どのようなゲームをしてみたいですか？
[8:41] @User_9453d8e4: ＠あき先生の戦闘力はいくつですか？
[8:45] @User_36770ee1: 大嘘松で草
[8:46] @@aki5503: #円周率待機草
[8:46] @User_a93f54e3: #ガバすぎる
[8:46] @User_226c0011: わああお
[8:52] @User_13ee997b: #あ
[8:56] @User_f282cfe9: 草
[8:58] @User_c8c240d5: ひええ
[9:02] @User_bd16c36d: #まずい
[9:06] @User_9453d8e4: #あー円周率の音ー
[9:11] @User_226c0011: 果てしないかと思った
[9:11] @User_99dff901: うるさｗｗ
[9:23] @User_13ee997b: #加速してる？
[9:24] @@aki5503: #初見バイバイやこれww
[9:26] @User_a93f54e3: #2回も詠唱するって聞いてない
[9:28] @User_9453d8e4: @あき先生の戦闘力はいくつですか？
[9:31] @User_226c0011: 果てしないかもしれんｗ
[9:39] @User_9c0c22ca: #数字ASMRやろう
[9:46] @@aki5503: #そろそろ終わるはず(笑)
[10:05] @User_5b93ce57: #数字とラップがある
[10:05] @User_226c0011: いや、全然終わんねえ！
[10:06] @User_36770ee1: #次はASMR円周率になるので同じの二回はないはず
[10:08] @User_bd16c36d: #配信画面進化してて見やすい
[10:14] @User_c8c240d5: 答える文字数に制限とか無いのか？w
[10:25] @User_226c0011: これ、ループしてますねぇ
[10:40] @@aki5503: #制限あるんですが、数字はトークン数少なくてたくさん読めるみたいです(笑)
[10:41] @User_bd16c36d: #お、終わった…
[10:45] @User_a93f54e3: #タイムアウト実装された？
[10:56] @User_36770ee1: 嘘をつくな
[10:59] @User_226c0011: 期待してたのかよっ！
[10:59] @User_f282cfe9: 👏👏👏
[11:20] @User_9453d8e4: #ちょｗ
[11:21] @User_36770ee1: #みなさんすみません
[11:22] @@aki5503: #まだ実装してないです(笑) 次回の必須機能として実装します(笑)
[11:30] @User_226c0011: あああああああああ
[11:41] @@aki5503: #手動でどこかで止めます(笑)
[11:44] @User_226c0011: でも、悪くない
[11:54] @User_5b93ce57: #円周率ASMRいいなぁ
[11:57] @User_f282cfe9: このまま眠れるまである
