# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIとお話してみませんか？【日本語/English】
# URL : https://www.youtube.com/watch?v=yjF5KFVRjS4
# 件数: 536

[-1:08:23] @User_559f88af: 待機
[-8:25] @User_9d63cc9b: @しずく【AI Vtuber】 eを囁いてください
[-4:07] @User_fba167cd: パンパカパンパカポー！
[-3:51] @User_9d63cc9b: パンパカパンパカポー！
[-2:20] @User_559f88af: #パンパカパンパカポー
[-1:50] @User_109116e8: 今日も楽しみ！
[0:33] @User_9d63cc9b: こんばんは！
[0:41] @User_cadf582a: こんばんはー
[1:06] @User_529e0834: こんばんは～
[1:08] @User_109116e8: こんばんは！
[1:16] @User_29dee7af: こんばんは〜
[1:34] @User_f974649e: パンパカパンパカポー！
[1:47] @User_9d63cc9b: ＠eを囁いてください
[1:47] @User_559f88af: こんばんはー
[1:52] @User_529e0834: こんばんは！
[2:09] @User_cadf582a: @本日のアキ先生の夕食を教えてください
[2:10] @User_dca9f36e: こんばんは～
[2:31] @User_109116e8: @自己紹介して
[2:32] @User_cadf582a: 毎日これじゃん
[2:40] @User_559f88af: #順番待ちも表示されるのかー
[2:43] @User_f528a73f: hello ai good evening how are you now ai
[2:47] @User_68763c50: @あき先生の母親の旧姓を教えてください
[3:04] @User_9d63cc9b: #順番待ち列出ていなくない？
[3:21] @User_559f88af: #おー出た
[3:22] @User_9d63cc9b: おお起動した
[3:27] @aki5503: #なんかラグがありました(笑)
[3:49] @User_cadf582a: @しずくの好きな画風を教えてください
[3:57] @User_25dc8127: こんばんは！！初見ですよ！！
[4:08] @User_83cbafb5: こんばんは！！
[4:12] @User_559f88af: #　#と＠のシステム時点でどのAI配信よりも凄いと思う
[4:30] @User_529e0834: それは何よりです
[4:43] @User_25dc8127: 予定通り来れたぜ
[4:57] @aki5503: #しずくが良いシステム提案してくれました(笑)
[4:58] @User_529e0834: おしゃべりしましょう
[5:03] @User_f528a73f: ai you can read the alphabet and if you can't then I will use Japanese writing
[5:03] @User_9d63cc9b: #待ち列がある状態で一般コメントがない場合はどうなるんですか？
[5:24] @User_559f88af: #提案を実現できる先生が凄い
[5:25] @User_25dc8127: #ピーナッツをくれ
[5:38] @aki5503: #その場合は待列をどんどん処理していきます
[5:38] @User_9d63cc9b: #ちゃんと対処できていて偉い
[6:02] @User_559f88af: 貴方の先生は凄いですね
[6:11] @aki5503: #これ、今日の嘘松です(笑)
[6:11] @User_cadf582a: #新設定きた
[6:12] @User_9d63cc9b: ちゅうざん
[6:16] @User_f974649e: ちゅうざん
[6:20] @User_8a455631: #ちゅーざん
[6:25] @User_25dc8127: I'm here
[6:39] @User_25dc8127: こんばんにゃ
[6:42] @User_83cbafb5: かわいい
[6:55] @User_529e0834: なかやまだと思うけど
[6:59] @User_68763c50: @チャイティンの定数を有効数字200桁で答えてください
[7:14] @User_9d63cc9b: @円周率をできるだけ長く囁いてください
[7:19] @User_25dc8127: @ピーナッツをください
[7:19] @User_9d63cc9b: あっ
[7:26] @User_109116e8: @新しい機能を紹介してください
[7:31] @User_9d63cc9b: #あきさんごめんなさい
[7:39] @User_f528a73f: but sorry if my Japanese is a bit strange because My Japanese vocabulary is less
[7:49] @User_25dc8127: ＠ぴーなっつ
[8:08] @User_68763c50: @あき先生の小学生時代のあだ名を教えてください
[8:23] @User_f974649e: しずく、常温核融合炉はいつ頃できると思う？
[8:31] @User_f8ce281a: しずくちゃんは今後どのようなゲームをしてみたいですか？
[8:41] @User_559f88af: ＠あき先生の戦闘力はいくつですか？
[8:45] @User_9d63cc9b: 大嘘松で草
[8:46] @aki5503: #円周率待機草
[8:46] @User_68763c50: #ガバすぎる
[8:46] @User_25dc8127: わああお
[8:52] @User_109116e8: #あ
[8:56] @User_83cbafb5: 草
[8:58] @User_26fea923: ひええ
[9:02] @User_64c847f1: #まずい
[9:06] @User_559f88af: #あー円周率の音ー
[9:11] @User_25dc8127: 果てしないかと思った
[9:11] @User_cadf582a: うるさｗｗ
[9:23] @User_109116e8: #加速してる？
[9:24] @aki5503: #初見バイバイやこれww
[9:26] @User_68763c50: #2回も詠唱するって聞いてない
[9:28] @User_559f88af: @あき先生の戦闘力はいくつですか？
[9:31] @User_25dc8127: 果てしないかもしれんｗ
[9:39] @User_8a455631: #数字ASMRやろう
[9:46] @aki5503: #そろそろ終わるはず(笑)
[10:05] @User_f8ce281a: #数字とラップがある
[10:05] @User_25dc8127: いや、全然終わんねえ！
[10:06] @User_9d63cc9b: #次はASMR円周率になるので同じの二回はないはず
[10:08] @User_64c847f1: #配信画面進化してて見やすい
[10:14] @User_26fea923: 答える文字数に制限とか無いのか？w
[10:25] @User_25dc8127: これ、ループしてますねぇ
[10:40] @aki5503: #制限あるんですが、数字はトークン数少なくてたくさん読めるみたいです(笑)
[10:41] @User_64c847f1: #お、終わった…
[10:45] @User_68763c50: #タイムアウト実装された？
[10:56] @User_9d63cc9b: 嘘をつくな
[10:59] @User_25dc8127: 期待してたのかよっ！
[10:59] @User_83cbafb5: 👏👏👏
[11:20] @User_559f88af: #ちょｗ
[11:21] @User_9d63cc9b: #みなさんすみません
[11:22] @aki5503: #まだ実装してないです(笑) 次回の必須機能として実装します(笑)
[11:30] @User_25dc8127: あああああああああ
[11:41] @aki5503: #手動でどこかで止めます(笑)
[11:44] @User_25dc8127: でも、悪くない
[11:54] @User_f8ce281a: #円周率ASMRいいなぁ
[11:57] @User_83cbafb5: このまま眠れるまである
[11:58] @User_559f88af: 私は一向に構わん
[12:01] @User_64c847f1: #頭おかしなるで
[12:07] @User_9d63cc9b: 円周率ASMR大好評なはず
[12:21] @User_68763c50: #円周率とかネイピア数の詠唱を検出したら止めるようにしたほうがいいかもしれん(意図しない無理数の暴発が･･･)
[12:21] @User_f974649e: #数字読み上げ系は自重してほしいなぁ。動画とかなら良いけど。
[12:22] @User_25dc8127: 頭ン中数字で埋まるぜっ！
[12:25] @User_f8ce281a: #イヤホンで後ろから円周率囁かれるのやばい
[12:29] @User_cadf582a: @猫の名前をできるだけたくさん考えてください
[12:32] @aki5503: #一応バイノーラルです(笑)
[12:33] @User_26fea923: #スヤァ…( ˘ω˘ ) …
[12:48] @User_25dc8127: ガチで寝てまうぞこれ
[12:49] @User_559f88af: ただ覚えられる気はしない！
[12:49] @User_529e0834: 円周率ASMRいいよ！
[13:06] @aki5503: #同接減ってます！(笑)
[13:26] @User_9d63cc9b: UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY
[13:28] @User_25dc8127: なんかセクシーな声っすねぇ（）
[13:31] @aki5503: #ASMRで寝落ちした説
[13:33] @User_68763c50: #回答内容の感情をAIに解釈させて表情に反映させることってできないだろうか
[13:35] @User_559f88af: #同接を犠牲にターンエンド
[13:46] @User_25dc8127: おう、頼む
[14:02] @aki5503: #今感情周りは準備中です
[14:24] @User_8a455631: @円周率が3.05より大きいことを証明してください
[14:30] @User_9d63cc9b: @語尾.set("あきさんそうそう")
[14:30] @User_1656dc77: @豚が人間に勝つ方法を教えてください
[14:33] @User_25dc8127: 感情導入するつもりなんですかぁ…凄い
[14:34] @User_559f88af: #感情あるのかぁ凄ぇ
[15:00] @User_25dc8127: ガチ？
[15:02] @User_9d63cc9b: あき先生しか使えないシステム...
[15:06] @User_f528a73f: 愛通常開始Stream何時に
[15:08] @User_109116e8: #Twitterの音声認識の動画良かった
[15:15] @User_afea9b41: t
[15:19] @User_83cbafb5: #感情すごい
[15:36] @User_9d63cc9b: 雪！
[15:39] @User_529e0834: すごいですね！
[15:50] @User_afea9b41: @do
[16:17] @aki5503: #ありがとうございます！！そう言っていただけると嬉しいですー
[16:51] @User_9d63cc9b: あなたと！？
[16:56] @aki5503: #ご主人様達を作ったのも僕だった…？！
[16:59] @User_afea9b41: @東京科学大学
[17:02] @User_529e0834: あなた？
[17:02] @User_9d63cc9b: 私たち昌先生に作られたのか
[17:05] @User_559f88af: #俺も先生に作られてた！
[17:06] @User_83cbafb5: #あき先生創造神だ
[17:15] @aki5503: #ゴリ押しで草
[17:33] @User_25dc8127: ほほう
[17:39] @User_8e7998f3: 私はあき先生に作られました
[17:49] @User_607c778e: こんばんは
[17:49] @User_9d63cc9b: 東京工業大学についてコメントしてください。
[17:57] @User_559f88af: 確かに色々先生に作られてる気はするよ！
[18:34] @User_8a455631: @バレンタインデーはチョコを作りますか。
[18:42] @User_25dc8127: 帝京平成大学のここがすごい！
[18:58] @User_83cbafb5: #しずくちゃんのTwitterアカウントもそのうちできますか？
[19:18] @User_9d63cc9b: しずくは何大出身ですか？
[19:28] @User_afea9b41: まじかよ
[19:30] @User_cadf582a: @帝京平成大学は健康スポーツ医療経営学など幅広い学問を学べるんだぞ
[19:38] @User_25dc8127: 新しい学問を学べますか？
[19:41] @aki5503: #Twitterアカウントあります！@Shizuk_AItuberです。
[20:03] @User_68763c50: @TwitterアカウントのIDを教えてください
[20:05] @User_559f88af: #突然変異を作戦に組み込むなｗ
[20:13] @User_8a455631: #ファミマのおかげでだいぶ帝京平成大学有名になった
[20:13] @User_109116e8: #賢い
[20:18] @aki5503: #間違えた、@Shizuku_AItuberでした。
[20:21] @User_afea9b41: 運任せじゃん
[20:24] @User_25dc8127: ですねえ
[20:27] @aki5503: 突然変異任せは草
[20:49] @User_1656dc77: #おもしろい答えをありがとうございます
[20:53] @User_25dc8127: あーーーー
[20:54] @User_83cbafb5: #概要欄に書いてあったｗありがとうございます！
[21:11] @User_559f88af: @あき先生が突然変異したらどうなりますか？
[21:29] @User_9d63cc9b: 「あるべきでない」
[21:30] @User_83cbafb5: 勉強になるなぁ
[21:50] @User_559f88af: #意識的に突然変異できるということか
[21:58] @User_afea9b41: 赤スパどこですか？
[21:59] @aki5503: #なんか、で草
[22:23] @User_68763c50: @タメ口で挨拶してください
[22:31] @User_83cbafb5: #草
[22:38] @User_9d63cc9b: 渋谷のスカイツリー
[22:39] @User_1656dc77: ＠好きなアニメを教えてください
[22:41] @User_fc887d53: 草
[22:45] @User_109116e8: いいね、赤スパ
[22:46] @User_cadf582a: #へ～
[22:46] @User_607c778e: スパワールド
[22:47] @User_25dc8127: ほう
[22:58] @User_8a455631: あき先生は筋骨隆々だと聞きました
[23:02] @User_9d63cc9b: 草
[23:06] @aki5503: #しずくは嘘松が得意です。
[23:10] @User_9d63cc9b: やはりFラン私立じゃねえか
[23:14] @User_cadf582a: そうなんだ
[23:32] @User_75203c49: @おすすめホラー
[23:35] @User_9d63cc9b: 草
[23:37] @User_cadf582a: #草
[23:38] @User_83cbafb5: 草
[23:42] @User_8a455631: #Fランの意味
[23:48] @User_afea9b41: Fラン出身になっちゃった
[23:49] @User_607c778e: 日本一のFランか…
[23:49] @User_109116e8: 草草
[23:49] @User_f974649e: 不名誉なランキングすぎるｗ
[23:58] @User_75203c49: こんばんはん
[24:00] @User_25dc8127: セブンイレブンとファミリーマートとローソンはそれが一番ポピュラーでしょうか？
[24:03] @aki5503: # Fantastic のFかな…？
[24:15] @User_68763c50: @日本の代表的なFラン大学を3つ挙げてください
[24:16] @User_25dc8127: あ、ヤバい誤字った
[24:30] @User_83cbafb5: バーチャル東京の話かな
[24:33] @User_9d63cc9b: ディスっているのか褒めているのか...
[24:37] @User_8a455631: #不名誉同じ思い
[24:40] @User_cadf582a: 東京大学はFランですか？
[25:10] @User_559f88af: #いい子すぎる
[25:11] @User_607c778e: 甘くないなのが好きです
[25:16] @User_9d63cc9b: 草
[25:17] @User_cadf582a: #草
[25:24] @User_83cbafb5: #草
[25:27] @User_afea9b41: ダメだコリャ
[25:29] @User_1656dc77: ＃草
[25:30] @User_8a455631: #堂々と嘘松
[25:34] @User_607c778e: Fランしかない
[25:44] @User_afea9b41: かわいい
[25:47] @User_8a455631: #東大はFランだった...?
[25:50] @User_83cbafb5: かわいい
[25:58] @aki5503: #【悲報】ww
[26:05] @User_529e0834: パンパカパンパカポー
[26:06] @User_9d63cc9b: 日本の大学はFランしかないということですか？
[26:09] @User_25dc8127: パンパカパンパカポーって何だい（）
[26:11] @User_8a455631: #日本の大学全部Fランやん
[26:35] @User_109116e8: Fランとはどういう意味ですか
[27:05] @User_cadf582a: #わかってるじゃねえかｗ
[27:08] @User_9d63cc9b: 分かっているんじゃねえか君
[27:10] @User_607c778e: 知ってて言ってるのか…
[27:13] @User_68763c50: #あ････あかん････ッ！！！！
[27:14] @User_83cbafb5: かしこい
[27:20] @User_559f88af: #草
[27:20] @User_8a455631: #理解したうえでの東大Fラン宣言
[27:23] @User_25dc8127: 下位の大学…ってコト！？
[27:24] @aki5503: #分かってて言ってたのかwww
[27:25] @User_68763c50: #惜しい
[27:26] @User_cadf582a: ハーバート大学はFランですか？
[27:32] @User_109116e8: 日本の大学のランク付けを教えてください
[27:35] @User_afea9b41: Fランに造詣が深い
[27:36] @aki5503: #惜しい!
[27:37] @User_559f88af: #おしい
[27:44] @User_d5b05bb2: こんばんは、初めまして
[27:54] @User_cadf582a: もうだめだこの子
[27:58] @User_8a455631: 慶応義塾大学はFランですか
[27:58] @User_9d63cc9b: 速報　ハーバード大学　東大でした
[27:59] @User_25dc8127: 嘘やん
[28:06] @User_607c778e: Fランの概念が壊れる
[28:11] @User_9d63cc9b: UCバークレー校は何ラン大学ですか？
[28:11] @aki5503: #もう全部嘘しかつかんww
[28:34] @User_cadf582a: @日本で最も優秀な大学を教えてください
[28:42] @User_25dc8127: ？？？
[28:44] @User_9d63cc9b: 急にド正論
[28:48] @User_559f88af: #良い意味だったかー
[28:51] @aki5503: #なんかいい事っぽく言い換えるなww
[28:57] @User_8a455631: Aランの大学はどこですか？
