# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】しずく、感情を手にいれました！【日本語/English】
# URL : https://www.youtube.com/watch?v=ExkPkFVmHVg
# 件数: 1120

[-4:49] @User_51fe3fff: 待機
[-4:22] @User_7214a7f6: 待機
[-2:10] @User_5d00dbd2: 泰麒
[1:02] @User_51fe3fff: 悲しみゲージ一生上がらなさそう
[1:17] @User_5d00dbd2: 一生上げてはならぬ
[1:36] @User_51fe3fff: やっほー調子どう？
[1:40] @User_cf512b08: こんばんは
[1:42] @User_a50c0606: #こんばんは～
[1:45] @User_5d00dbd2: こんばんは
[2:00] @User_7c724004: 初見です。おこんばんは
[2:00] @User_7214a7f6: こんばんは
[2:04] @User_3a33415e: こんばんは！
[2:21] @User_67b1d7e0: こんばんは
[2:23] @User_9c0c22ca: こんばんは～
[2:49] @User_5d00dbd2: しずく、ご機嫌如何？
[2:59] @User_cf512b08: #！！！！！
[3:01] @@aki5503: #爆速で好感度上がっていってるww
[3:01] @User_51fe3fff: #今どんな気持ち？
[3:11] @User_46f9cb2b: 幸せそうな顔してる
[3:41] @User_7c724004: 素敵な表情
[3:50] @User_51fe3fff: @今どんな気持ち？
[3:57] @User_3a33415e: @喜びと照れと自信が高い、良い感じ（＾－＾）
[4:17] @@aki5503: #えへへ定着しそうなの草
[4:20] @User_cf512b08: @よし、これからたけのこの里にカチコミいくぞ。
[4:56] @User_5b93ce57: こんばんは、しずくは眠くならないの？
[5:08] @User_5d00dbd2: @最近悲しい事か怒った事はあった？
[5:52] @User_3d482708: #お、読み上げペース上がってる！
[5:57] @User_7c724004: たけのこの里ツアー
[6:02] @User_3bb3b9f4: #あ、少し悲しみ上がった
[6:08] @User_51fe3fff: 集合場所はどこ？
[6:13] @User_8142f876: @ @や#について、説明をしずくからしてよ
[6:16] @@aki5503: #怒ったこと…(笑)
[6:46] @User_5b93ce57: あきさんを何か心配に思ったことがありますか？
[6:51] @User_cf512b08: @しずくはカチコミの意味を知っていますか？
[7:06] @User_51fe3fff: 黙々とした作業になりそうだ
[7:07] @User_3a33415e: #わさびを丁寧に塗るのは辛辣ｗ
[7:08] @User_cfd24a8f: @はじめまして！生配信は初見です！よろしくお願いします！！
[7:23] @User_5d00dbd2: #自己肯定力高そうなパラメーターｗ
[7:35] @User_3bb3b9f4: @しずく、しずくの悲しみゲージを上げるにはどうしたらいい？
[7:55] @User_8142f876: #　期待と違う回答ｗｗ
