# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】しずく、感情を手にいれました！【日本語/English】
# URL : https://www.youtube.com/watch?v=ExkPkFVmHVg
# 件数: 1120

[-4:49] @User_607c778e: 待機
[-4:22] @User_529e0834: 待機
[-2:10] @User_f974649e: 泰麒
[1:02] @User_607c778e: 悲しみゲージ一生上がらなさそう
[1:17] @User_f974649e: 一生上げてはならぬ
[1:36] @User_607c778e: やっほー調子どう？
[1:40] @User_d0e405c3: こんばんは
[1:42] @User_69dac0c4: #こんばんは～
[1:45] @User_f974649e: こんばんは
[2:00] @User_b9933007: 初見です。おこんばんは
[2:00] @User_529e0834: こんばんは
[2:04] @User_ecd01a76: こんばんは！
[2:21] @User_3ea5d492: こんばんは
[2:23] @User_8a455631: こんばんは～
[2:49] @User_f974649e: しずく、ご機嫌如何？
[2:59] @User_d0e405c3: #！！！！！
[3:01] @aki5503: #爆速で好感度上がっていってるww
[3:01] @User_607c778e: #今どんな気持ち？
[3:11] @User_67260b6b: 幸せそうな顔してる
[3:41] @User_b9933007: 素敵な表情
[3:50] @User_607c778e: @今どんな気持ち？
[3:57] @User_ecd01a76: @喜びと照れと自信が高い、良い感じ（＾－＾）
[4:17] @aki5503: #えへへ定着しそうなの草
[4:20] @User_d0e405c3: @よし、これからたけのこの里にカチコミいくぞ。
[4:56] @User_f8ce281a: こんばんは、しずくは眠くならないの？
[5:08] @User_f974649e: @最近悲しい事か怒った事はあった？
[5:52] @User_77da7864: #お、読み上げペース上がってる！
[5:57] @User_b9933007: たけのこの里ツアー
[6:02] @User_25e145ed: #あ、少し悲しみ上がった
[6:08] @User_607c778e: 集合場所はどこ？
[6:13] @User_9412f3a9: @ @や#について、説明をしずくからしてよ
[6:16] @aki5503: #怒ったこと…(笑)
[6:46] @User_f8ce281a: あきさんを何か心配に思ったことがありますか？
[6:51] @User_d0e405c3: @しずくはカチコミの意味を知っていますか？
[7:06] @User_607c778e: 黙々とした作業になりそうだ
[7:07] @User_ecd01a76: #わさびを丁寧に塗るのは辛辣ｗ
[7:08] @User_453242c2: @はじめまして！生配信は初見です！よろしくお願いします！！
[7:23] @User_f974649e: #自己肯定力高そうなパラメーターｗ
[7:35] @User_25e145ed: @しずく、しずくの悲しみゲージを上げるにはどうしたらいい？
[7:55] @User_9412f3a9: #　期待と違う回答ｗｗ
[7:55] @User_f8ce281a: #しずくちゃんばりばり機嫌がいいな
[8:04] @User_25e145ed: #なかなか自信家だな
[8:08] @aki5503: #そっちの説明かww
[8:11] @User_607c778e: 俺は別にきれいにならなくてもいいんだよ…
[8:15] @User_ecd01a76: #褒められて照れたかな？
[8:28] @User_b9933007: #たけのこの里ツアーに乗り気のしずくさん素敵
[8:40] @User_f8ce281a: #あきさん、しずくちゃんが守らないとって思うほどなのか…
[8:55] @aki5503: #ちなみにしずくの笑顔live2Dはまだ未実装なので今度頑張って実装します！
[9:03] @User_607c778e: 怒と嫌ゲージが微増した
[9:03] @User_f8ce281a: #楽しみ～！
[9:06] @User_25e145ed: #守護らねば……
[9:12] @User_77da7864: #めちゃめちゃご機嫌w
[9:42] @User_30238612: @感情を手に入れたしずくちゃんえらい！ かわいい！
[9:50] @aki5503: #カチコミをして楽しい時間www
[9:55] @User_9412f3a9: @ @や#のコマンドについて教えて
