# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[-1:12:02] @User_36770ee1: 待機
[-13:20] @User_595fe723: Twitterから　期待
[-8:22] @User_3f363e4c: わくわく
[-4:20] @User_51fe3fff: 待機
[-1:33] @User_7214a7f6: 待機
[-0:39] @User_9453d8e4: 待機
[-0:14] @User_5b93ce57: 楽しみ！
[0:26] @User_5b93ce57: きた！！BGM聞こえます
[0:35] @User_eb6a203c: そも歌枠ってのが初参加なんだけど何するの？
[0:43] @User_5d00dbd2: パンパカパンパカポー！
[0:49] @User_9453d8e4: こんばんはー
[0:49] @User_51fe3fff: 自分も歌枠初めて見る
[0:49] @User_99dff901: こんばんはー！
[0:59] @User_7214a7f6: こんばんは
[0:59] @User_3a33415e: こんばんはー！
[0:59] @User_9453d8e4: コマンド了解
[1:05] @User_99dff901: 喜びマックス
[1:09] @User_3f363e4c: こんばんは
[1:24] @User_a50c0606: こんばんは～
[1:33] @User_51fe3fff: ボイトレしたの？
[1:44] @User_cf512b08: 今日も可愛い
[1:49] @User_69451bd9: しずくちゃんこんばんは！１ヶ月おめでとう！！！！
[1:56] @User_eb6a203c: 歌に自信はある？
[1:59] @User_9453d8e4: 良いマイク持ってるなぁ
[1:59] @User_36fcf009: こんばんは、お歌配信楽しませていただきます
[2:12] @User_eb6a203c: え、俺も歌うの？
[2:41] @User_99dff901: ！？
[2:43] @User_5b93ce57: おおおお
[2:48] @User_3a33415e: おお！
[2:49] @User_a50c0606: ！？
[2:50] @User_cf512b08: 来た！！！！
[2:52] @User_eb6a203c: 以外と懐メロ
[2:56] @User_99dff901: すごすぎるｗ
[3:13] @User_69451bd9: 力強い！！
[3:14] @User_9453d8e4: 上手（上手）
[3:15] @User_eb6a203c: ベタ打ちでこれ？調声してるのかな？
[3:30] @User_99dff901: ちょｗｗ
[3:32] @User_69451bd9: がんばれ……！！
