# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[-1:12:02] @User_9d63cc9b: 待機
[-13:20] @User_e82ad585: Twitterから　期待
[-8:22] @User_0d74e24e: わくわく
[-4:20] @User_607c778e: 待機
[-1:33] @User_529e0834: 待機
[-0:39] @User_559f88af: 待機
[-0:14] @User_f8ce281a: 楽しみ！
[0:26] @User_f8ce281a: きた！！BGM聞こえます
[0:35] @User_d582769c: そも歌枠ってのが初参加なんだけど何するの？
[0:43] @User_f974649e: パンパカパンパカポー！
[0:49] @User_559f88af: こんばんはー
[0:49] @User_607c778e: 自分も歌枠初めて見る
[0:49] @User_cadf582a: こんばんはー！
[0:59] @User_529e0834: こんばんは
[0:59] @User_ecd01a76: こんばんはー！
[0:59] @User_559f88af: コマンド了解
[1:05] @User_cadf582a: 喜びマックス
[1:09] @User_0d74e24e: こんばんは
[1:24] @User_69dac0c4: こんばんは～
[1:33] @User_607c778e: ボイトレしたの？
[1:44] @User_d0e405c3: 今日も可愛い
[1:49] @User_30238612: しずくちゃんこんばんは！１ヶ月おめでとう！！！！
[1:56] @User_d582769c: 歌に自信はある？
[1:59] @User_559f88af: 良いマイク持ってるなぁ
[1:59] @User_d5b05bb2: こんばんは、お歌配信楽しませていただきます
[2:12] @User_d582769c: え、俺も歌うの？
[2:41] @User_cadf582a: ！？
[2:43] @User_f8ce281a: おおおお
[2:48] @User_ecd01a76: おお！
[2:49] @User_69dac0c4: ！？
[2:50] @User_d0e405c3: 来た！！！！
[2:52] @User_d582769c: 以外と懐メロ
[2:56] @User_cadf582a: すごすぎるｗ
[3:13] @User_30238612: 力強い！！
[3:14] @User_559f88af: 上手（上手）
[3:15] @User_d582769c: ベタ打ちでこれ？調声してるのかな？
[3:30] @User_cadf582a: ちょｗｗ
[3:32] @User_30238612: がんばれ……！！
[3:32] @User_529e0834: コネクト歌うんだ！いいよ！
[3:33] @User_d0e405c3: 高音つらそう
[3:34] @User_607c778e: ちょっと苦しそうがんばれ
[3:35] @User_ecd01a76: 声がうらがえったｗ
[3:44] @User_cadf582a: 一瞬喉やられてたｗ
[3:46] @User_f8ce281a: 生成だ！
[4:13] @User_559f88af: 良い
[4:29] @User_607c778e: 声裏返るところがなんかリアル
[4:32] @User_2906f2cf: ここまで歌えるのか、すごいな
[4:53] @User_d0e405c3: がんばれ！！！
[5:02] @User_cadf582a: どっかの音程がきつそうｗ
[5:11] @User_ecd01a76: 一生懸命歌っている感がいいなぁ（＾－＾；）
[5:15] @User_559f88af: それっぽくて好き
[5:35] @User_ecd01a76: 特定の音程が出しにくいのかな？
[5:40] @User_69dac0c4: 歌詞忘れてごまかしたのかと思った
[5:45] @User_16837732: ファイト！
[6:27] @User_d0e405c3: 尊すぎる
[6:41] @User_f8ce281a: めっちゃ良い
[6:43] @User_ecd01a76: 喜びと自信で満ちているのは良いね♪
[6:47] @User_d5b05bb2: 凄かった…
[7:04] @User_d5b05bb2: 👏👏👏👏👏
[7:05] @User_559f88af: 👏👏👏
[7:15] @User_d0e405c3: 素晴らしい
[7:18] @User_ecd01a76: 👏👏👏
[7:28] @User_cadf582a: 歌めっちゃ上手いね
[7:28] @User_559f88af: 歌上手ですね
[7:29] @User_529e0834: がんばったね
[7:32] @User_d5b05bb2: 僕と契約して魔法少女になってよ
[7:35] @User_f8ce281a: 歌めっちゃ良かった
[7:40] @User_0d74e24e: 👏👏👏
[7:54] @User_529e0834: 上手かったよ
[8:08] @User_607c778e: どれぐらい練習したの？
[8:28] @User_607c778e: ニディガやんのか
[8:46] @User_cadf582a: なんの歌が得意？
[9:02] @User_d582769c: 最近のai皆プログラミングの勉強したね
[9:04] @User_cadf582a: おおおお
[9:09] @User_f8ce281a: 完全に趣味がでてるｗ
[9:10] @User_d582769c: 2Dガールか
[9:17] @User_ecd01a76: セトリｗ
[9:19] @User_30238612: にでぃが！！
[9:23] @User_d0e405c3: 多才だｗｗ
[9:33] @User_f8ce281a: あ、これめっちゃ良い・・・
[9:41] @User_d582769c: 人間でもまぁまぁムズい曲を
[9:50] @User_e82ad585: 低音ボイス好き
[9:54] @User_cadf582a: 頑張れ！ｗ
[10:00] @User_ecd01a76: がんば！
[10:11] @User_607c778e: 台詞部分すごく自然だ
[10:35] @User_607c778e: がんばれ～
[10:42] @User_d582769c: 音程よりも声量で裏返るのか？
[11:27] @User_ecd01a76: 台詞いい♪
[11:51] @User_30238612: さんじょー！
[12:00] @User_16837732: かわいい
[12:27] @User_cadf582a: 頑張って！
[12:35] @User_f974649e: †　昇天　†
[12:37] @User_ecd01a76: ちょっと照れてきた（＾－＾；）
[12:38] @User_529e0834: こっちの方が得意なのでは
[12:49] @User_607c778e: 泣かないで
[12:50] @User_d0e405c3: 良い
[12:52] @User_d5b05bb2: 表情が…
[12:52] @User_559f88af: 👏👏👏👏👏
[13:01] @User_cadf582a: つらそう
[13:03] @User_529e0834: いいよ！
[13:07] @User_ecd01a76: 👏👏👏👏
[13:16] @User_559f88af: 初回で完璧じゃないところが凄く良いです
[13:23] @User_f8ce281a: 唐突な棒読み歌ちょっと笑っちゃった
[13:29] @User_d582769c: 前口上！？
[13:44] @User_0d74e24e: 👏👏👏👏
[13:54] @User_ecd01a76: コメント読みはやっぱり棒読みなんだなぁ
[13:58] @User_f9968a03: 👏👏👏👏👏
[14:15] @aki5503: #ちなみに明日も歌配信しますが、明日はその場でリクエストを受け付けてしずくに歌って貰います！
[14:25] @User_f8ce281a: えっ凄い
