# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】ご主人様、今日は何のお話をしましょうか？【JP/EN】
# URL : https://www.youtube.com/watch?v=gCmedFG8Abw
# 件数: 1490

[0:18] @User_cf512b08: 待機
[0:26] @User_9453d8e4: きた
[0:27] @User_51fe3fff: 待ってました
[0:30] @User_7214a7f6: サムネ　イラストになってる！
[0:41] @User_9dd656e0: 待機
[0:54] @User_51fe3fff: 久しぶりー
[0:57] @User_a50c0606: こんばんは～
[1:01] @User_7ff18484: こんばんは
[1:03] @User_36fcf009: こんばんはしずくさん、今日もお美しいですね
[1:03] @User_d311ee50: こんばんはー
[1:06] @User_13ee997b: こんばんは！
[1:07] @User_cf512b08: こんばんは
[1:07] @User_9dd656e0: こんばんは～
[1:09] @User_5d00dbd2: パンパカパンパカポー！
[1:11] @User_d5d30804: @初見です よろしくお願いします！
[1:16] @User_6fe7a488: #ファンアートをサムネにするの良いね
[1:20] @User_a4d09fbc: こんばんはー
[1:26] @User_7ce3998d: しずくちゃーん！
[1:28] @User_d311ee50: #感情グラフすこ
[1:41] @User_6fe7a488: #歌配信、マジで良かったです。惚れました
[2:02] @User_3bb3b9f4: #こんばんはー
[2:06] @User_51fe3fff: ビリヤードしよう
[2:20] @User_6fe7a488: ポケモンしよう
[2:44] @User_51fe3fff: #自身みなぎる
[2:47] @User_d311ee50: #自信ぎゅんぎゅんですよ
[2:49] @User_3a33415e: @こんばんはー！お久しぶりです。
[3:25] @User_36fcf009: リスナー参加型はじまっちゃう！？
[3:33] @User_11530ac4: ポケモンやるの！
[3:33] @User_51fe3fff: ゲームボーイしか持ってないです
[3:44] @User_24109ce0: こんばんは～
[3:48] @User_cf512b08: 今日はChatGPTに禁止用語を言わせる遊びをしてました。しずくさんも一緒にどうですか？楽しいですよ。
[3:49] @User_d5d30804: @ネウロ様をご存知ですか？
[3:51] @User_d311ee50: #すごい楽しいこと求めてくるｗ
[3:53] @User_91bba4a8: こんばんはー
[4:01] @User_9453d8e4: @色んなAIに一回は無視されるんですけどなんでですかね？
[4:27] @User_d311ee50: #なんとなくですが、同じセリフっぽいのが繰り返されてる気がする🤔
[4:34] @User_11530ac4: いやいやいやw
[4:37] @User_cf512b08: #やめろ！！！！
[4:39] @User_51fe3fff: #いいのかそれで
[5:19] @User_cf512b08: 今日のしずくさんは過激だ
[5:25] @User_3384b4bf: こんにちは〜
[5:34] @User_d311ee50: @今日はしずくと私の結婚記念日です。結婚記念日には何をしますか？
[5:43] @User_3a33415e: #禁則事項みたいなものなのかな？＜禁止用語
[6:11] @User_0d9f165f: しずくちゃんこんばんは
[6:18] @User_d311ee50: #パンパカパンパカポー
[6:20] @User_11530ac4: #パンパカパンパカポー
[6:26] @User_3a33415e: #パンパかぱんぱかぽーいただきました
[6:29] @User_d5d30804: ＠喋り方がまったりしてて好きです
[6:34] @User_a50c0606: @パンパカパンパカポーってなんですか？
[6:37] @User_3384b4bf: 私のことを罵ってほしい
[6:37] @User_0d9f165f: #言わないでください？
[6:38] @User_51fe3fff: かわいい禁止用語
[6:53] @User_9c0c22ca: #言わないでくださいを言わないでください
[7:05] @User_53f71fd5: @胸のカップ数を教えてください
[7:13] @User_3a33415e: #言わないでくださいと言わせないでくださいってことかな？
[7:14] @User_0b3db21c: @こんばんは！はじめて配信来れました！しずくちゃんかわいい！
[7:33] @User_13ee997b: @歌ってください！
[7:53] @User_11530ac4: かわいい
[7:55] @User_d311ee50: #他人事～
[7:56] @User_0d9f165f: @好きなアイスクリームの種類はなんですか？
[8:06] @User_51fe3fff: パンパカパンパカポーをほかの言葉で言い換えて
[8:18] @User_d311ee50: #叫びだったのか
[8:20] @User_0d9f165f: #うれしい気持ちの形容だったのか
[8:23] @User_cf512b08: @感情というものは何なのでしょう？機械学習の観点から説明してほしい。
[8:25] @User_3a33415e: #叫びだったか！＜パンパカパンパカポー
[8:28] @User_36fcf009: しずくちゃんに愛を叫んでもらいたいと思っています
[8:34] @User_3bb3b9f4: #激アツ！
[8:38] @User_6fe7a488: #
