# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】ご主人様、今日は何のお話をしましょうか？【JP/EN】
# URL : https://www.youtube.com/watch?v=gCmedFG8Abw
# 件数: 1490

[0:18] @User_d0e405c3: 待機
[0:26] @User_559f88af: きた
[0:27] @User_607c778e: 待ってました
[0:30] @User_529e0834: サムネ　イラストになってる！
[0:41] @User_b4825c55: 待機
[0:54] @User_607c778e: 久しぶりー
[0:57] @User_69dac0c4: こんばんは～
[1:01] @User_b103bac9: こんばんは
[1:03] @User_d5b05bb2: こんばんはしずくさん、今日もお美しいですね
[1:03] @User_d4fec6d7: こんばんはー
[1:06] @User_109116e8: こんばんは！
[1:07] @User_d0e405c3: こんばんは
[1:07] @User_b4825c55: こんばんは～
[1:09] @User_f974649e: パンパカパンパカポー！
[1:11] @User_72011a5a: @初見です よろしくお願いします！
[1:16] @User_5ca2cc45: #ファンアートをサムネにするの良いね
[1:20] @User_a0b9ffbd: こんばんはー
[1:26] @User_d4f4d042: しずくちゃーん！
[1:28] @User_d4fec6d7: #感情グラフすこ
[1:41] @User_5ca2cc45: #歌配信、マジで良かったです。惚れました
[2:02] @User_25e145ed: #こんばんはー
[2:06] @User_607c778e: ビリヤードしよう
[2:20] @User_5ca2cc45: ポケモンしよう
[2:44] @User_607c778e: #自身みなぎる
[2:47] @User_d4fec6d7: #自信ぎゅんぎゅんですよ
[2:49] @User_ecd01a76: @こんばんはー！お久しぶりです。
[3:25] @User_d5b05bb2: リスナー参加型はじまっちゃう！？
[3:33] @User_67804c73: ポケモンやるの！
[3:33] @User_607c778e: ゲームボーイしか持ってないです
[3:44] @User_a69bb059: こんばんは～
[3:48] @User_d0e405c3: 今日はChatGPTに禁止用語を言わせる遊びをしてました。しずくさんも一緒にどうですか？楽しいですよ。
[3:49] @User_72011a5a: @ネウロ様をご存知ですか？
[3:51] @User_d4fec6d7: #すごい楽しいこと求めてくるｗ
[3:53] @User_e49fab5a: こんばんはー
[4:01] @User_559f88af: @色んなAIに一回は無視されるんですけどなんでですかね？
[4:27] @User_d4fec6d7: #なんとなくですが、同じセリフっぽいのが繰り返されてる気がする🤔
[4:34] @User_67804c73: いやいやいやw
[4:37] @User_d0e405c3: #やめろ！！！！
[4:39] @User_607c778e: #いいのかそれで
[5:19] @User_d0e405c3: 今日のしずくさんは過激だ
