# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[-5:20] @User_8142f876: これはいい企画！
[-2:06] @User_5844c024: 1300人おめでとうございます〜
[-1:08] @User_51fe3fff: 前回1000人なったばかりなのに
[-0:54] @User_69451bd9: 待機！
[-0:30] @User_13ee997b: こんばんは！
[-0:19] @User_c7b97151: こんばんは！
[0:17] @User_e3333c90: クイズってどうやるんだろー
[0:31] @User_8142f876: こんばんは
[0:59] @User_7c724004: こんばんは
[1:10] @User_7ff18484: こんばんはー
[1:19] @User_16274fb1: こんばんわ〜
[1:38] @User_51fe3fff: こんばんにゃあ
[1:47] @User_fe4ff385: こんばんは
[1:54] @User_9c0c22ca: 1300こんばんはー
[1:57] @User_3a33415e: こんばんは
[2:06] @User_5844c024: こんばんは
[2:18] @User_8b194fdc: しずくちゃんきょうもかわいいね
[2:18] @User_69451bd9: こんばんは～～！！
[2:27] @User_cf512b08: good morning
[2:32] @User_8142f876: @いい企画を考えましたね
[2:33] @User_51fe3fff: しずくは絵描けるの？
[3:01] @User_36fcf009: こんばんは、対戦よろしくお願いします
[3:01] @User_5844c024: 声かわいいですね
[3:07] @User_cf56696f: hello しずく！
[3:19] @User_4c8b83d6: 初めてのリアタイ
[3:27] @User_36770ee1: こんばんは！
[3:54] @@aki5503: #1問目
[4:25] @User_16274fb1: コレ面白い！ww
[4:25] @User_51fe3fff: 牛乳を注ぐ女
[4:27] @User_69451bd9: 真珠の耳飾りの少女
[4:27] @User_8142f876: フェルメールの少女の絵
[4:31] @User_3d440dc7: こんばんは
[4:32] @User_36770ee1: 牛乳を注ぐ女？
[4:40] @User_16274fb1: だね！
[4:44] @User_13ee997b: 牛乳を注ぐ女
[4:51] @User_7c724004: なるほど
[4:53] @@aki5503: #絵画名を日本語で答えてください！ほぼ1字1句あたったら正解になります！笑
[5:03] @User_51fe3fff: #正解？
[5:20] @@aki5503: #正解したらちゃんとアナウンス出ます！
[5:23] @User_8142f876: 牛乳を注ぐ方だったか
[5:34] @User_5d00dbd2: 真珠の耳飾りの少女だと思ったが違うのか
[5:37] @User_36770ee1: @正解を教えてください。
[5:40] @User_13ee997b: Het melkmeisje
[5:46] @User_8142f876: #コマンドが効いてないのね
[5:52] @@aki5503: #ヒント全然違ったのでもう一度描写しなおします(笑)
[5:57] @User_51fe3fff: すっごい惑わしてくるじゃんｗ
[6:45] @User_69451bd9: モナリザ
[6:46] @User_cf512b08: 何にでも牛乳を注ぐ女
[7:15] @User_69451bd9: やった～～～！！！
[7:16] @User_3a33415e: おお！
[7:21] @@aki5503: #かなかまなさん正解です！！
[7:27] @User_7ff18484: おおぉ
[7:30] @User_cf512b08: すごい！
[7:32] @@aki5503: #では次行きます！
[7:35] @User_7c724004: おお！
[7:40] @User_9c0c22ca: おお！
[7:40] @User_8142f876: おお
[7:50] @User_16274fb1: おー
[8:05] @User_51fe3fff: 痛くないです
[8:06] @User_7ff18484: いや痛くないよw
[8:27] @User_5d00dbd2: 真珠の耳飾りの少女
[8:28] @User_51fe3fff: 真珠の耳飾りの少女
[8:30] @User_69451bd9: 真珠の耳飾りの少女
[8:34] @User_8142f876: 答えを言ってるやんｗｗｗ
[8:44] @User_7c724004: #真珠の耳飾りの少女
[8:45] @User_51fe3fff: あなたは宝物ですよ～～～
[9:14] @User_3a33415e: 真珠の耳飾りの少女
[9:24] @User_8b194fdc: Meisje met de parel
[9:29] @User_9c0c22ca: ほうもつ
[9:30] @User_8142f876: #１回目はまちがえて、この絵の感想を言ってたのかな？
[9:46] @User_69451bd9: あなたは宝物ですよ～！！！！！
[9:57] @@aki5503: #すみません、答え設定合わせるの間違えてましたwww もう一度回答お願いします！(笑)
[10:10] @User_8b194fdc: ｗｗｗｗ
[10:18] @User_36fcf009: #なるほどｗ
[10:26] @User_13ee997b: #誉め言葉のフルコースだ
[10:41] @User_36770ee1: いただきます？？？
[10:46] @User_8b194fdc: 何を用意したんだろ
[10:46] @User_36fcf009: ほうもつをいただきます、怪盗かな
[10:49] @User_8142f876: 用意して、たべちゃった？
[10:54] @User_3a33415e: #正解にコメントのタイミングが必要かと思った（＾－＾；）
[10:57] @@aki5503: #次はちょっと難しいです！
[11:00] @User_7c724004: しずくさんの用意してくれる「ほうもつ」がすごく欲しい
[11:08] @User_7ff18484: #用意してつつ頂いたw
