# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[-5:20] @User_9412f3a9: これはいい企画！
[-2:06] @User_ff071840: 1300人おめでとうございます〜
[-1:08] @User_607c778e: 前回1000人なったばかりなのに
[-0:54] @User_30238612: 待機！
[-0:30] @User_109116e8: こんばんは！
[-0:19] @User_07328b6e: こんばんは！
[0:17] @User_11a4858e: クイズってどうやるんだろー
[0:31] @User_9412f3a9: こんばんは
[0:59] @User_b9933007: こんばんは
[1:10] @User_b103bac9: こんばんはー
[1:19] @User_bf59fcc4: こんばんわ〜
[1:38] @User_607c778e: こんばんにゃあ
[1:47] @User_461ff809: こんばんは
[1:54] @User_8a455631: 1300こんばんはー
[1:57] @User_ecd01a76: こんばんは
[2:06] @User_ff071840: こんばんは
[2:18] @User_ab7d51b8: しずくちゃんきょうもかわいいね
[2:18] @User_30238612: こんばんは～～！！
[2:27] @User_d0e405c3: good morning
[2:32] @User_9412f3a9: @いい企画を考えましたね
[2:33] @User_607c778e: しずくは絵描けるの？
[3:01] @User_d5b05bb2: こんばんは、対戦よろしくお願いします
[3:01] @User_ff071840: 声かわいいですね
[3:07] @User_c7a70b82: hello しずく！
[3:19] @User_dbeb4806: 初めてのリアタイ
[3:27] @User_9d63cc9b: こんばんは！
[3:54] @aki5503: #1問目
[4:25] @User_bf59fcc4: コレ面白い！ww
[4:25] @User_607c778e: 牛乳を注ぐ女
[4:27] @User_30238612: 真珠の耳飾りの少女
[4:27] @User_9412f3a9: フェルメールの少女の絵
[4:31] @User_64efe4f1: こんばんは
[4:32] @User_9d63cc9b: 牛乳を注ぐ女？
[4:40] @User_bf59fcc4: だね！
[4:44] @User_109116e8: 牛乳を注ぐ女
[4:51] @User_b9933007: なるほど
[4:53] @aki5503: #絵画名を日本語で答えてください！ほぼ1字1句あたったら正解になります！笑
[5:03] @User_607c778e: #正解？
[5:20] @aki5503: #正解したらちゃんとアナウンス出ます！
[5:23] @User_9412f3a9: 牛乳を注ぐ方だったか
[5:34] @User_f974649e: 真珠の耳飾りの少女だと思ったが違うのか
[5:37] @User_9d63cc9b: @正解を教えてください。
[5:40] @User_109116e8: Het melkmeisje
[5:46] @User_9412f3a9: #コマンドが効いてないのね
[5:52] @aki5503: #ヒント全然違ったのでもう一度描写しなおします(笑)
[5:57] @User_607c778e: すっごい惑わしてくるじゃんｗ
[6:45] @User_30238612: モナリザ
[6:46] @User_d0e405c3: 何にでも牛乳を注ぐ女
[7:15] @User_30238612: やった～～～！！！
[7:16] @User_ecd01a76: おお！
[7:21] @aki5503: #かなかまなさん正解です！！
[7:27] @User_b103bac9: おおぉ
[7:30] @User_d0e405c3: すごい！
[7:32] @aki5503: #では次行きます！
[7:35] @User_b9933007: おお！
[7:40] @User_8a455631: おお！
[7:40] @User_9412f3a9: おお
[7:50] @User_bf59fcc4: おー
[8:05] @User_607c778e: 痛くないです
[8:06] @User_b103bac9: いや痛くないよw
[8:27] @User_f974649e: 真珠の耳飾りの少女
[8:28] @User_607c778e: 真珠の耳飾りの少女
[8:30] @User_30238612: 真珠の耳飾りの少女
[8:34] @User_9412f3a9: 答えを言ってるやんｗｗｗ
[8:44] @User_b9933007: #真珠の耳飾りの少女
[8:45] @User_607c778e: あなたは宝物ですよ～～～
[9:14] @User_ecd01a76: 真珠の耳飾りの少女
[9:24] @User_ab7d51b8: Meisje met de parel
[9:29] @User_8a455631: ほうもつ
[9:30] @User_9412f3a9: #１回目はまちがえて、この絵の感想を言ってたのかな？
[9:46] @User_30238612: あなたは宝物ですよ～！！！！！
[9:57] @aki5503: #すみません、答え設定合わせるの間違えてましたwww もう一度回答お願いします！(笑)
[10:10] @User_ab7d51b8: ｗｗｗｗ
[10:18] @User_d5b05bb2: #なるほどｗ
[10:26] @User_109116e8: #誉め言葉のフルコースだ
[10:41] @User_9d63cc9b: いただきます？？？
[10:46] @User_ab7d51b8: 何を用意したんだろ
[10:46] @User_d5b05bb2: ほうもつをいただきます、怪盗かな
[10:49] @User_9412f3a9: 用意して、たべちゃった？
[10:54] @User_ecd01a76: #正解にコメントのタイミングが必要かと思った（＾－＾；）
[10:57] @aki5503: #次はちょっと難しいです！
[11:00] @User_b9933007: しずくさんの用意してくれる「ほうもつ」がすごく欲しい
[11:08] @User_b103bac9: #用意してつつ頂いたw
[11:11] @User_8a455631: しずくさんのほうもつ
[11:17] @User_ecd01a76: #ほうもつ、ほうもつｗ
[11:29] @User_b9933007: フェルメール？
[11:53] @User_f974649e: 最後の晩餐
[11:55] @User_30238612: 最後の晩餐
[11:56] @User_8a455631: 最後の晩餐
[11:58] @User_109116e8: ヴィーナスの誕生
[11:58] @User_d0e405c3: 最後の晩餐
[12:02] @User_557214c0: ヴィーナスの誕生
[12:03] @User_8a455631: ユダ
[12:05] @User_607c778e: 何のろけてんのさ
[12:11] @User_b103bac9: みた事はあるな
[12:17] @User_ecd01a76: ヴィーナス
[12:18] @aki5503: #このヒントで当てられたらめちゃくちゃすごいww.
[12:26] @User_d5b05bb2: 民衆を率いる自由の女神
[12:29] @User_30238612: ゲルニカ
[12:30] @User_20e31714: 民衆を導く自由の女神
[12:51] @User_8a455631: ドラクロワ
[12:54] @User_ab7d51b8: 夜警
[13:20] @User_d5b05bb2: #すごい！
[13:21] @User_ab7d51b8: すっっっっご
[13:23] @User_20e31714: すごい！
[13:24] @User_f974649e: ！？
[13:25] @User_d0e405c3: マジかｗｗｗｗｗ
[13:25] @User_109116e8: #奇跡
