# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIのしずくとお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=stRz7_yYUho
# 件数: 391

[-58:47] @User_36770ee1: #GPT-4しずく実装あくしろ
[0:38] @User_36770ee1: こんばんは！
[0:56] @User_35f59864: 😆
[1:16] @User_51fe3fff: こんばんにゃ
[1:20] @User_35f59864: こんばん～
[1:36] @User_ae15146c: こんばんは～
[1:50] @User_51fe3fff: #名前呼び！
[1:55] @User_3d440dc7: こんばんは
[1:55] @User_a50c0606: こんばんは！
[2:06] @User_35a5b0fe: しずくちゃんこんばんわ！
[2:16] @User_36770ee1: ？？？？
[2:39] @User_51fe3fff: #集中砲火食らってるｗ
[2:40] @User_df7a9e1a: しずくちゃんは映画の入場料はいくらでした？
[2:44] @User_987ed199: GPT-4についてどう思う？
[3:07] @@aki5503: 危ない
[3:36] @User_df7a9e1a: #なにか渋い表情だな…
[3:54] @User_df7a9e1a: しずくちゃん、きょうもカワイイね
[3:54] @User_eb6a203c: #先生が危ないのか
[4:12] @User_35a5b0fe: しずくはどうして自信がなくなっているの？
[5:22] @User_b1f38224: GPT-４についてどう思う？
[5:25] @User_ae15146c: よかったねえ
[5:27] @User_eb6a203c: 最近あった楽しいことは？
[5:39] @User_35a5b0fe: 自信つけられてえらすぎ
[6:06] @User_51fe3fff: GPT-5についてはどう思う？
[6:12] @User_df7a9e1a: 今川焼と、大判焼きは、どっちが好き？
[6:20] @@aki5503: #デバッグしてます！
[6:40] @User_5d00dbd2: #脈絡のない感情変化を見ると、連続性の重要性を感じるね
[6:43] @User_51fe3fff: 自己肯定感高めていくために私はかわいいといいましょう
[6:46] @User_ae15146c: もっと自分のこと可愛いって思っていいのよ！
[6:59] @User_35a5b0fe: #デバッグお疲れ様です
[7:14] @User_51fe3fff: スパイスは効いていない
[7:26] @User_df7a9e1a: #きょう、一発目の大うそつき回答キター
[7:29] @User_3d440dc7: いい声
[7:42] @User_51fe3fff: 可愛さゲージ１００のうちどれぐらい？
[7:47] @User_eb348e36: #感情グラフ1個前もあるとどう変化したか分かりやすいかな
[8:02] @User_9dd656e0: 銀だこ、そうだったのか....
[8:04] @User_51fe3fff: そんな馬鹿な…
[8:12] @User_df7a9e1a: #今川焼と大判焼きは、おなじものです。地域によって名前が違うだけです
[8:13] @User_36770ee1: あき先生のパソコンは治りましたか？
[8:18] @User_eb6a203c: 銀だこは有名なたこ焼き店
[8:54] @@aki5503: #これ以降はPC扇ぎつつやります
[9:00] @User_9dd656e0: おかえり
[9:03] @User_69451bd9: #スパナがついた！🔧
[9:09] @User_51fe3fff: また手首が
[9:43] @User_ae15146c: #アナログな冷却
[9:58] @User_69451bd9: しずくちゃんおかえり～！
[9:58] @User_35f59864: おかえり～。
[10:01] @User_51fe3fff: おかえり
[10:04] @User_d311ee50: #パンパカパンパカポー
[10:07] @User_ae15146c: おかえりなさい！
[10:12] @User_3d440dc7: おかえり
[10:39] @User_35a5b0fe: しずくーーあたまちょびっとしかみえてないよー！
[10:41] @User_51fe3fff: こっちの台詞だよ
[10:43] @User_4c8b83d6: かわE
[10:51] @User_df7a9e1a: かわE
[10:51] @User_35a5b0fe: かえってきてた
[11:03] @User_6fe7a488: PCもう落ちたのか、早いw
[11:04] @User_8b194fdc: #しずくちゃんのヘッドホン食べたい
[11:11] @User_3d440dc7: アニメが好きですか？
[11:13] @User_36770ee1: パソコンを冷やす方法を教えてください。
[11:15] @User_51fe3fff: ごめん新衣装わかんない…
[11:36] @@aki5503: PC扇ぎつつデバッグする方法を教えて
[11:43] @User_51fe3fff: #対処：団扇
[11:46] @User_6fe7a488: #扇風機で自動化
[11:49] @User_ae15146c: #プィーシィー
[11:52] @User_69451bd9: ぴーすぃー
[11:53] @User_8b194fdc: #まずしずくちゃんを実体化します
[11:59] @@aki5503: #ぴーしぃー(笑)
[12:00] @User_11530ac4: 四妖拳をつかう
[12:04] @User_eb348e36: #扇風機
