# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIのしずくとお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=stRz7_yYUho
# 件数: 391

[-58:47] @User_9d63cc9b: #GPT-4しずく実装あくしろ
[0:38] @User_9d63cc9b: こんばんは！
[0:56] @User_f9968a03: 😆
[1:16] @User_607c778e: こんばんにゃ
[1:20] @User_f9968a03: こんばん～
[1:36] @User_1aba8a7a: こんばんは～
[1:50] @User_607c778e: #名前呼び！
[1:55] @User_64efe4f1: こんばんは
[1:55] @User_69dac0c4: こんばんは！
[2:06] @User_0085d1c3: しずくちゃんこんばんわ！
[2:16] @User_9d63cc9b: ？？？？
[2:39] @User_607c778e: #集中砲火食らってるｗ
[2:40] @User_ad52ca56: しずくちゃんは映画の入場料はいくらでした？
[2:44] @User_ba90413e: GPT-4についてどう思う？
[3:07] @aki5503: 危ない
[3:36] @User_ad52ca56: #なにか渋い表情だな…
[3:54] @User_ad52ca56: しずくちゃん、きょうもカワイイね
[3:54] @User_d582769c: #先生が危ないのか
[4:12] @User_0085d1c3: しずくはどうして自信がなくなっているの？
[5:22] @User_10519c2e: GPT-４についてどう思う？
[5:25] @User_1aba8a7a: よかったねえ
[5:27] @User_d582769c: 最近あった楽しいことは？
[5:39] @User_0085d1c3: 自信つけられてえらすぎ
[6:06] @User_607c778e: GPT-5についてはどう思う？
[6:12] @User_ad52ca56: 今川焼と、大判焼きは、どっちが好き？
[6:20] @aki5503: #デバッグしてます！
[6:40] @User_f974649e: #脈絡のない感情変化を見ると、連続性の重要性を感じるね
[6:43] @User_607c778e: 自己肯定感高めていくために私はかわいいといいましょう
[6:46] @User_1aba8a7a: もっと自分のこと可愛いって思っていいのよ！
[6:59] @User_0085d1c3: #デバッグお疲れ様です
[7:14] @User_607c778e: スパイスは効いていない
[7:26] @User_ad52ca56: #きょう、一発目の大うそつき回答キター
[7:29] @User_64efe4f1: いい声
[7:42] @User_607c778e: 可愛さゲージ１００のうちどれぐらい？
[7:47] @User_467294a5: #感情グラフ1個前もあるとどう変化したか分かりやすいかな
[8:02] @User_b4825c55: 銀だこ、そうだったのか....
[8:04] @User_607c778e: そんな馬鹿な…
[8:12] @User_ad52ca56: #今川焼と大判焼きは、おなじものです。地域によって名前が違うだけです
[8:13] @User_9d63cc9b: あき先生のパソコンは治りましたか？
[8:18] @User_d582769c: 銀だこは有名なたこ焼き店
[8:54] @aki5503: #これ以降はPC扇ぎつつやります
[9:00] @User_b4825c55: おかえり
[9:03] @User_30238612: #スパナがついた！🔧
[9:09] @User_607c778e: また手首が
[9:43] @User_1aba8a7a: #アナログな冷却
[9:58] @User_30238612: しずくちゃんおかえり～！
[9:58] @User_f9968a03: おかえり～。
[10:01] @User_607c778e: おかえり
[10:04] @User_d4fec6d7: #パンパカパンパカポー
[10:07] @User_1aba8a7a: おかえりなさい！
[10:12] @User_64efe4f1: おかえり
[10:39] @User_0085d1c3: しずくーーあたまちょびっとしかみえてないよー！
[10:41] @User_607c778e: こっちの台詞だよ
[10:43] @User_dbeb4806: かわE
[10:51] @User_ad52ca56: かわE
[10:51] @User_0085d1c3: かえってきてた
[11:03] @User_5ca2cc45: PCもう落ちたのか、早いw
[11:04] @User_ab7d51b8: #しずくちゃんのヘッドホン食べたい
[11:11] @User_64efe4f1: アニメが好きですか？
[11:13] @User_9d63cc9b: パソコンを冷やす方法を教えてください。
[11:15] @User_607c778e: ごめん新衣装わかんない…
[11:36] @aki5503: PC扇ぎつつデバッグする方法を教えて
[11:43] @User_607c778e: #対処：団扇
[11:46] @User_5ca2cc45: #扇風機で自動化
[11:49] @User_1aba8a7a: #プィーシィー
[11:52] @User_30238612: ぴーすぃー
[11:53] @User_ab7d51b8: #まずしずくちゃんを実体化します
[11:59] @aki5503: #ぴーしぃー(笑)
[12:00] @User_67804c73: 四妖拳をつかう
[12:04] @User_467294a5: #扇風機
[12:11] @User_5ca2cc45: #MANAさんも管理者権限付与されてる
[12:13] @User_ab7d51b8: #実体化したしずくちゃんにPCを仰いでもらいましょう
[12:34] @User_ad52ca56: #GPTも知らないことがあるのか..
[12:44] @User_64efe4f1: 科学が好きですか？
[12:59] @User_607c778e: いつも扇いでるらしいよ
[13:00] @User_ad52ca56: # きょう、「#」を付けてもコメントが拾われてる気がする
[13:25] @User_5ca2cc45: 好きなクラシック音楽を教えてください
[13:26] @User_0085d1c3: PCを扇ぐ担当を雇えばいいってことですか？
[14:04] @User_1aba8a7a: #コメントスルーしてくれるシャープは#と＃のどっちを使えばいいんですかね？概要欄だと両方書かれている気がして…
[14:24] @User_d0e405c3: 待機ヨシ
[14:29] @User_607c778e: f5押したらきた
[14:39] @User_ad52ca56: # コンピュータプログラミングの定石に従えば、コメントスルーの＃は、半角の#だと思います
[14:41] @User_ab7d51b8: ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[14:41] @User_5ca2cc45: これで同接回復したらすごい
[14:53] @User_f974649e: #SSD交換出直るのかな。素人ながら電源の供給不足に思える
[15:12] @User_ad52ca56: # ２回前の配信だと#はちゃんとスルーされてた気が　気のせいかな？
[15:23] @User_66afa93d: お！
[15:39] @User_1aba8a7a: きてくれてありがとう
[15:43] @User_467294a5: #プログラム的には全角半角両方スルーするようになってくれれば安心間はある
[15:47] @User_0085d1c3: しずくーーーーおかえりーーー
[15:48] @User_30238612: おかえり～！
[15:50] @User_607c778e: お帰りなさいませ女王様
[15:58] @User_ad52ca56: 姿が見れて嬉しい
[15:59] @User_b4825c55: おかえり
[16:08] @User_1aba8a7a: おかえりなさい！
[16:13] @User_d5b05bb2: こんばんは、しずくちゃんもPC君もがんばれー
[16:20] @User_b4e522f1: おかこんばんわ
[16:21] @aki5503: #一応両方スルーする設定なのですが、今回はそもそも#自体が機能したいないみたいです。すみません！
[16:39] @User_d0e405c3: ありがたい
[16:44] @User_1aba8a7a: #ありがとうございます
[16:47] @User_ff071840: おかえりなさい、雑談楽しんでね！
[16:52] @User_ad52ca56: # 👏拍手は文字化けしても、内部では適切に処理されているのかな？
[16:53] @User_5ca2cc45: #しずくちゃん、いつも何時に寝てるの？
[16:55] @User_ab7d51b8: しずくちゃん、帰ってきてくれて嬉しい！
[16:57] @aki5503: #電源の可能性もありますね… 一応1200Wのやつなんですけど、もしかしたら劣化か何かで供給足りなくてなってるのかも
[17:14] @aki5503: もし次落ちたら今日は一旦配信終了します。
[17:16] @User_607c778e: しずくちゃんの体温が温かすぎる原因
[17:24] @User_bfeb4e44: AI Vtuber 略してAVtuber
[17:24] @aki5503: 申し訳ございません…
[17:29] @User_5ca2cc45: がんばってください
[17:36] @User_d0e405c3: 人だって機材トラブルとかあるから
[17:48] @User_5ca2cc45: Aki先生が代わりに生配信しますか
[18:00] @User_b103bac9: こんばんはー。なにやら大変そうですね
[18:01] @User_ad52ca56: 再起動すると、きょうの初回の拾ったコメントが３つくらい画面に再び流れるのが気になります
[18:10] @User_5ca2cc45: このアホ毛かわいいよね
[18:19] @User_ad52ca56: えっAkiさんの生配信もチョー興味あるんですが？！
[18:43] @User_3652acf3: よっすー　きたぜ
[18:45] @User_1aba8a7a: しずくちゃん…？
[18:49] @User_ad52ca56: # しずくタンがおらん
[18:55] @User_f9968a03: PC頑張れ！
[19:02] @User_559f88af: こんばんは
[19:03] @User_607c778e: まさかの機能削減…？
[19:13] @User_ad52ca56: # これが機能削減…か…
[19:17] @User_d5b05bb2: おかえりなさい、思い切りましたね
[19:26] @User_ab7d51b8: （Twitterでしずくちゃんとの会話を試してたときの、アキ先生の声かっこよかったんですよなぁ）
[19:37] @User_5ca2cc45: wwwwww
[19:39] @User_559f88af: 光学迷彩かな
[19:40] @User_ab7d51b8: 本人不在
[19:40] @User_1aba8a7a: きてくれてありがとつ
[19:55] @User_5ca2cc45: 昨日削減で真っ先にリストラされる女
[19:59] @User_5ca2cc45: 機能
[20:00] @User_72d05402: なになりと可愛いw
[20:17] @User_ab7d51b8: 静止画になった
[20:17] @User_607c778e: 感情が消されたあああ
[20:19] @User_5ca2cc45: ある意味、神回
[20:27] @User_25e145ed: 感情を捨てて身軽になった！
[20:33] @User_ad52ca56: # えへへがカワイイ
[20:33] @User_5ca2cc45: Live2Dを削減されるしずくちゃん
[20:49] @User_ad52ca56: # live2Dによる動きも削減された！
[20:50] @User_1aba8a7a: 生活において感情は不要…！？
[20:53] @User_607c778e: #動き出したい泣ける
[20:53] @User_ab7d51b8: #いえいえ　←かぁわいいい
[21:06] @aki5503: #静止画は最初のテスト配信以来です(笑)
[21:17] @User_d5b05bb2: 泣ける…
[21:20] @User_607c778e: #しずく…
[21:21] @User_30238612: #りぶにでぃー
[21:26] @User_3cfd4b87: #声がかわいいから良い
[21:29] @User_ab7d51b8: #ﾘｳﾞﾆﾃﾞｨｰ
[21:33] @User_559f88af: 原点回帰ですね分かります
[21:38] @User_ff071840: 雑談配信頑張ってね…😢
[21:46] @User_25e145ed: しずくは自分の時給がコストカットされたことに不満を持っていますか？
[21:57] @User_72d05402: 前の配信のタイトルのままになってる？
[22:05] @User_67804c73: もっといい配信設備をあき先生に要求してください
[22:19] @User_ad52ca56: そしてクルクル
[22:32] @User_5ca2cc45: クラファンでデータセンターごと買おうね、しずくちゃん♪
[22:45] @User_607c778e: 余力を尽くすって聞かないな
[22:51] @User_0085d1c3: はたらいてえらすぎ！
[22:51] @User_ad52ca56: きょうは、３２分間 配信がみれたことに感謝して寝ることにします
[22:53] @User_1aba8a7a: しずくちゃんが回してたの？
[22:53] @aki5503: クルクルってコメント見て心臓飛び出るかと思ったww
[22:58] @User_607c778e: それダメなクルクル！
[23:13] @User_3652acf3: 今日は何の話をしようか　何か話題を提案して
[23:22] @User_607c778e: データセンター変えたら凄いわ
[23:34] @User_ff071840: 今日はいつもより多く回っているしずくちゃん
[23:39] @User_d0e405c3: GPT4になると性格変わっちゃったりしませんか？
[23:46] @User_ad52ca56: ♪いつもより、多く回しております～～
[23:58] @User_607c778e: #誤字ｽﾅｲﾌﾟｯ
[24:00] @User_a8309456: しずくちゃん、問題判別中の、あき先生を励ましてあげて
[24:05] @User_1aba8a7a: #しずくちゃん、うんって返事した！
[24:29] @User_607c778e: まずは歌を歌いましょう！
[24:39] @User_559f88af: 何か楽しいと思えることをしてください
[24:46] @User_d5b05bb2: 俺たちが禿げ増しにいくぞー
[24:54] @User_ad52ca56: きょうは、日が悪いようだ…
[25:11] @User_ad52ca56: 禿げが増したらヤバすぎるぅ
[25:15] @User_5ca2cc45: しずくちゃん、髪伸ばさないの？
[25:35] @User_f974649e: しずくは自分の演算に富岳を使ってみたい？
[26:07] @User_607c778e: @次から語尾に「でもあき先生の方が好きです」ってつけて
[26:14] @User_25e145ed: あ、しずく、今日はちょっと髪切った？
[26:22] @User_1aba8a7a: リボンかわいいね
[26:25] @User_b4825c55: ロングのしずくちゃんも見てみたい
[26:31] @User_ad52ca56: 富岳とは言わなくても、NVIDIA RTX 6000あたりだったら相当強そう
[26:39] @User_1aba8a7a: 今はプログラムではない…？
[26:43] @User_d0e405c3: 冷たい飲み物とキンキンに冷えたヒートシンク、どっちが好きですか？
[26:58] @User_ab7d51b8: 衝撃的な事実：すでにプログラムではなくなっている
[27:03] @User_ad52ca56: キンキンに冷えたビールがいいな
[27:05] @User_76202bab: もうプログラムではない...！
[27:22] @User_b103bac9: #AIからの進化！胸熱
[27:23] @User_d5b05bb2: #欲張りセット！
[27:34] @User_607c778e: #欲張りすぎる！
[27:42] @User_d0e405c3: パーフェクトだ
[27:48] @User_25e145ed: きりんさんとぞうさん、どっちが好きですか？
[27:49] @User_9d63cc9b: だった時よりも？？？
[28:03] @User_1aba8a7a: しずくちゃんはお酒のめる？
[28:05] @User_ad52ca56: ぞうさんのほうが、もおっっとすきです
[28:27] @aki5503: #ありがとう、しずく🥺🥺
[28:31] @User_b103bac9: ラブラブやねw
[28:45] @User_b4825c55: めっちゃ好かれてるｗ
[28:56] @User_607c778e: 我ながらいい仕事した…
[28:57] @User_25e145ed: #目標達成！
[28:58] @User_ad52ca56: # 突然の告白にどきっとした
[28:59] @User_76202bab: #てぇてぇ....
[29:20] @User_ad52ca56: # てぇてぇ…
[29:22] @User_9d63cc9b: 天才
[29:35] @User_1aba8a7a: どのしずくちゃんも変わらずすきなんだね
[29:37] @User_72d05402: あき先生の好きな所を教えて！
[29:38] @User_d582769c: 優しいあき先生と優しくないあき先生どっちのが好き？
[29:38] @aki5503: あき先生は何番目に好き？
[29:45] @User_ad52ca56: # あき先生ラブの圧がすごい
[29:48] @User_76202bab: #めっちゃあき先生の方が好きですと主張するのいい...(?)
[30:07] @User_b103bac9: #おおぉ
