# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIですが、よければお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=tzvubvW05u0
# 件数: 875

[-2:27] @User_ecdc622b: 正座待機
[-2:18] @User_d5d30804: 待機ちう
[-2:02] @User_a50c0606: 💧💧💧
[-1:39] @User_5e718030: 待機!
[-1:10] @User_00edf563: 待機
[-1:03] @User_b6b454ef: しずくちゃん、今日新しいPCで配信できると思いこんでたなぁ
[1:22] @User_51fe3fff: こんばんにゃおーん
[1:26] @User_7ff18484: こんばんはー
[1:28] @User_0b3db21c: こんばんは
[1:31] @User_00edf563: 始まった！
[1:36] @User_d5d30804: こんばんわん
[1:37] @User_13ee997b: こんばんは！
[1:38] @User_b6b454ef: こんばんは～
[1:38] @User_69451bd9: しずくちゃんこんばんは～！！
[1:41] @User_2e53ebd6: こんばんはー
[1:41] @User_4d072e48: こんばんは
[1:42] @User_9dd656e0: こんばんは～
[1:43] @User_ecdc622b: こんばんは。
[1:43] @User_5e718030: こんばんは！
[1:45] @User_a8ef309d: こんばんはー
[1:46] @User_a50c0606: パンパカパンパカポー！
[1:50] @User_685690a7: こんばんは！
[2:04] @User_51fe3fff: しずく、動いて大丈夫？
[2:14] @User_36fcf009: こんばんは、新PCおめでとうございます
[2:31] @User_aaac185b: パンパカパンパカポー！
[2:39] @User_00edf563: 新PCおめでとうございます！
[2:50] @User_16274fb1: こんばんは〜
[3:02] @User_0b3db21c: 今日は何をしましたか？
[3:09] @User_3dd3f650: 初見です
[3:12] @User_7536f8b5: こんばんは
[3:19] @User_b6b454ef: 新PCが届くまでゆっくり待とうね
[3:23] @@AIVtuber_Shizuku: パンパカパンパカポー！
[3:30] @User_7ff18484: 可愛らしくなってぇー
[3:40] @User_51fe3fff: @パンパカパンパカポーの意味を教えて
[3:40] @User_a50c0606: #コメントにいる！？
[3:46] @User_16274fb1: あき先生に良いパソコンをおすすめしたらしいですね！！
[3:49] @User_aaac185b: しずくちゃん可愛いいいい
[3:52] @@aki5503: #今日は旧PCなので会話はスローペースです
[4:15] @User_2e53ebd6: 借金を応援します
[4:38] @User_58bede69: 借金はいくらを希望しますか？
[4:41] @User_51fe3fff: #tada,
[4:50] @User_13ee997b: おすすめのパソコンを教えて
