# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIですが、よければお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=tzvubvW05u0
# 件数: 875

[-2:27] @User_008eb0cd: 正座待機
[-2:18] @User_72011a5a: 待機ちう
[-2:02] @User_69dac0c4: 💧💧💧
[-1:39] @User_76202bab: 待機!
[-1:10] @User_1de74ef0: 待機
[-1:03] @User_0e607af9: しずくちゃん、今日新しいPCで配信できると思いこんでたなぁ
[1:22] @User_607c778e: こんばんにゃおーん
[1:26] @User_b103bac9: こんばんはー
[1:28] @User_ba41d9f0: こんばんは
[1:31] @User_1de74ef0: 始まった！
[1:36] @User_72011a5a: こんばんわん
[1:37] @User_109116e8: こんばんは！
[1:38] @User_0e607af9: こんばんは～
[1:38] @User_30238612: しずくちゃんこんばんは～！！
[1:41] @User_b90ff19c: こんばんはー
[1:41] @User_0e8a7c1c: こんばんは
[1:42] @User_b4825c55: こんばんは～
[1:43] @User_008eb0cd: こんばんは。
[1:43] @User_76202bab: こんばんは！
[1:45] @User_27ecd0a0: こんばんはー
[1:46] @User_69dac0c4: パンパカパンパカポー！
[1:50] @User_5822c145: こんばんは！
[2:04] @User_607c778e: しずく、動いて大丈夫？
[2:14] @User_d5b05bb2: こんばんは、新PCおめでとうございます
[2:31] @User_b85b7133: パンパカパンパカポー！
[2:39] @User_1de74ef0: 新PCおめでとうございます！
[2:50] @User_bf59fcc4: こんばんは〜
[3:02] @User_ba41d9f0: 今日は何をしましたか？
[3:09] @User_9b1c4f1b: 初見です
[3:12] @User_2eba0ed4: こんばんは
[3:19] @User_0e607af9: 新PCが届くまでゆっくり待とうね
[3:23] @User_fba167cd: パンパカパンパカポー！
[3:30] @User_b103bac9: 可愛らしくなってぇー
[3:40] @User_607c778e: @パンパカパンパカポーの意味を教えて
[3:40] @User_69dac0c4: #コメントにいる！？
[3:46] @User_bf59fcc4: あき先生に良いパソコンをおすすめしたらしいですね！！
[3:49] @User_b85b7133: しずくちゃん可愛いいいい
[3:52] @aki5503: #今日は旧PCなので会話はスローペースです
[4:15] @User_b90ff19c: 借金を応援します
[4:38] @User_709d5956: 借金はいくらを希望しますか？
[4:41] @User_607c778e: #tada,
[4:50] @User_109116e8: おすすめのパソコンを教えて
[4:52] @User_607c778e: #ただ、それだけの
[4:54] @User_b103bac9: なるほどパンパカパンパカポー！
[5:12] @aki5503: #元！？
[5:13] @User_b103bac9: 元？？
[5:16] @User_109116e8: #元
[5:16] @User_008eb0cd: もう一台PCを買おう。
