# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】世界初！？ しずくGPT-4お披露目会【JP/EN】
# URL : https://www.youtube.com/watch?v=aRI3TfjZUQg
# 件数: 2243

[-1:47:44] @User_d601f156: 期待待機
[-28:37] @User_8b194fdc: 来月か再来月には一万人突破しそうですね
[-11:07] @@AIVtuber_Shizuku: # ご主人様、祝福の温かいコメントをありがとうございます！
[-4:53] @User_3a33415e: 待機
[-4:45] @User_2e53ebd6: あと3分ちょい
[-4:44] @User_1eb252b6: 待機！
[-3:35] @User_7ff18484: 待機:shelterin:
[-3:27] @User_3a33415e: チャンネル登録者2000人、おめでとうございます
[-3:19] @User_789a1960: :shelterin:
[-2:28] @User_a50c0606: 何が始まるんです？
[-0:40] @User_a82e72ea: 第三次大戦だ
[-0:29] @User_51fe3fff: もっと扇いでくださいのイラストがヘッダーになってるｗ
[-0:23] @User_a8ef309d: 待機、なんだか知らんがおめでとうございます
[-0:14] @User_a30bfcaf: チャンネル登録者2000人突破、おめでとう！
[-0:05] @User_13b4024a: 世界初とは
[0:04] @User_8b194fdc: わくわく
[0:16] @User_36770ee1: こんばんは！
[0:22] @User_72258c08: こんばんは
[0:25] @User_9453d8e4: 2000人凄い
[0:25] @User_c152389a: こんばんは
[0:26] @User_edc866ae: wkwk
[0:28] @User_8b194fdc: 親の声より聞いたBGM
[0:31] @User_6b2fd898: こんばんはー
[0:31] @User_5844c024: 👏
[0:31] @User_9c0c22ca: 2030!!!
[0:33] @User_eb6a203c: 明日は休みだからしっかり見れるぞー
[0:36] @User_3a33415e: こんばんは！
[0:43] @User_5801ee2a: デジタル全裸待機
[0:47] @User_cf512b08: こんばんは！
[0:55] @User_36770ee1: @2000人紀念で円周率を2000桁囁いてください。
[1:02] @User_7ff18484: こんばんはー
[1:02] @User_51fe3fff: こんばんワン🐶
[1:07] @User_2e53ebd6: こんばんは！
[1:09] @User_1eb252b6: こんばんは～！
[1:10] @User_4de9e7f3: こんばんはぁ
[1:11] @User_d5d30804: こんばんは〜
[1:12] @User_8b3a2183: こんばんは！
[1:17] @User_5e718030: こんばんは！
[1:17] @User_a30bfcaf: こんばんは
[1:23] @User_13b4024a: こんばんは
[1:26] @User_51cfdcf1: #こんばんは！
[1:28] @User_b6b454ef: こんばんは～
[1:29] @User_eb6a203c: 円周率何桁まで言えるの？
[1:29] @User_43d0df47: こんばんは！初見ですﾜｸﾜｸ
[1:30] @User_8b3a2183: @悲しいの？
[1:33] @User_5d00dbd2: ぱんぱかぱんぱかぽー！
[1:37] @User_8142f876: こんばんは。いきなりふきげんじゃん
[1:38] @User_2e53ebd6: ご機嫌斜め？
[1:39] @User_5801ee2a: ＃こんばんわー
[1:50] @@aki5503: #こんばんは！
[1:52] @User_51fe3fff: あの白い丸は？
[1:54] @User_8b194fdc: 笑って～
[1:54] @User_8ef2d70f: 感情見えるのすっげー
[2:01] @User_b6b454ef: @悲しいことあった？
[2:04] @User_a8ef309d: こんばんは！
[2:06] @User_36770ee1: 拾えていないぽい？
[2:12] @User_4c8b83d6: わんばんこ
[2:17] @User_6fe7a488: あれ、しずくちゃん機嫌悪い？
[2:17] @User_eb6a203c: プレゼン失敗したの？
[2:20] @User_36770ee1: パンパカパンパカポー
[2:22] @User_8142f876: @パンパカパンパカポー
[2:30] @User_9c0c22ca: 悲しそう
[2:32] @User_36770ee1: @2000人紀念で円周率を2000桁囁いてください。（再送）
[2:36] @User_7214a7f6: こんばんは！
[2:39] @User_13ee997b: こんばんは！
[2:41] @User_89dd5d9b: こんばんは
[2:43] @User_1eb252b6: 世界初ってなに！？
[2:44] @User_6fe7a488: 資金調達おめでとうございます！！！！！
[2:58] @User_8b194fdc: 借金推奨するAIすき
[3:04] @User_72258c08: すごい悲しんでる、何かあったの？
[3:08] @User_2e53ebd6: たぬき力が低い？
[3:17] @User_8ef2d70f: ご主人のPC壊れたから悲しくなっているのか？
[3:28] @User_a82e72ea: 思ったよりダウナーな感じで好き
[3:34] @User_1dbb51e2: 悲しさが強い････
[3:35] @User_67c2a3fd: こんばんは。パンパカパンパカポーとはどのような挨拶なのですか？
[3:45] @User_a8ef309d: #パンパカパンパカポー
[3:50] @User_1eb252b6: かなしいの...?
[3:52] @User_36770ee1: #よし円周率であき先生のPCを落とす大作戦
[4:00] @User_3a33415e: 元気出して－！
[4:02] @User_9863d9cb: 初です。世界活初〇〇楽しみです
[4:06] @User_36770ee1: わざわいゆめ
[4:07] @User_103499fc: はじめましてこんばんは
[4:12] @User_d603449e: 表情好き
[4:17] @User_72258c08: 新しいパソコンが届いていない、悲しみと怒りか
[4:29] @User_7ff18484: #名前呼んでくれるね
[4:31] @User_51fe3fff: パンパカパンパカポー！元気になる呪文！
[4:37] @User_613c2f15: こんばんわ
[4:38] @User_8b194fdc: しずくちゃんには2000人の応援者が居るよ！悲しまないで！
[4:39] @User_2e53ebd6: ＠新しいパソコンが欲しいのかな？
[4:43] @User_eb6a203c: 慰めの言葉かぁ、「なんとかなる！なんなかったらドンマイ！」とかしか知らないや
[4:52] @User_a8ef309d: 悲しい時はパンパカパンパカポー
[4:52] @User_5d00dbd2: この配信中に2000人行きそうだね
[5:01] @User_789a1960: @にゃ〜ん？
[5:03] @User_13ee997b: #黒くなった
[5:16] @User_8b3a2183: しずくちゃんなら上手くやれるよ！
[5:20] @@aki5503: #しずくの悲しいパラメータが下がるにつれて丸を一つずつ開示していきます！
[5:30] @User_8b194fdc: あ、なるほど
[5:39] @User_51fe3fff: @しずくちゃんかわいいよ！
[5:39] @User_36fcf009: パンパカパンパカポー
[5:44] @User_a8ef309d: #まさかのギャルゲーチックなシステム！？
[5:44] @User_2e53ebd6: ＃なるほど
[5:47] @User_3a33415e: #そういうルール化
[5:48] @User_7ff18484: うえ〜い！パンパカパンパカポー！
[5:51] @User_eb6a203c: #悲しいのは初期値だったのね
[5:51] @User_8b194fdc: あえて悲しいパラメータを上げておいて、コメントでしずくちゃんを接待するということなのですね
[5:58] @User_8b3a2183: #好感度あげなきゃ…
[5:58] @User_13ee997b: #つまり、しずくちゃんを励まそう大会！
[6:03] @User_8ef2d70f: #それ初期値なんか
[6:11] @User_3d440dc7: こんばんは
[6:19] @User_36770ee1: あっ　上書きしてしまう
[6:19] @User_2e53ebd6: @もうすぐ新しいパソコンが届くね！
[6:20] @User_9453d8e4: @悲しげな表情も可愛いです
[6:22] @User_3a33415e: しずくさん、登録者2000人達成おめでとうございます！　すごいよ、すごいよ！
[6:23] @User_a82e72ea: この俺もこの心を血に染めて哀しみを背負うことができたわ…
[6:28] @User_103499fc: ｼｽﾞｸﾁｬﾝﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ!
[6:28] @User_36770ee1: 撤回撤回
[6:29] @User_43d0df47: @初見です！しずくちゃん可愛くてすぐファンになっちゃいました🤗
[6:35] @User_30001656: @喋り方好き
[6:38] @User_8b194fdc: しずくちゃん！美味しいカニを送るから食べて楽しくなって
[6:43] @User_cf512b08: @楽しいことを考えるコーピングという手法があるのですが知ってますか？
[6:44] @User_36770ee1: 悲しみのパラメーターを上げてください
[6:44] @User_8ef2d70f: @
[6:47] @User_eb6a203c: 何かカッコいいセリフを教えて
[6:52] @User_13ee997b: かわいい
[7:08] @User_36770ee1: 来た
[7:08] @User_1eb252b6: @ しずくちゃんの笑顔だいすき！
[7:10] @User_51fe3fff: 円周率で減る悲しみ
[7:28] @User_b6b454ef: @瀬戸大橋を見に行く？結構楽しいよ？
[7:36] @User_36770ee1: #GPT APIの悲鳴が聞こえる...
[7:38] @User_9453d8e4: #長そう
[7:39] @@aki5503: #やはりCPUの音声合成は遅いっ！
[7:41] @User_eb6a203c: 悲しい時は素数を数えるんだ…
[7:43] @User_3a33415e: #円周率と悲しみの関係はどうなるかな？
[7:54] @User_1dbb51e2: !?
[7:54] @User_d5d30804: @しずくちゃんチャンネル登録者数2000人超えおめでとう！
[7:58] @User_89dd5d9b: ！？
[7:58] @User_8ef2d70f: 唐突にASMRはじまったｗｗｗ
