# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】世界初！？ しずくGPT-4お披露目会【JP/EN】
# URL : https://www.youtube.com/watch?v=aRI3TfjZUQg
# 件数: 2243

[-1:47:44] @User_85f6e14c: 期待待機
[-28:37] @User_ab7d51b8: 来月か再来月には一万人突破しそうですね
[-11:07] @User_fba167cd: # ご主人様、祝福の温かいコメントをありがとうございます！
[-4:53] @User_ecd01a76: 待機
[-4:45] @User_b90ff19c: あと3分ちょい
[-4:44] @User_6f723163: 待機！
[-3:35] @User_b103bac9: 待機UCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAg
[-3:27] @User_ecd01a76: チャンネル登録者2000人、おめでとうございます
[-3:19] @User_514e6373: UCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAg
[-2:28] @User_69dac0c4: 何が始まるんです？
[-0:40] @User_61c59997: 第三次大戦だ
[-0:29] @User_607c778e: もっと扇いでくださいのイラストがヘッダーになってるｗ
[-0:23] @User_27ecd0a0: 待機、なんだか知らんがおめでとうございます
[-0:14] @User_a8309456: チャンネル登録者2000人突破、おめでとう！
[-0:05] @User_70e05d6e: 世界初とは
[0:04] @User_ab7d51b8: わくわく
[0:16] @User_9d63cc9b: こんばんは！
[0:22] @User_70ed7ffd: こんばんは
[0:25] @User_559f88af: 2000人凄い
[0:25] @User_41417a3d: こんばんは
[0:26] @User_bd80c452: wkwk
[0:28] @User_ab7d51b8: 親の声より聞いたBGM
[0:31] @User_979bd192: こんばんはー
[0:31] @User_ff071840: 👏
[0:31] @User_8a455631: 2030!!!
[0:33] @User_d582769c: 明日は休みだからしっかり見れるぞー
[0:36] @User_ecd01a76: こんばんは！
[0:43] @User_04b2b112: デジタル全裸待機
[0:47] @User_d0e405c3: こんばんは！
[0:55] @User_9d63cc9b: @2000人紀念で円周率を2000桁囁いてください。
[1:02] @User_b103bac9: こんばんはー
[1:02] @User_607c778e: こんばんワン🐶
[1:07] @User_b90ff19c: こんばんは！
[1:09] @User_6f723163: こんばんは～！
[1:10] @User_d1c0b06e: こんばんはぁ
[1:11] @User_72011a5a: こんばんは〜
[1:12] @User_dd2afb26: こんばんは！
[1:17] @User_76202bab: こんばんは！
[1:17] @User_a8309456: こんばんは
[1:23] @User_70e05d6e: こんばんは
