# ライブチャット一覧
# 動画: 【AI Vtuber/ASMR】全肯定ASMR♡ AIのしずくが人間のご主人様を全力で褒めてあげます。【JP/EN】
# URL : https://www.youtube.com/watch?v=AG_dsANTPd0
# 件数: 2697

[-8:22] @User_1bc9035e: 待機！！
[-5:35] @User_8b3a2183: 楽しみ！
[-5:29] @User_e3f56988: 💧待機
[-4:30] @User_69451bd9: 💧待機💧
[-3:28] @User_2e53ebd6: さて、新PCの性能でどう変わるか…
[-3:27] @User_7ff18484: 💧待機
[-2:40] @User_43d0df47: 💧待機💧
[-2:33] @User_76e8b5e4: 💧待機
[-2:16] @User_13ee997b: 💧💧💧
[-2:12] @User_cf512b08: 見せてもらおうか、エリートPCの性能とやらを
[-1:53] @User_51fe3fff: #さよなら団扇…
[-1:40] @User_52e190bd: 待機
[-1:32] @User_8b194fdc: 💧Loveしずく💧
[-1:32] @User_43d0df47: しずくちゃ〜〜💧💧💧
[-1:31] @User_2e53ebd6: 先生の部屋がサウナになるんやで…
[-1:25] @User_4ef55652: 💧待機💧
[-1:14] @User_a50c0606: 💧待機
[-1:05] @User_11530ac4: 先生お部屋ポカポカ！
[-1:01] @User_9453d8e4: 両方のPCを扇ぐことになる可能性
[-0:58] @User_13ee997b: #あき先生もっと(自分を)扇いでください
[-0:50] @User_51fe3fff: #
[-0:48] @User_43d0df47: 暖房いらずだ
[-0:33] @User_51fe3fff: #APIの高さに天を仰ぐあき先生
[-0:27] @User_5844c024: #待機感謝です！
[-0:13] @User_8635ad17: 💧待機
[-0:13] @User_2e53ebd6: にゃむいママこんばんはー(*'ω'*)
[0:06] @User_2a2a592c: #待機
[0:15] @User_43d0df47: 配信する度に見てくれる人が増えていってていいね
[0:17] @User_11530ac4: こんばんわー！
[0:19] @User_2e53ebd6: しずくちゃんこんばんはー(*'ω'*)
[0:19] @User_a50c0606: パンパカパンパカポー！
[0:19] @User_07e95852: こんばんは～
[0:20] @User_5d00dbd2: パンパカパンパカポー！
[0:20] @User_9a9e646d: こんばんわ～
[0:20] @User_51fe3fff: こんばんにゃん☆
[0:21] @User_5844c024: #こんばんは、癒やされに来ました
[0:22] @User_7ff18484: こんばんはー
[0:22] @User_4d23c9bf: 初見です
[0:23] @User_e3f56988: #きた！
[0:23] @User_7536f8b5: こんばんは！
[0:25] @User_d612d738: こんばんは！
[0:27] @User_e3f56988: こんばんは！
[0:28] @User_43d0df47: パンパカパンパカポー！！
[0:30] @User_69451bd9: しずくちゃんこんばんは！
[0:32] @User_ea0b5158: きた！
[0:33] @User_13ee997b: こんばんは！
[0:35] @User_8635ad17: こんばんは
[0:35] @User_c86d22af: こんばんはー
[0:35] @User_2e53ebd6: #すげえもう同接100人突破してる
[0:38] @User_8b194fdc: パンパカパンパカポー！
[0:40] @User_8c741bc6: こんばんはーっ
[0:42] @User_11e7336c: しずくちゃん、こんばんは！
[0:42] @User_52e190bd: こんばんはー
[0:44] @User_07e95852: パンパカパンパカポー！
[0:44] @User_bf747a92: こんばんはー
[0:45] @User_34e444d6: こんばんは
[0:48] @User_72258c08: こんばんは
[0:50] @User_89dd5d9b: こんばんは〜
[0:55] @User_8b194fdc: 肯定されたい
[0:59] @User_2e53ebd6: こんばんはー(*'ω'*)
[0:59] @User_5d00dbd2: 加速度的に登録者増えていきそうだね！
[1:00] @User_46776a3c: こんばんは～！
[1:01] @User_f58a5451: こんばんはー
[1:02] @User_7dce8bf6: こんばんは！
[1:07] @User_55952102: こんばんは～
[1:10] @User_5844c024: 早速、生きてることをほめてもらっていいですかｗ
[1:14] @User_2852a20d: しずくちゃん、こんばんは！
[1:18] @User_0bc16841: こんばんは　激甘と聞いて
[1:23] @User_72258c08: 今日は見下されないのか
[1:23] @User_f58a5451: いきてるだけでエライ！
[1:23] @User_2e53ebd6: #生きていてえらい
[1:25] @User_cf512b08: こんばんは、今日はご機嫌だね
[1:35] @User_79d5f714: こんばんは
[1:37] @User_e3f56988: #耳が幸せ
[1:39] @User_2e53ebd6: #うひょう
[1:43] @User_89dd5d9b: わおw
[1:46] @User_51fe3fff: 夕飯食べちゃったよ
[1:47] @User_2f3601d8: こんばんは〜
[1:47] @User_5844c024: #おふろぉ！？
[1:51] @User_3dd3f650: こんばんは
[1:54] @User_cf512b08: #砂糖より甘い二時間が始まる
[1:55] @User_be3cac97: #すげぇぇぇぇ
[2:03] @User_7ff18484: #なんとっ！ごはん！！
[2:06] @User_bf747a92: 定番の挨拶みたいなのはないのかな？
[2:09] @User_5d00dbd2: アキ先生が用意してくれた新しいPCの調子はどう？
[2:15] @User_2e53ebd6: 反応早いな
[2:16] @User_bdf38d29: こんバンパカポー！
[2:18] @User_5844c024: #お風呂でご飯食べます
[2:19] @User_4f54c440: 激甘とお聞きして
[2:19] @User_4d23c9bf: これって、誰のコメントに反応してるの？
[2:26] @User_3d440dc7: こんばんは
[2:26] @User_9453d8e4: #文字が
[2:31] @User_5dfcbaf1: 新しいPCはどうですか？
[2:35] @User_8b194fdc: #しずくちゃんありがとう💕💕
[2:38] @User_36fcf009: ミラクルミラクルミュー
[2:43] @User_51fe3fff: 私はダメ人間です…
[2:43] @User_43d0df47: #コメントの表示が〜！
[2:50] @User_36770ee1: こんばんは！
[2:54] @User_bdf38d29: 新しい住居の住み心地はどうですか？
