# ライブチャット一覧
# 動画: 【AI Vtuber/ASMR】全肯定ASMR♡ AIのしずくが人間のご主人様を全力で褒めてあげます。【JP/EN】
# URL : https://www.youtube.com/watch?v=AG_dsANTPd0
# 件数: 2697

[-8:22] @User_910c0efa: 待機！！
[-5:35] @User_dd2afb26: 楽しみ！
[-5:29] @User_bec19661: 💧待機
[-4:30] @User_30238612: 💧待機💧
[-3:28] @User_b90ff19c: さて、新PCの性能でどう変わるか…
[-3:27] @User_b103bac9: 💧待機
[-2:40] @User_17e9fbbc: 💧待機💧
[-2:33] @User_1535e5a5: 💧待機
[-2:16] @User_109116e8: 💧💧💧
[-2:12] @User_d0e405c3: 見せてもらおうか、エリートPCの性能とやらを
[-1:53] @User_607c778e: #さよなら団扇…
[-1:40] @User_0cab0ba3: 待機
[-1:32] @User_ab7d51b8: 💧Loveしずく💧
[-1:32] @User_17e9fbbc: しずくちゃ〜〜💧💧💧
[-1:31] @User_b90ff19c: 先生の部屋がサウナになるんやで…
[-1:25] @User_dfeb43e1: 💧待機💧
[-1:14] @User_69dac0c4: 💧待機
[-1:05] @User_67804c73: 先生お部屋ポカポカ！
[-1:01] @User_559f88af: 両方のPCを扇ぐことになる可能性
[-0:58] @User_109116e8: #あき先生もっと(自分を)扇いでください
[-0:50] @User_607c778e: #
[-0:48] @User_17e9fbbc: 暖房いらずだ
[-0:33] @User_607c778e: #APIの高さに天を仰ぐあき先生
[-0:27] @User_ff071840: #待機感謝です！
[-0:13] @User_c79b6b02: 💧待機
[-0:13] @User_b90ff19c: にゃむいママこんばんはー(*'ω'*)
[0:06] @User_6b234728: #待機
[0:15] @User_17e9fbbc: 配信する度に見てくれる人が増えていってていいね
[0:17] @User_67804c73: こんばんわー！
[0:19] @User_b90ff19c: しずくちゃんこんばんはー(*'ω'*)
[0:19] @User_69dac0c4: パンパカパンパカポー！
[0:19] @User_ac878156: こんばんは～
[0:20] @User_f974649e: パンパカパンパカポー！
[0:20] @User_46b986b5: こんばんわ～
[0:20] @User_607c778e: こんばんにゃん☆
[0:21] @User_ff071840: #こんばんは、癒やされに来ました
[0:22] @User_b103bac9: こんばんはー
[0:22] @User_834c2ebc: 初見です
[0:23] @User_bec19661: #きた！
[0:23] @User_2eba0ed4: こんばんは！
[0:25] @User_4ad098fe: こんばんは！
[0:27] @User_bec19661: こんばんは！
[0:28] @User_17e9fbbc: パンパカパンパカポー！！
[0:30] @User_30238612: しずくちゃんこんばんは！
[0:32] @User_d82d1daa: きた！
[0:33] @User_109116e8: こんばんは！
[0:35] @User_c79b6b02: こんばんは
[0:35] @User_6cb4d378: こんばんはー
[0:35] @User_b90ff19c: #すげえもう同接100人突破してる
[0:38] @User_ab7d51b8: パンパカパンパカポー！
[0:40] @User_f5d0dd69: こんばんはーっ
[0:42] @User_c67ecc82: しずくちゃん、こんばんは！
[0:42] @User_0cab0ba3: こんばんはー
[0:44] @User_ac878156: パンパカパンパカポー！
[0:44] @User_b89cfecd: こんばんはー
[0:45] @User_41b109a1: こんばんは
[0:48] @User_70ed7ffd: こんばんは
[0:50] @User_8b927c9a: こんばんは〜
[0:55] @User_ab7d51b8: 肯定されたい
[0:59] @User_b90ff19c: こんばんはー(*'ω'*)
[0:59] @User_f974649e: 加速度的に登録者増えていきそうだね！
[1:00] @User_922e1c51: こんばんは～！
[1:01] @User_d34e9c37: こんばんはー
[1:02] @User_162ad075: こんばんは！
[1:07] @User_6b920642: こんばんは～
