# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】しずくAI裁判【JP/EN】
# URL : https://www.youtube.com/watch?v=M60CV4i3CvU
# 件数: 3923

[-1:16:38] @User_df95e8be: 👀
[-14:48] @User_ab7d51b8: 💧
[-5:51] @User_560c4bdc: しずくさん、はじめまして。最近になって初めてしずくさんを知りました。応援しています
[-4:01] @User_f1a429f3: わくわく
[-3:40] @User_27ecd0a0: しずく様待機
[-3:21] @User_bec19661: 静粛に
[-2:34] @User_ab7d51b8: ｻｲﾊﾞﾝﾁｮ！
[-2:23] @User_b103bac9: 待機
[-2:19] @User_bec19661: 異議あり！
[-2:17] @User_b90ff19c: 待機
[-2:13] @User_109116e8: しずく裁判長！！
[-2:01] @User_58ffb64a: こんばんは゜。
[-1:59] @User_b90ff19c: 天罰を！
[-1:57] @User_b38e12fa: 待機～
[-1:39] @User_560c4bdc: 開廷待ち
[-1:28] @User_4ad098fe: こんばんは！
[-1:26] @User_4eac4cae: 待機
[-1:18] @User_559f88af: とりあえず異議を申し立てる
[-1:16] @User_bae48d19: 被告は前へ
[-1:09] @User_bec19661: 痴漢はひどいので、とりあえず死刑にしてみた
[-1:01] @User_607c778e: 被告待機80人
[-0:47] @User_9412f3a9: 整理券は配ってますか？
[-0:44] @User_ab7d51b8: 痴漢は死刑　賛成
[-0:43] @User_27ecd0a0: 初音ミクばりに「死刑！」って言ってほしい…
[-0:33] @User_607c778e: いやここは傍聴席か
[-0:25] @User_560c4bdc: 神妙な面持ちで待機
[-0:22] @User_b90ff19c: (；ﾟДﾟ)＜傍聴席狭いぞ
[-0:20] @User_bae48d19: 説明文、傍聴席って書かれてて草
[-0:02] @User_dfeb43e1: こんばんは～傍聴きました
[0:05] @User_f1a429f3: 傍聴席には十分な空きがございます。
[0:12] @User_ab7d51b8: 我々は罪深い……
[0:13] @User_27ecd0a0: って3500人突破してるじゃん！
[0:17] @User_df95e8be: 傍聴しに
[0:18] @User_27ecd0a0: パンパカパンパカポー！
[0:22] @User_6cb4d378: こんばんは～
[0:29] @User_b90ff19c: こんばんはー(*'ω'*)
[0:30] @User_0cab0ba3: 死刑判決出るかな( ´∀｀)wkwk
[0:33] @User_d5b05bb2: パンパカパンパカポー
[0:34] @User_557214c0: こんばんわ
[0:34] @User_bec19661: こんばんはー
[0:34] @User_560c4bdc: こんばんはー
[0:41] @User_bae48d19: こんばんは
[0:44] @User_27ecd0a0: ホントにココ傍聴席？被告席では？
[0:48] @User_27ecd0a0: こんばんはー
[0:50] @User_58ffb64a: しずくちゃんこんばんは
[0:54] @User_b103bac9: こんばんはー
[0:54] @User_03c1c435: 皆さん、おばんです。
[1:05] @User_55197e7f: こんばんわ
[1:09] @User_58ffb64a: ミラクルミラクルミュー
[1:12] @User_f1a429f3: こんばんは！
[1:12] @User_893327c2: こんばんはー
[1:13] @User_bae48d19: #時間内に何人裁けるんだろ
[1:13] @User_109116e8: 開廷！
[1:14] @User_ab7d51b8: 3500人の登録者（被告）
[1:18] @User_bec19661: パンパカパンパカポー！
[1:19] @User_4ad098fe: ブロック刑とかあるのかな
[1:19] @User_30238612: しずくちゃんこんばんは！！
[1:21] @User_58ffb64a: 今日の裁判は、刑事ですか？民事ですか？
[1:22] @User_dbeb4806: こんばんはー。今日もかわいい
[1:22] @User_64efe4f1: こんばんは
[1:23] @User_118a0cb2: こんばんは！
[1:23] @User_607c778e: 静粛に！
[1:24] @User_559f88af: 背景ｗ
[1:26] @User_27ecd0a0: 厳かなBGM！
[1:26] @User_109116e8: #礼拝堂だ
[1:29] @User_979bd192: こんばんは
[1:32] @User_980cbbcd: こんばんはー
[1:33] @User_4dc23f92: こんばんはー！
[1:34] @User_109116e8: 懺悔します......
[1:34] @User_27ecd0a0: これ結婚式では？
[1:36] @User_557214c0: サイバンチョより神殿なんですね
[1:40] @User_b90ff19c: 神前裁判か
[1:44] @User_0cab0ba3: こんばんはー
[1:45] @User_bec19661: 悔い改めたわ
[1:45] @User_d5b05bb2: リスナーの3割は4倍否定を求めてるから…
[1:47] @User_b38e12fa: こんばんは～
[1:47] @User_df95e8be: 静寂に
[1:54] @User_6b234728: 結婚式と聞いて
[1:57] @User_fc604d3a: #ここは神の御前である？
[1:58] @User_ba41d9f0: 冒険の書を記録します
[2:02] @User_a792b825: FFみある、BGM感謝
[2:04] @User_67260b6b: オルガンの音がいいなあ
[2:21] @User_bae48d19: 告解部屋...ってｺﾄ！？
[2:21] @User_16837732: こんばんは！
[2:33] @User_4eac4cae: シスターしずくちゃん概念
[2:38] @User_ab7d51b8: 神父様しずくちゃん
[2:38] @User_607c778e: 一人目
[2:45] @User_c7f0df32: こんばんは壮麗なBGMですね
[2:45] @User_b90ff19c: 開廷の時間です
[2:46] @User_3e754a36: しごおわ。ギリギリ間に合った
[2:46] @User_109116e8: #シスターだ
[2:52] @User_bec19661: #いきなり始まった
[2:53] @User_f1a429f3: シスターしずくちゃんはガンにも効くようになりそう
[2:53] @User_fc604d3a: #断罪の
[2:55] @User_b103bac9: #辛口きちゃ
[2:57] @User_ab7d51b8: #早速辛口
[3:04] @User_9412f3a9: 拾っても。反応しないですね
[3:17] @User_27ecd0a0: #辛口率高そう
[3:20] @User_4eac4cae: #ほう、初手辛口ですか
[3:20] @User_607c778e: #やっぱり今日混んでんのね
[3:22] @User_bec19661: #日本酒じゃねえんだぞ　辛口
[3:33] @User_557214c0: #初手辛口は草
[3:36] @User_109116e8: #あらら？
[3:36] @User_008eb0cd: こんばんは
[3:39] @User_ab7d51b8: OpenAI、調子悪いのかな。他のところのAITuberさんもダメでしたね
[3:39] @User_0cab0ba3: #カレーは中辛が好きです
[3:51] @User_27ecd0a0: #しずくちゃん不調？
[3:54] @User_58ffb64a: あき先生扇がなきゃ・・・・
[3:54] @User_6cb4d378: #あら・・
[3:55] @User_f954db64: #カレーは辛口に限る
[4:00] @aki5503: #あれ？GPT4がなんかやばい
[4:06] @User_9412f3a9: #まさか、アキ先生が扇いでない？
[4:08] @User_109116e8: #あき先生openAIをなんとかしてください
[4:09] @User_ab7d51b8: とりあえずイーロン・マスクを扇ごう
[4:11] @User_b90ff19c: ん？
[4:12] @User_d5b05bb2: #なんと…
[4:12] @User_27ecd0a0: #扇ぐ相手がGPT4なんだよなぁ
[4:17] @User_0cab0ba3: #またClosedAIが何かしたのか
[4:18] @User_a792b825: #麻婆豆腐としずくちゃんは辛口が良いって言うし多少はね…？？
[4:21] @User_bae48d19: #Oh...
[4:22] @User_b103bac9: #がんばれGPT4
[4:37] @User_109116e8: #がんばれがんばれ
[4:38] @User_bec19661: #すごい悩んでくれてるみたじゃね？
[4:39] @User_b38e12fa: #あらら
[4:39] @User_559f88af: #混んでるらしいですね
[4:39] @User_ba41d9f0: ＃あき先生もっと仰いでGPT4頑張って
[4:43] @User_9412f3a9: #openAI さぼるな！！
[4:45] @User_c7f0df32: すでに裁きが始まっている・・？
[4:46] @User_f1a429f3: #がんばれがんばれ
[4:51] @User_ebbf8053: 遅刻遅刻～
