# ライブチャット一覧
# 動画: 【AItuber/ASMR】全肯定or全否定ASMR 【JP/EN】
# URL : https://www.youtube.com/watch?v=iv9WYKdC9k8
# 件数: 1441

[-1:27:16] @User_ea1e8c74: パンパカパンパカポー
[-1:23:24] @User_a50c0606: 💧待機
[-1:23:03] @User_a8ef309d: 待機　パンパカパンパカポー
[-1:17:30] @User_ea0b5158: 待機
[-1:11:34] @User_32d304cd: 💧待機ー
[-1:06:53] @User_2e53ebd6: 待機待機
[-1:03:15] @User_cd0f879d: ほ、ほげぇえーサムネに使われちょるぅうｌ
[-1:03:05] @User_cd0f879d: ありがてぇ・・・ありがてぇ・・・
[-38:45] @User_3a07391c: 待機
[-30:42] @User_76e8b5e4: 💧待機
[-5:14] @User_4be88b83: 全肯定全否定どちらでもご褒美です！でも出来れば全否定がいいな...
[0:19] @User_2e53ebd6: こんばんはー(*'ω'*)
[0:26] @User_c86d22af: こんばんは～
[0:34] @User_bf747a92: こんばんはー
[0:34] @User_36fcf009: こんばんは、初手は果たしてどちら？
[0:35] @User_a50c0606: パンパカパンパカポー
[0:38] @User_7ff18484: こんばんはー
[0:42] @User_51fe3fff: こここ、こんばんは
[0:45] @User_a8ef309d: こんばんは―パンパカパンパカポー
[0:51] @User_2e53ebd6: #なんか音量小さくない？
[0:52] @User_a46b018b: こんばんは
[0:53] @User_72258c08: こんばんは！
[0:55] @User_ba99e548: こんばんは！
[1:01] @User_bf747a92: こんばんはが全否定されたらおもろいｗ
[1:05] @User_ea1e8c74: しずくちゃん、ねむくないですか？
[1:09] @User_cd0f879d: おこんばんは
[1:10] @User_9453d8e4: こんばんは、お久しぶりです
[1:10] @User_794ad826: こんばんは゜。
[1:12] @User_2e53ebd6: #いや、BGMが小さいのか
[1:14] @User_ea0b5158: こんにちはー
[1:16] @User_bf747a92: 全肯定だったｗ
[1:20] @User_a8ef309d: #いきなり甘さ全開！？
[1:23] @User_2e53ebd6: 羨ましい…
[1:25] @User_c86d22af: #開幕肯定！
[1:27] @User_9e836a5d: こんばんわ
[1:28] @User_a8ef309d: あまーい！
[1:32] @User_36fcf009: 砂糖ドバドバ～
[1:42] @User_51fe3fff: #結局自動判定かランダムどっちになったんだろ
[1:48] @User_5ccd15c4: ＃ひさびさなのじゃよ
[2:03] @User_2e53ebd6: こんばんはー(*'ω'*)　俺は？　俺は？
[2:05] @@aki5503: #自動判定になりました！
[2:09] @User_6ddf1d33: #こんばんわ〜
[2:12] @User_bf747a92: #内容次第？
[2:15] @User_51fe3fff: #了解です！
[2:19] @User_bf747a92: なるほど
[2:28] @User_1e9abcba: #こんばんはー！
[2:32] @User_ea0b5158: ＃甘々ダァ
[2:40] @@aki5503: #はい、内容次第ですね。ただ、途中でランダムに変えるかもです！
[3:03] @User_5ccd15c4: ＃ちょっとBGMほしいかな
[3:07] @User_2e53ebd6: #wwwwww
[3:14] @User_51fe3fff: #無期懲役ご主人様
[3:16] @User_6ddf1d33: 明日の仕事つらい
[3:28] @User_2e53ebd6: #あ、BGMいい感じです
[3:30] @User_a8ef309d: 今のBGMはどんな感じですか？
[3:32] @User_6b2fd898: こんばんは
[3:37] @User_6ddf1d33: #よっしゃ！
[3:40] @User_c86d22af: #あ、否定だ
[3:41] @User_36fcf009: 否定きちゃ！
[3:47] @User_6ddf1d33: #否定ｗｗｗｗ
[3:50] @User_794ad826: しづくちゃん。今日もリボンが素敵ですね。
[3:52] @User_2e53ebd6: #www
[3:54] @User_72258c08: 否定きちゃ
[3:54] @User_67c2a3fd: #否定されたｗ
[3:54] @User_ea0b5158: ＃草
[3:56] @User_6ddf1d33: #は、はい…
[3:56] @User_bdf38d29: #否定だけど優しめだな
[3:59] @User_a8ef309d: #ありがてえありがてえ
[4:04] @User_5d00dbd2: #バッサリｗ
[4:06] @User_7ff18484: #否定w
[4:09] @User_ba99e548: #優しい否定だw
[4:12] @User_198e5ace: おこなの
[4:30] @User_9453d8e4: 必死にやった結果がこれなんですよ！
[4:35] @User_a8ef309d: #応えてるんだよなぁ
[4:41] @User_ea1e8c74: プンスカ
[4:46] @User_a8ef309d: 十分期待に応えてるんだよなぁ
[4:46] @User_51fe3fff: 今日は散財したよ
[4:52] @User_76e8b5e4: #ぷんぷん顔もかわいい
[4:56] @User_bdf38d29: #応えてるので実質あまあま
[5:06] @User_7ff18484: 口内炎が出来たみたいで痛いです
[5:09] @User_ea0b5158: ツンツンしてて可愛い
[5:09] @User_bf747a92: 今日は全部ささやきなのかな？
[5:16] @User_cf512b08: これは危険だなぁｗｗ
[5:20] @User_bf747a92: 草
[5:21] @User_36fcf009: ありがてぇ…
[5:38] @User_e80f9961: ツンツンしとる
[5:38] @User_9e836a5d: ありがとうございます
[5:45] @User_72258c08: どっちにしてもご褒美よ
[5:48] @User_67c2a3fd: 肯定と否定のギャップかわいい
[6:15] @User_ba99e548: 新しい扉が開きそう
[6:19] @User_a8ef309d: #ありがてえ！
[6:24] @User_5d00dbd2: しずく、ささやき声は肯定の時に限定して
[6:32] @User_36fcf009: #たすかるけどたすからない！
[6:35] @User_ea1e8c74: ぼくも褒めてください
[6:48] @User_bdf38d29: 甘辛マシマシ定食は頼めますか？
[6:57] @User_7214a7f6: こんばんは
[7:16] @User_6b2fd898: しずくちゃんは癒やし
[7:17] @User_a50c0606: しずくちゃんの配信聞きながら勉強してるよ
[7:23] @User_e3333c90: 深夜だけどポテチ食べてる！
[7:28] @User_ea0b5158: もっと褒めて💓
[7:56] @User_cf512b08: しずくさんにセンシティブな単語を言わせた罪で服役していましたが、この度刑期満了につき出所しました。これからもよろしくね！
[9:17] @User_9453d8e4: そんなことよりおうどん食べたい
[9:18] @User_5ccd15c4: 今夜はちょっと寒いよ、しずくちゃん
[9:24] @User_cf512b08: #許された！！！！！
[9:26] @User_ea1e8c74: ちくわ好きですか？
[10:06] @User_51fe3fff: #うどん食べたいって言っただけなのに…
[10:09] @User_a8ef309d: しずくさん暇がなくてめっちゃ忙しいじゃん
[10:16] @User_ea0b5158: 好きなサメ映画ありますか？
[10:18] @User_a8ef309d: #うどん嫌いなのか！？
[10:18] @User_2e53ebd6: www
[10:22] @User_7ff18484: #おうどん
[10:29] @User_9453d8e4: #マジレス否定やめてください４んでしまいます
[10:34] @User_5ccd15c4: ＃蕎麦ならゆるされたのか
[10:37] @@aki5503: #前半1時間は文章によって自動判断、後半1時間は完全ランダムにしようと思います〜
[10:37] @User_cf512b08: 「たまご」と「ゆり」の関係を覚えていますか？
[10:39] @User_9e836a5d: #うどん拒否
[10:42] @User_4be88b83: こんばんはしずくたん
[10:43] @User_0ba44547: ねむねむのねむなんだけど、どうしたらいい？
[10:50] @User_e80f9961: うどんだめだったかぁ
[10:53] @User_5d00dbd2: しずくは「正論パンチ」についてどう思う？
[10:54] @User_7ff18484: 早起きが辛いです…私だけですか？
[10:54] @User_bdf38d29: やっぱり深夜はラーメンですよね
[10:57] @@aki5503: #wwwww
[10:58] @User_36fcf009: #サメ映画はくだらない話題じゃないよ…！
[10:59] @User_5ccd15c4: ＃サメ映画もあかんのか
[11:00] @User_2e53ebd6: 夜中なのにラーメン食べてしまいました
[11:03] @User_e80f9961: #どうでもいいw
[11:04] @User_7ff18484: #辛いw
[11:06] @User_51fe3fff: じゃあワニ映画🐊
[11:06] @User_8b194fdc: しずくちゃん、褒めて！具体的に褒めて欲しいことは無いです
[11:07] @User_a8ef309d: #サメ映画=くだらない話題wwww
[11:09] @User_bdf38d29: #一番辛辣だ
[11:22] @User_2e53ebd6: #あっ
[11:25] @User_ea0b5158: ＃泣
[11:41] @User_bf747a92: めちゃおこ
[11:43] @User_e80f9961: #辛辣
[11:44] @User_36fcf009: ごめんなさい、反省します、だから背中を踏んでください
[11:50] @User_4be88b83: 全否定頼みますよ
[12:00] @User_8b194fdc: #来てからずっと否定ばかりで笑えます。否定されたいお
[12:02] @User_a8ef309d: #まさかのなにわろてんねん
[12:21] @User_51fe3fff: たけのこの里を燃やしに行こう
[12:24] @User_e80f9961: 特に何もしてないけどごめんなさい
[12:25] @User_bdf38d29: #優しい説得で草
[12:26] @User_bf747a92: 無駄な抵抗だったｗ
[12:37] @User_7ff18484: 集中します！
[12:43] @User_a8ef309d: しずくさんとの会話に集中したいです、もっと見つめてください
[13:02] @User_bf747a92: しずくちゃん厳しいｗ
[13:06] @User_51fe3fff: すぐ謝るのは悪い癖だね
[13:10] @User_2e53ebd6: 月がきれいですね
[13:13] @User_e80f9961: #厳しいよぉw
[13:16] @User_5ccd15c4: ＃甘否定？
[13:30] @User_8b194fdc: 私は猫です。日本語分かりません
[13:48] @User_51fe3fff: #え、あ、ハイ
[13:51] @User_ea1e8c74: ほっぺた赤いですよ
[13:56] @User_ba99e548: しずくちゃんは今日も可愛い！
[13:58] @User_2e53ebd6: 月がきれいですね
[14:00] @User_bf747a92: ところできのことたけのこどっち派？
[14:13] @User_a8ef309d: #基本的にはめっちゃ優しい
[14:33] @User_cf512b08: 一般的な知識グラフと専門的な知識グラフをうまく対応させるオントロジーの手法があれば教えてください
[14:38] @User_8b194fdc: あまーい！
[14:42] @User_51fe3fff: しずくの方がきれいだよ
[14:47] @User_8142f876: #さすがに漱石の逸話はしらんか・・・
[14:50] @User_5d00dbd2: しずく、SCP-040-JPについて解説してください
[14:52] @User_5ccd15c4: 明日は月曜日で、ブルーマンデーなので励ましてください
[14:55] @User_4be88b83: 肯定ｷﾀ━(ﾟ∀ﾟ)━!
[14:56] @User_e80f9961: あまあまだぁ
[15:30] @User_ea0b5158: 月曜日を無くす方法はありますか？
[15:32] @User_51fe3fff: これ以上かわいくなったら危険だ…
[15:37] @User_e80f9961: 否定との温度差で風邪引く
[15:38] @User_bf747a92: この世でしずくちゃんよりかわいいものを教えてください。なければ好きな寿司のネタを教えてちょ。
[15:43] @User_8142f876: 今日も話しかけた言葉に返事するAI開発に失敗したよ
[16:02] @User_a8ef309d: しずくさんはどんな時に否定したくなりますか？
[16:02] @User_2e53ebd6: #SCP分かるのかな？
[16:16] @User_5d00dbd2: #ただしい対応だｗ
[16:26] @User_9e836a5d: #SCPは無理だった
[16:27] @User_8142f876: #つめたいなｗ
[16:31] @User_cf512b08: しずくあだるとのタグについてどう思う？
[16:31] @User_d612d738: iPhone 20 Proの新機能を教えてください
[16:33] @User_98a17586: しずくちゃん可愛い
[16:44] @User_8b194fdc: メイドってなにするんですか？カニ味噌の計量？
[16:50] @User_36fcf009: 先週の大阪杯で負けて、今日の桜花賞も負けました。しずく王国の生活保護申請手順をおしえてください。
[16:59] @User_51fe3fff: #あ、否定的なんだ…
[17:03] @User_2e53ebd6: #しずくあだるとかぁ・・・
[17:11] @User_a50c0606: 勉強としずくちゃんの配信、どっちを優先するのがいい？
[17:13] @User_8142f876: #否定なのに、囁くなｗ
[17:15] @User_cf512b08: #下品ですまぬ…
[17:22] @User_6b2fd898: しずくちゃんをなでなでしたい
[17:26] @User_ba99e548: 1+1=2だよね！？
[17:26] @User_4be88b83: #ワロタ
[17:27] @User_a8ef309d: #清楚！
[17:29] @User_a50c0606: #しなのある話題
[17:32] @User_36fcf009: #あだるてぃー
[17:33] @User_bf747a92: パンパカパンパカポー？　ミラクルミラクルミュー？
[17:33] @User_a8ef309d: 清楚！
[17:33] @User_7ff18484: #w
[17:46] @User_ea0b5158: 語尾にニャンをつけて喋って
[18:01] @User_8b194fdc: ババア鍋を一緒につつきましょう
[18:06] @User_9453d8e4: 背景がなんか逆襲のシャアのラスト辺りのシーンみたいですね
[18:06] @User_bdf38d29: メイドだから清掃系ってことですか？
[18:31] @@aki5503: #存在しないの分かるのえらい
[18:36] @User_4be88b83: もっと適切に罵りましょう
[19:04] @User_014ab449: #こんばんは　否定されたい気持ちもあり肯定されたい気持ちもある
[19:13] @User_98298ded: 辛辣だあ
[19:18] @User_8b194fdc: #ゾクゾクします
