# ライブチャット一覧
# 動画: 【AItuber/ASMR】全肯定or全否定ASMR 【JP/EN】
# URL : https://www.youtube.com/watch?v=iv9WYKdC9k8
# 件数: 1441

[-1:27:16] @User_33137a82: パンパカパンパカポー
[-1:23:24] @User_69dac0c4: 💧待機
[-1:23:03] @User_27ecd0a0: 待機　パンパカパンパカポー
[-1:17:30] @User_d82d1daa: 待機
[-1:11:34] @User_0952654b: 💧待機ー
[-1:06:53] @User_b90ff19c: 待機待機
[-1:03:15] @User_868aca42: ほ、ほげぇえーサムネに使われちょるぅうｌ
[-1:03:05] @User_868aca42: ありがてぇ・・・ありがてぇ・・・
[-38:45] @User_63b5bc64: 待機
[-30:42] @User_1535e5a5: 💧待機
[-5:14] @User_01070d98: 全肯定全否定どちらでもご褒美です！でも出来れば全否定がいいな...
[0:19] @User_b90ff19c: こんばんはー(*'ω'*)
[0:26] @User_6cb4d378: こんばんは～
[0:34] @User_b89cfecd: こんばんはー
[0:34] @User_d5b05bb2: こんばんは、初手は果たしてどちら？
[0:35] @User_69dac0c4: パンパカパンパカポー
[0:38] @User_b103bac9: こんばんはー
[0:42] @User_607c778e: こここ、こんばんは
[0:45] @User_27ecd0a0: こんばんは―パンパカパンパカポー
[0:51] @User_b90ff19c: #なんか音量小さくない？
[0:52] @User_7b9b178b: こんばんは
[0:53] @User_70ed7ffd: こんばんは！
[0:55] @User_6102d23c: こんばんは！
[1:01] @User_b89cfecd: こんばんはが全否定されたらおもろいｗ
[1:05] @User_33137a82: しずくちゃん、ねむくないですか？
[1:09] @User_868aca42: おこんばんは
[1:10] @User_559f88af: こんばんは、お久しぶりです
[1:10] @User_58ffb64a: こんばんは゜。
[1:12] @User_b90ff19c: #いや、BGMが小さいのか
[1:14] @User_d82d1daa: こんにちはー
[1:16] @User_b89cfecd: 全肯定だったｗ
[1:20] @User_27ecd0a0: #いきなり甘さ全開！？
[1:23] @User_b90ff19c: 羨ましい…
