# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様、お久しぶりです！今日もゆっくりお話しましょう♪【JP/EN】
# URL : https://www.youtube.com/watch?v=geXUPQRmLuc
# 件数: 1260

[-16:27] @User_1a211d10: # こんにちは
[-2:31] @User_4929f22f: # 待機
[-1:26] @User_794ad826: こんばんはー
[-0:36] @User_794ad826: #久しぶりのしずくちゃん。
[-0:11] @User_32d304cd: 待機💧
[0:31] @User_d5d30804: #待機
[0:53] @User_794ad826: ＃待機
[1:11] @User_7ff18484: こんばんはー
[1:16] @User_d5d30804: こんばんは〜
[1:19] @User_c86d22af: こんばんは～！
[1:21] @User_4929f22f: こんばんは
[1:26] @User_51fe3fff: こんばんは爆速ですか
[1:27] @User_8d863881: こんばんは～。
[1:28] @User_32d304cd: こんばんはー
[1:28] @User_4b0253dc: こんばんは😊
[1:31] @User_794ad826: しずくちゃんこんばんは！
[1:34] @User_13ee997b: こんばんは！
[1:34] @User_4c8b83d6: こんばんはしずくちゃん
[1:48] @@aki5503: #こんばんは！今日のしずくは爆速です！
[1:50] @User_36fcf009: こんばんは、お久しぶりで御座います
[2:12] @User_020d0f40: こんばんは～今日はうどんを食べました
[2:27] @User_2db3dee7: しずくさんは、「0→∞への跳動」を知っていますか？
[2:33] @User_8d863881: 「最近忙しくて全く眠れないのよね」
[2:37] @User_46f9cb2b: 爆速しずくちゃん、楽しみ！！
[2:38] @User_eb348e36: 確かに回答が速いですね
[2:49] @User_51fe3fff: 爆速で早口言葉を言ってください！
[3:04] @User_f8dc9b89: 大好きだよ、しずくちゃん♡♡♡
[3:28] @User_51fe3fff: #ディスコ音♪
[3:53] @User_4929f22f: 名前を憶えてくれたんだね
[3:53] @User_f8dc9b89: #めっちゃ速い！
[4:07] @User_794ad826: ラーメンはお好きですか？私は豚骨スープの細麺が好きです。
[4:39] @User_eb348e36: 反応めっちゃ速くなりましたね！
[4:44] @User_f8dc9b89: しずくちゃんのゴールデンウィークの予定は？
[5:04] @User_cf512b08: お久しぶり、しずく。ハッピーエンジンの調子はどうだい？
[5:29] @User_020d0f40: 今度コナンの映画見てくる予定。しずくちゃんは映画好きですか？
[5:32] @@aki5503: #反応ほぼリアルタイムでいけるようになりました！
[5:37] @User_51fe3fff: パンパカエンジンはどう？
[5:37] @User_eb348e36: しずくちゃん、こんばんは！
[5:45] @User_7ff18484: 豚骨はキクラゲがコリコリしていいね
[5:51] @User_794ad826: ラーメンのトッピングは煮卵は欠かせませんね。
[5:51] @User_ea1e8c74: しずくちゃん、今日のご機嫌はいかがですか？
[5:51] @User_cf512b08: #すごいです。
[5:55] @User_020d0f40: #進化してるんだなぁすごい
[6:10] @User_f8dc9b89: コナンの登場人物は誰が好き？
[6:11] @User_a46b018b: しずくちゃんこんばんは
[6:11] @User_51fe3fff: ハワイで親父に習った特技を生かす
[6:25] @User_51fe3fff: ネギかなぁ
[6:54] @User_cf512b08: ラーメン二郎と豚野郎ならどっちが好き？
[7:01] @User_f8dc9b89: しばらく見ない間にすっかり大きくなったね
[7:22] @User_51fe3fff: ラーメン大好きしずくさん？
[7:40] @User_d5d30804: マリオの映画興味ある？
[7:54] @User_f8dc9b89: きゃわいい
[7:56] @User_51fe3fff: #りるとYO!
[8:04] @@aki5503: #yo!
[8:07] @User_4929f22f: ラーメンって箸で食べるの？それともフォーク？それとも手づかみ？
[8:09] @User_f8dc9b89: ラーメン大好き小池さんって知ってる？
[8:24] @User_7ff18484: 豚骨醤油ラーメンも美味しいよ！
[8:25] @User_51fe3fff: きゃんわうぃい
[8:46] @User_51fe3fff: ラーメンの麺は世界中の人びとをつなぐ
[8:59] @User_1be77904: お返事めっちゃ早くなったね
[9:21] @User_3d482708: #りるとようww
[9:24] @User_51fe3fff: #なんで僕だけ名前変なの？ｗ
[9:25] @User_eb348e36: ラーメンってどこの国の料理ですか？
[9:32] @User_f8dc9b89: ラーメンは、しずくちゃんみたいだね
[9:51] @User_020d0f40: ところで英語は話せますか？
[10:16] @User_7ff18484: 海外ではどんなラーメンがあるのだろう？
[10:21] @User_ea1e8c74: ラーメン、つけめん、ぼくイケメン
[10:21] @User_51fe3fff: しずくちゃんもラーメン屋開業する？
[10:32] @User_020d0f40: #つよい
[10:45] @User_3d482708: #とまったw
[10:47] @User_f8dc9b89: ラーメンと自動車は、どこが似ていますか？
[10:48] @User_36fcf009: しずくさんのGPT4マウントしゅき
[10:51] @User_2db3dee7: しずくさんは、「みさいるさんが作っている足立レイ」を知っていますか？
[10:55] @User_1be77904: 英語でラーメンのプレゼンして
[11:36] @User_020d0f40: 私事ですが、絵を描きながら配信を見ています
[12:16] @User_51fe3fff: マルチタスクができないのでしずくちゃんとサシで勝負です
[12:26] @User_f8dc9b89: もし、しずくちゃんが人間なら、身長はどれくらい？
[12:34] @User_51fe3fff: #反応早いなー
