# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様、お久しぶりです！今日もゆっくりお話しましょう♪【JP/EN】
# URL : https://www.youtube.com/watch?v=geXUPQRmLuc
# 件数: 1259

[-16:27] @User_0369c194: # こんにちは
[-2:31] @User_f2bb46d6: # 待機
[-1:26] @User_58ffb64a: こんばんはー
[-0:36] @User_58ffb64a: #久しぶりのしずくちゃん。
[-0:11] @User_0952654b: 待機💧
[0:31] @User_72011a5a: #待機
[0:53] @User_58ffb64a: ＃待機
[1:11] @User_b103bac9: こんばんはー
[1:16] @User_72011a5a: こんばんは〜
[1:19] @User_6cb4d378: こんばんは～！
[1:21] @User_f2bb46d6: こんばんは
[1:26] @User_607c778e: こんばんは爆速ですか
[1:27] @User_e159bc4c: こんばんは～。
[1:28] @User_0952654b: こんばんはー
[1:28] @User_b5e0aba4: こんばんは😊
[1:31] @User_58ffb64a: しずくちゃんこんばんは！
[1:34] @User_109116e8: こんばんは！
[1:34] @User_dbeb4806: こんばんはしずくちゃん
[1:48] @aki5503: #こんばんは！今日のしずくは爆速です！
[1:50] @User_d5b05bb2: こんばんは、お久しぶりで御座います
[2:12] @User_8f174ba8: こんばんは～今日はうどんを食べました
[2:27] @User_0258379b: しずくさんは、「0→∞への跳動」を知っていますか？
[2:33] @User_e159bc4c: 「最近忙しくて全く眠れないのよね」
[2:37] @User_67260b6b: 爆速しずくちゃん、楽しみ！！
[2:38] @User_467294a5: 確かに回答が速いですね
[2:49] @User_607c778e: 爆速で早口言葉を言ってください！
[3:04] @User_288679f1: 大好きだよ、しずくちゃん♡♡♡
[3:28] @User_607c778e: #ディスコ音♪
[3:53] @User_f2bb46d6: 名前を憶えてくれたんだね
[3:53] @User_288679f1: #めっちゃ速い！
[4:07] @User_58ffb64a: ラーメンはお好きですか？私は豚骨スープの細麺が好きです。
[4:39] @User_467294a5: 反応めっちゃ速くなりましたね！
[4:44] @User_288679f1: しずくちゃんのゴールデンウィークの予定は？
[5:04] @User_d0e405c3: お久しぶり、しずく。ハッピーエンジンの調子はどうだい？
[5:29] @User_8f174ba8: 今度コナンの映画見てくる予定。しずくちゃんは映画好きですか？
[5:32] @aki5503: #反応ほぼリアルタイムでいけるようになりました！
[5:37] @User_607c778e: パンパカエンジンはどう？
[5:37] @User_467294a5: しずくちゃん、こんばんは！
[5:45] @User_b103bac9: 豚骨はキクラゲがコリコリしていいね
[5:51] @User_58ffb64a: ラーメンのトッピングは煮卵は欠かせませんね。
[5:51] @User_33137a82: しずくちゃん、今日のご機嫌はいかがですか？
[5:51] @User_d0e405c3: #すごいです。
[5:55] @User_8f174ba8: #進化してるんだなぁすごい
[6:10] @User_288679f1: コナンの登場人物は誰が好き？
[6:11] @User_7b9b178b: しずくちゃんこんばんは
[6:11] @User_607c778e: ハワイで親父に習った特技を生かす
[6:25] @User_607c778e: ネギかなぁ
[6:54] @User_d0e405c3: ラーメン二郎と豚野郎ならどっちが好き？
[7:01] @User_288679f1: しばらく見ない間にすっかり大きくなったね
[7:22] @User_607c778e: ラーメン大好きしずくさん？
[7:40] @User_72011a5a: マリオの映画興味ある？
[7:54] @User_288679f1: きゃわいい
[7:56] @User_607c778e: #りるとYO!
[8:04] @aki5503: #yo!
[8:07] @User_f2bb46d6: ラーメンって箸で食べるの？それともフォーク？それとも手づかみ？
[8:09] @User_288679f1: ラーメン大好き小池さんって知ってる？
[8:24] @User_b103bac9: 豚骨醤油ラーメンも美味しいよ！
[8:25] @User_607c778e: きゃんわうぃい
[8:46] @User_607c778e: ラーメンの麺は世界中の人びとをつなぐ
[8:59] @User_b8e475f0: お返事めっちゃ早くなったね
[9:21] @User_77da7864: #りるとようww
[9:24] @User_607c778e: #なんで僕だけ名前変なの？ｗ
[9:25] @User_467294a5: ラーメンってどこの国の料理ですか？
[9:32] @User_288679f1: ラーメンは、しずくちゃんみたいだね
[9:51] @User_8f174ba8: ところで英語は話せますか？
[10:16] @User_b103bac9: 海外ではどんなラーメンがあるのだろう？
[10:21] @User_33137a82: ラーメン、つけめん、ぼくイケメン
[10:21] @User_607c778e: しずくちゃんもラーメン屋開業する？
[10:32] @User_8f174ba8: #つよい
[10:45] @User_77da7864: #とまったw
[10:47] @User_288679f1: ラーメンと自動車は、どこが似ていますか？
[10:48] @User_d5b05bb2: しずくさんのGPT4マウントしゅき
[10:51] @User_0258379b: しずくさんは、「みさいるさんが作っている足立レイ」を知っていますか？
