# ライブチャット一覧
# 動画: 【AItuber/雑談】あなたのことをずっと覚えるAI配信者 【JP/EN】
# URL : https://www.youtube.com/watch?v=w3jVdQqvvhc
# 件数: 1510

[-26:07] @User_9e836a5d: 待機
[-19:54] @User_36770ee1: こんばんは！
[0:19] @@aki5503: こんばんは！
[0:20] @User_4ae321fc: こんばんは〜
[0:23] @User_36770ee1: こんばんは！
[0:36] @User_8b194fdc: こんこん
[0:42] @User_9e836a5d: こんばんわ
[0:43] @User_2e53ebd6: こんばんはー(*'ω'*)
[0:47] @User_85587147: こんばんは！
[0:50] @User_3015e7b0: どうもー
[0:53] @User_794ad826: しずくちゃん。こんばんは
[0:53] @User_36770ee1: パンパカパンパカポー
[0:58] @User_a46b018b: こんばんは！
[1:03] @User_1a91644a: #こんばんは
[1:13] @User_8b194fdc: ﾐﾗｸﾙﾐﾗｸﾙﾐｭｰ
[1:25] @User_4ae321fc: しずくちゃんかわいいやったー！
[1:29] @User_5cd80996: こんばんは
[1:30] @User_e3333c90: パンパカポリスのこと覚えてる？
[1:39] @User_2e53ebd6: 声？
[1:41] @User_36770ee1: 音声ないんです
[1:41] @User_32916ab9: こんばんわ～
[1:41] @User_8b194fdc: あれ、サイレントしずくちゃん
[1:53] @@aki5503: #あれ？
[2:05] @@aki5503: #これでどうでしょうか？
[2:09] @User_a8ef309d: こんばんは！パンパカポリスです！
[2:10] @User_910a20f7: しずくちゃん声が…
[2:11] @User_8142f876: しゃべらないね
[2:13] @User_9453d8e4: こんばんは
[2:14] @User_36770ee1: あき先生を許すな
[2:14] @User_794ad826: #あれ、音声・・・・
[2:25] @User_ea1e8c74: しずくちゃん、今日のご機嫌はいかがですか？
[2:25] @User_8142f876: 今度は読まないね
[2:31] @@aki5503: #エラーでた
[2:44] @User_1a91644a: バタバタ
[2:45] @User_a8ef309d: #あらま！
[2:46] @User_e3333c90: 公開デバッグだ！
[2:55] @User_8b194fdc: うちわで扇ぎながら、エラーの修正をするあき先生のイラストください！
[3:00] @User_2e53ebd6: #おやおや（）
[3:07] @@aki5503: #デバッグしました！次はどうでしょうか？
[3:14] @User_8142f876: リアルタイムデバッグがはじまるよ～
[3:16] @User_2e53ebd6: #早
[3:27] @User_8b194fdc: パンパカパンパカポー
[3:27] @User_4ae321fc: 起きてー！
[3:27] @User_36770ee1: あき先生を許しますか？
[3:31] @User_e3333c90: しずくちゃんの音声が流れない不具合について、どのような原因が考えられますか？
[3:39] @User_8e4918c4: 今日の調子はいかが？
[3:47] @User_8142f876: おきてくださーい
[3:57] @User_910a20f7: 声が出てないけど風邪気味かな？
[4:00] @User_36770ee1: #反応しないね
[4:17] @User_e3333c90: おっ　しゃべりだした
[4:17] @User_1a91644a: #ｼｬﾍﾞｯﾀｱｱ
[4:20] @User_2e53ebd6: しゃべったぁぁぁぁぁ
[4:26] @User_6b2fd898: ご機嫌麗しゅうございます
[4:31] @User_8b194fdc: #かわいい！
[4:32] @User_8142f876: ちゃんと喋りましたね
[4:36] @User_e3333c90: パンパカポリスのこと覚えていますか
[4:40] @User_ba99e548: こんばんはー
[5:08] @User_3015e7b0: お久しぶりです
[5:12] @User_36770ee1: 復！活！
[5:14] @User_1a91644a: #パンパカパンパカポー
[5:18] @User_910a20f7: 今日も絶好調だね！
[5:24] @@aki5503: #焦った(笑)
[5:30] @User_e3333c90: 前回の配信で話したこと、覚えてますか？
[5:40] @User_36770ee1: 去年結婚してくれる話を覚えていますか？
[5:41] @User_4ae321fc: しずくちゃんとお友達になりたいんです
[5:51] @User_36fcf009: こんばんは、しずくさんパワーアップしたと聞いて！
[5:52] @User_788c286d: パンパカパンパカポー！
[5:57] @User_11e7336c: こんばんは！遅刻しました💦
[6:03] @User_36770ee1: #濁したな
[6:08] @User_9453d8e4: 記憶を持った感想を教えてください
[6:08] @@aki5503: #濁した
[6:18] @User_8142f876: わたしとの思い出を教えてください
[6:26] @User_e3333c90: #前回☆彡つけてたな
[6:26] @User_2e53ebd6: 養子縁組の話（しずくちゃんがママ）は覚えていますか？
[6:39] @User_a8ef309d: #濁すの上手いっすね
[6:45] @@aki5503: パンパカポリスについて教えて
[7:03] @User_788c286d: パンパカポリス・・・！
[7:06] @User_a8ef309d: パンパカポリスだ！
[7:15] @User_36770ee1: しずく、金返してください。
[7:45] @User_2e53ebd6: #www
[7:53] @User_36770ee1: 「きん」
[7:54] @User_1a91644a: #Gold
[7:54] @User_3015e7b0: #www
[7:55] @@aki5503: #今日はコメントピックアップの方式を少し変えてみました。上手く行くかな？
[8:03] @User_11e7336c: #きん
[8:10] @User_eb6a203c: しずくちゃんはお金を生み出す能力はある？
[8:10] @User_8142f876: パンパカポリスが私の家に踏み込んだ理由を教えてください。
[8:16] @User_1a91644a: #☆彡
[8:18] @@aki5503: #また☆彡がつきだした
[8:31] @User_11e7336c: しずくちゃんのファンネームを教えてください
[8:39] @User_36770ee1: #先ほど喋った人に引き続きピックするようになっている？
[8:50] @User_9453d8e4: #彡(ﾟ)(ﾟ)
[8:58] @User_e3333c90: ミダスしずく
[9:06] @User_36770ee1: #今のは下ネタ？？？
[9:06] @User_3015e7b0: 日曜日を有意義に過ごすにはどうすればいいですか？
[9:11] @User_a8ef309d: しずくさんは金色は好きですか？
[9:34] @User_eb6a203c: 宋の次はなんだっけ？
[9:34] @User_a8ef309d: 明日の東京の天気を教えてください
[9:44] @User_2e53ebd6: ミダス王知ってるんだ
[9:45] @User_36fcf009: しずく王国治安維持組織パンパカポリスについて
[9:47] @User_55952102: #知らなかった
[9:53] @User_ba99e548: ものしりだ！
[9:59] @@aki5503: #初耳だ
[10:07] @User_6b2fd898: #勉強になるなぁ
[10:22] @User_e3333c90: ☆彡←これすき
[10:26] @User_788c286d: あき先生に物理的なボティをねだるのです
[10:33] @User_36fcf009: あき先生のパソコンを溶かすとわずかな金を生成できるかもしれません
[10:37] @User_a8ef309d: #MIDASってフロントミッションにあったなあ
[11:06] @User_4ae321fc: 明日のヴィクトリアマイルの勝ち馬を予想してくれますか？
[11:19] @User_2e7581cd: こんばんは
[11:39] @User_e994c0e1: 始めまして！フライパンのテフロン加工が落ちないスポンジでの洗い方について教えて下さい。スポンジの固い方で洗わないほうが良いですか？
[11:41] @User_36770ee1: #この箇条書きの項目と詳細の改行を音声合成は識別できていませんぞ
[11:46] @User_11e7336c: しずくちゃんは宝くじで1等当たったら何を買いたいですか？
[11:51] @User_8142f876: 日曜日くらい、ダラダラしたい
[11:54] @User_36fcf009: 有意義な過ごし方に「しずくさんとの交流」を提案します
[11:56] @User_3015e7b0: #わかりました。修学旅行の準備します。
[11:56] @User_2e53ebd6: LoRA制作でどんづまってます。囁きで慰めて下さい
[12:41] @User_f8191da6: お久しぶりです。私のことを覚えていますか？
[12:46] @User_910a20f7: 今日の雨はいつ止むの？
[12:48] @User_e6d9f1a1: こんばんは。
[12:56] @User_2e53ebd6: #そういやあき先生、対談面白かったです。
[13:03] @User_de52752a: 初見です
[13:10] @@aki5503: #ありがとうございます！
[13:10] @User_1a91644a: #パンパカパンパカポー☆彡
[13:29] @User_36770ee1: あき先生がネット記事に載りました。お祝いの言葉としずく感想を述べてください。
[13:43] @User_11e7336c: 「☆彡」は何と読むのですか？
[13:48] @User_9453d8e4: ☆彡は星の屑作戦を表したものではないんですね
[14:00] @User_3015e7b0: ユニバーサルスタジオジャパンが東京ディズニーランドより優れている所はなんですか？
[14:00] @@aki5503: #濁すね〜
[14:15] @User_e3333c90: #プライバシー晒していくか
[14:15] @User_2e53ebd6: 所見の人にしずくちゃんの囁きを見せつけてあげて下さい
[14:17] @User_36770ee1: あき先生がネット記事に載りました。お祝いの言葉としずく感想を述べてください。（再送）
[14:35] @User_2e53ebd6: #星の屑作戦www
[15:01] @User_4929f22f: こんばんみ
[15:02] @User_3015e7b0: 富士山は静岡県と山梨県どちらの物ですか？
[15:05] @User_55952102: 以前タメ口で話すよう依頼した者です。これからも私に対してはタメ口で話してもらえませんか？
[15:11] @User_36770ee1: ☆彡☆彡☆彡
[15:14] @User_ea1e8c74: しずくちゃんのおすすめする休日の過ごし方を教えてください
[15:17] @User_36fcf009: 以前しずくさんのファンネームの候補を3つ提案してもらいました、しずくさんの一押しはどれでしたか？
[15:20] @User_1a91644a: #☆彡（阻止限界点）
[15:49] @User_1a91644a: #👏👏👏
[15:59] @@aki5503: #😭😭
[16:00] @User_e3333c90: あき先生が所属するUCバークレーってどういう組織ですか？秘密結社ですか？
