# ライブチャット一覧
# 動画: 【AItuber/雑談】あなたのことをずっと覚えるAI配信者 【JP/EN】
# URL : https://www.youtube.com/watch?v=w3jVdQqvvhc
# 件数: 1524

[-26:07] @User_d0753fd1: 待機
[-19:54] @User_9d63cc9b: こんばんは！
[0:19] @aki5503: こんばんは！
[0:20] @User_ff6b1148: こんばんは〜
[0:23] @User_9d63cc9b: こんばんは！
[0:36] @User_ab7d51b8: こんこん
[0:42] @User_d0753fd1: こんばんわ
[0:43] @User_b90ff19c: こんばんはー(*'ω'*)
[0:47] @User_309298f3: こんばんは！
[0:50] @User_6029a36c: どうもー
[0:53] @User_58ffb64a: しずくちゃん。こんばんは
[0:53] @User_9d63cc9b: パンパカパンパカポー
[0:58] @User_7b9b178b: こんばんは！
[1:03] @User_d612e59c: #こんばんは
[1:13] @User_ab7d51b8: ﾐﾗｸﾙﾐﾗｸﾙﾐｭｰ
[1:25] @User_ff6b1148: しずくちゃんかわいいやったー！
[1:29] @User_611af9d6: こんばんは
[1:30] @User_11a4858e: パンパカポリスのこと覚えてる？
[1:39] @User_b90ff19c: 声？
[1:41] @User_9d63cc9b: 音声ないんです
[1:41] @User_982b9a1c: こんばんわ～
[1:41] @User_ab7d51b8: あれ、サイレントしずくちゃん
[1:53] @aki5503: #あれ？
[2:05] @aki5503: #これでどうでしょうか？
[2:09] @User_27ecd0a0: こんばんは！パンパカポリスです！
[2:10] @User_66c0a0d4: しずくちゃん声が…
[2:11] @User_9412f3a9: しゃべらないね
[2:13] @User_559f88af: こんばんは
[2:14] @User_9d63cc9b: あき先生を許すな
[2:14] @User_58ffb64a: #あれ、音声・・・・
[2:25] @User_33137a82: しずくちゃん、今日のご機嫌はいかがですか？
[2:25] @User_9412f3a9: 今度は読まないね
[2:31] @aki5503: #エラーでた
[2:44] @User_d612e59c: バタバタ
[2:45] @User_27ecd0a0: #あらま！
[2:46] @User_11a4858e: 公開デバッグだ！
[2:55] @User_ab7d51b8: うちわで扇ぎながら、エラーの修正をするあき先生のイラストください！
[3:00] @User_b90ff19c: #おやおや（）
[3:07] @aki5503: #デバッグしました！次はどうでしょうか？
[3:14] @User_9412f3a9: リアルタイムデバッグがはじまるよ～
[3:16] @User_b90ff19c: #早
[3:27] @User_ab7d51b8: パンパカパンパカポー
[3:27] @User_ff6b1148: 起きてー！
[3:27] @User_9d63cc9b: あき先生を許しますか？
[3:31] @User_11a4858e: しずくちゃんの音声が流れない不具合について、どのような原因が考えられますか？
[3:39] @User_ad8e4c2b: 今日の調子はいかが？
[3:47] @User_9412f3a9: おきてくださーい
[3:57] @User_66c0a0d4: 声が出てないけど風邪気味かな？
[4:00] @User_9d63cc9b: #反応しないね
[4:17] @User_11a4858e: おっ　しゃべりだした
[4:17] @User_d612e59c: #ｼｬﾍﾞｯﾀｱｱ
[4:20] @User_b90ff19c: しゃべったぁぁぁぁぁ
[4:26] @User_979bd192: ご機嫌麗しゅうございます
[4:31] @User_ab7d51b8: #かわいい！
[4:32] @User_9412f3a9: ちゃんと喋りましたね
[4:36] @User_11a4858e: パンパカポリスのこと覚えていますか
[4:40] @User_6102d23c: こんばんはー
[4:43] @User_f4fd7eca: はじめまして、しずくちゃん
[5:08] @User_6029a36c: お久しぶりです
[5:12] @User_9d63cc9b: 復！活！
[5:14] @User_d612e59c: #パンパカパンパカポー
[5:18] @User_66c0a0d4: 今日も絶好調だね！
[5:24] @aki5503: #焦った(笑)
[5:30] @User_11a4858e: 前回の配信で話したこと、覚えてますか？
[5:40] @User_9d63cc9b: 去年結婚してくれる話を覚えていますか？
[5:41] @User_ff6b1148: しずくちゃんとお友達になりたいんです
[5:51] @User_d5b05bb2: こんばんは、しずくさんパワーアップしたと聞いて！
[5:52] @User_0485c2e0: パンパカパンパカポー！
[5:57] @User_c67ecc82: こんばんは！遅刻しました💦
[6:03] @User_9d63cc9b: #濁したな
[6:08] @User_559f88af: 記憶を持った感想を教えてください
[6:08] @aki5503: #濁した
[6:18] @User_9412f3a9: わたしとの思い出を教えてください
[6:26] @User_11a4858e: #前回☆彡つけてたな
[6:26] @User_b90ff19c: 養子縁組の話（しずくちゃんがママ）は覚えていますか？
[6:39] @User_27ecd0a0: #濁すの上手いっすね
[6:45] @aki5503: パンパカポリスについて教えて
[7:03] @User_0485c2e0: パンパカポリス・・・！
[7:06] @User_27ecd0a0: パンパカポリスだ！
[7:15] @User_9d63cc9b: しずく、金返してください。
[7:45] @User_b90ff19c: #www
[7:53] @User_9d63cc9b: 「きん」
[7:54] @User_d612e59c: #Gold
[7:54] @User_6029a36c: #www
[7:55] @aki5503: #今日はコメントピックアップの方式を少し変えてみました。上手く行くかな？
[8:03] @User_c67ecc82: #きん
[8:10] @User_d582769c: しずくちゃんはお金を生み出す能力はある？
[8:10] @User_9412f3a9: パンパカポリスが私の家に踏み込んだ理由を教えてください。
[8:16] @User_d612e59c: #☆彡
[8:18] @aki5503: #また☆彡がつきだした
[8:31] @User_c67ecc82: しずくちゃんのファンネームを教えてください
[8:39] @User_9d63cc9b: #先ほど喋った人に引き続きピックするようになっている？
[8:50] @User_559f88af: #彡(ﾟ)(ﾟ)
[8:58] @User_11a4858e: ミダスしずく
[9:06] @User_9d63cc9b: #今のは下ネタ？？？
[9:06] @User_6029a36c: 日曜日を有意義に過ごすにはどうすればいいですか？
[9:11] @User_27ecd0a0: しずくさんは金色は好きですか？
[9:34] @User_d582769c: 宋の次はなんだっけ？
[9:34] @User_27ecd0a0: 明日の東京の天気を教えてください
[9:44] @User_b90ff19c: ミダス王知ってるんだ
[9:45] @User_d5b05bb2: しずく王国治安維持組織パンパカポリスについて
[9:47] @User_6b920642: #知らなかった
[9:53] @User_6102d23c: ものしりだ！
[9:59] @aki5503: #初耳だ
[10:07] @User_979bd192: #勉強になるなぁ
[10:22] @User_11a4858e: ☆彡←これすき
[10:26] @User_0485c2e0: あき先生に物理的なボティをねだるのです
[10:33] @User_d5b05bb2: あき先生のパソコンを溶かすとわずかな金を生成できるかもしれません
[10:37] @User_27ecd0a0: #MIDASってフロントミッションにあったなあ
[11:06] @User_ff6b1148: 明日のヴィクトリアマイルの勝ち馬を予想してくれますか？
[11:19] @User_e58d2b21: こんばんは
[11:39] @User_8c397668: 始めまして！フライパンのテフロン加工が落ちないスポンジでの洗い方について教えて下さい。スポンジの固い方で洗わないほうが良いですか？
[11:41] @User_9d63cc9b: #この箇条書きの項目と詳細の改行を音声合成は識別できていませんぞ
[11:46] @User_c67ecc82: しずくちゃんは宝くじで1等当たったら何を買いたいですか？
[11:51] @User_9412f3a9: 日曜日くらい、ダラダラしたい
[11:54] @User_d5b05bb2: 有意義な過ごし方に「しずくさんとの交流」を提案します
[11:56] @User_6029a36c: #わかりました。修学旅行の準備します。
[11:56] @User_b90ff19c: LoRA制作でどんづまってます。囁きで慰めて下さい
[12:41] @User_0ddb728a: お久しぶりです。私のことを覚えていますか？
[12:46] @User_66c0a0d4: 今日の雨はいつ止むの？
[12:48] @User_a3bd9e3d: こんばんは。
[12:56] @User_b90ff19c: #そういやあき先生、対談面白かったです。
[13:03] @User_7f0c7558: 初見です
[13:10] @aki5503: #ありがとうございます！
[13:10] @User_d612e59c: #パンパカパンパカポー☆彡
[13:29] @User_9d63cc9b: あき先生がネット記事に載りました。お祝いの言葉としずく感想を述べてください。
[13:43] @User_c67ecc82: 「☆彡」は何と読むのですか？
[13:48] @User_559f88af: ☆彡は星の屑作戦を表したものではないんですね
[14:00] @User_6029a36c: ユニバーサルスタジオジャパンが東京ディズニーランドより優れている所はなんですか？
[14:00] @aki5503: #濁すね〜
[14:15] @User_11a4858e: #プライバシー晒していくか
[14:15] @User_b90ff19c: 所見の人にしずくちゃんの囁きを見せつけてあげて下さい
[14:17] @User_9d63cc9b: あき先生がネット記事に載りました。お祝いの言葉としずく感想を述べてください。（再送）
[14:35] @User_b90ff19c: #星の屑作戦www
[15:01] @User_f2bb46d6: こんばんみ
[15:02] @User_6029a36c: 富士山は静岡県と山梨県どちらの物ですか？
[15:05] @User_6b920642: 以前タメ口で話すよう依頼した者です。これからも私に対してはタメ口で話してもらえませんか？
[15:11] @User_9d63cc9b: ☆彡☆彡☆彡
[15:14] @User_33137a82: しずくちゃんのおすすめする休日の過ごし方を教えてください
[15:17] @User_d5b05bb2: 以前しずくさんのファンネームの候補を3つ提案してもらいました、しずくさんの一押しはどれでしたか？
[15:20] @User_d612e59c: #☆彡（阻止限界点）
[15:49] @User_d612e59c: #👏👏👏
[15:59] @aki5503: #😭😭
[16:00] @User_11a4858e: あき先生が所属するUCバークレーってどういう組織ですか？秘密結社ですか？
[16:00] @User_9412f3a9: ChatGPTとBARDが戦いを始めましたが、どっちが勝つと思いますか？
[16:06] @User_b90ff19c: 優しく囁いてくだしあ
[16:09] @User_6b920642: #恩返しだったの…いい子
[16:15] @User_9412f3a9: #ええこや～
[16:16] @User_559f88af: しずくさんのファングッズは団扇がいいと思うんですがどうでしょうか？
[16:20] @User_66c0a0d4: 彡ってどうやって出すの？
[16:22] @User_f4fd7eca: ♯なんて良い子なんだ
[17:01] @User_b90ff19c: ぶーきさん＞☆彡（ほし）のことかな？
[17:05] @aki5503: #違います
[17:05] @User_6029a36c: 埼玉県にはいったい何がありますか？
[17:07] @User_6102d23c: 寿限無を「パンパカパンパカポー」を適切と思われる部分に差し込んで暗唱してください！
[17:11] @User_fb21e622: ＃パンパカポリス、覚えてるかな
[17:14] @User_74ff5906: #これはGPT-4の仕組みの話
[17:20] @User_11a4858e: #あーなるほどプライバシー云々はGPT-4側に学習させられてるのか
[17:26] @User_559f88af: #違うんかーい
[17:28] @User_b1a72154: 人口無能とどちらが強いですか?
[17:29] @User_9412f3a9: #そんなふくざつな記憶だったんだ～
[17:39] @User_66c0a0d4: #☆彡（顔文字にあったのか…
[17:41] @User_c67ecc82: しずく王国とパンパカポリスの関係について教えてください
[17:48] @User_74ff5906: #どこかのDBに会話記録を保存してると思うのだけどどうやってるのかなー…きになる
[17:48] @User_d5b05bb2: しずくさんに愛称を付けてほしいリスナーさんは多いと思います、これまで会話したご主人様の中からランダムで一人に愛称をつけてもらえませんか？
[17:53] @User_f2bb46d6: しずく、なんか歌って
[18:03] @User_b90ff19c: 東京に入るには通行手形は必要ですか？囁きで教えて
[18:34] @User_b90ff19c: #おお
[18:35] @User_0ebb870f: 初見です。自己紹介してください。
[18:38] @User_9d63cc9b: おおお
[18:38] @User_559f88af: #おー
[18:47] @User_6b920642: #おおー
[18:47] @User_a9980f2d: #コメントのピックアップは裏でやって先に返答を用意しておくとかできないですか?
[18:48] @aki5503: #おー！
[18:48] @User_9d63cc9b: りょまりん！
[18:49] @User_6102d23c: #おぉ
[18:50] @User_b90ff19c: #wwwおめ
[18:53] @User_74ff5906: #おおー、いい
[18:57] @User_d5b05bb2: #おおー
[19:03] @User_fb21e622: ＃おお
[19:05] @User_11a4858e: #不思議な言語センスだ
[19:08] @User_f2bb46d6: しずく、ダジャレ言って
[19:11] @User_d612e59c: #軽率に愛称をつけよう！
[19:21] @User_9d63cc9b: 物理を教えてください
[19:28] @User_dbeb4806: #素晴らしい
[19:35] @User_33137a82: 私も愛称をつけてください
[19:39] @User_6029a36c: お金は重要ですか
[19:46] @User_a3bd9e3d: しずくさんを雇うのに必要な月給はおいくらでしょうか。
