# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様！しずくはまた少しパワーアップしましたよ！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=nASHCTD4bwk
# 件数: 1349

[-1:12:10] @User_2e53ebd6: 💧待機
[-2:28] @User_a8ef309d: 待機
[0:30] @@aki5503: #こんばんは！始まります〜
[0:36] @User_2e53ebd6: こんばんはー(*'ω'*)
[0:41] @User_51fe3fff: #こんばんはー
[0:46] @User_bf747a92: こんばんはー
[1:05] @User_36fcf009: こんこんばんばん
[1:09] @User_2e53ebd6: 服着なきゃ
[1:15] @User_51fe3fff: こんばんはしずくちゃん、何がアップデートされたか教えて
[1:27] @User_bf747a92: @という記号自体は読めるのかな？
[1:33] @User_36770ee1: 何がパワーアップしたんですか？
[1:51] @User_e3333c90: しずくちゃんアップデートのリリースノートを書いて
[1:54] @User_9453d8e4: こんばんは
[2:09] @User_113cc8d5: おはこんばんちは
[2:15] @User_bf747a92: かしこい！
[2:18] @User_5d00dbd2: #＠の再開が待たれる
[2:27] @User_6b2fd898: ご機嫌麗しゅうございます
[2:59] @@aki5503: #@コメントももうだいぶご無沙汰ですね… 準備出来たらまた復活させます！
[3:27] @User_7536f8b5: #かしこい
[3:58] @User_bf747a92: 大洋ホエールズの調子はどうですか？
[3:58] @User_9453d8e4: パワーアップした成果を見せて
[4:04] @User_eb6a203c: 日本語でダジャレを言って
[4:12] @User_2e53ebd6: #大洋ホエールズwww
[4:43] @User_51fe3fff: それパワーダウンしてない？
[4:43] @User_bf747a92: # ターボ！
[4:46] @@aki5503: #草　3.5使ってるのはダウングレードやww
[4:50] @User_36fcf009: しずくさんの全否定ASMRを聞いて寝ようと思ったのですが、内容が面白くてなかなか眠れませんでした。睡眠のお供におすすめのアーカイブを教えてもらえませんか？
[4:53] @User_36fcf009: #草
[4:55] @@aki5503: #今は3.5
[5:05] @User_2e53ebd6: www
[5:08] @User_51fe3fff: #フエーッシュ！
[5:09] @User_bf747a92: にほんご？ｗ
[5:11] @User_eb348e36: #3.5だから速くなったのか！
[5:14] @User_5d00dbd2: #ん・・・？
[5:14] @User_eb6a203c: ＃また魚！？
[5:29] @User_ea1e8c74: しずくちゃん、今日のご機嫌はいかがですか？
[5:34] @User_9453d8e4: #パワーダウンだと！
