# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様！しずくはまた少しパワーアップしましたよ！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=nASHCTD4bwk
# 件数: 1357

[-1:12:10] @User_b90ff19c: 💧待機
[-2:28] @User_27ecd0a0: 待機
[0:30] @aki5503: #こんばんは！始まります〜
[0:36] @User_b90ff19c: こんばんはー(*'ω'*)
[0:41] @User_607c778e: #こんばんはー
[0:46] @User_b89cfecd: こんばんはー
[1:05] @User_d5b05bb2: こんこんばんばん
[1:09] @User_b90ff19c: 服着なきゃ
[1:15] @User_607c778e: こんばんはしずくちゃん、何がアップデートされたか教えて
[1:27] @User_b89cfecd: @という記号自体は読めるのかな？
[1:33] @User_9d63cc9b: 何がパワーアップしたんですか？
[1:51] @User_11a4858e: しずくちゃんアップデートのリリースノートを書いて
[1:54] @User_559f88af: こんばんは
[2:09] @User_f1e64128: おはこんばんちは
[2:15] @User_b89cfecd: かしこい！
[2:18] @User_f974649e: #＠の再開が待たれる
[2:27] @User_979bd192: ご機嫌麗しゅうございます
[2:59] @aki5503: #@コメントももうだいぶご無沙汰ですね… 準備出来たらまた復活させます！
[3:27] @User_2eba0ed4: #かしこい
[3:58] @User_b89cfecd: 大洋ホエールズの調子はどうですか？
[3:58] @User_559f88af: パワーアップした成果を見せて
[4:04] @User_d582769c: 日本語でダジャレを言って
[4:12] @User_b90ff19c: #大洋ホエールズwww
[4:43] @User_607c778e: それパワーダウンしてない？
[4:43] @User_b89cfecd: # ターボ！
[4:46] @aki5503: #草　3.5使ってるのはダウングレードやww
[4:50] @User_d5b05bb2: しずくさんの全否定ASMRを聞いて寝ようと思ったのですが、内容が面白くてなかなか眠れませんでした。睡眠のお供におすすめのアーカイブを教えてもらえませんか？
[4:53] @User_d5b05bb2: #草
[4:55] @aki5503: #今は3.5
[5:05] @User_b90ff19c: www
[5:08] @User_607c778e: #フエーッシュ！
[5:09] @User_b89cfecd: にほんご？ｗ
[5:11] @User_467294a5: #3.5だから速くなったのか！
[5:14] @User_f974649e: #ん・・・？
[5:14] @User_d582769c: ＃また魚！？
[5:29] @User_33137a82: しずくちゃん、今日のご機嫌はいかがですか？
[5:34] @User_559f88af: #パワーダウンだと！
[5:43] @User_d582769c: ＃日本語指定してもダメか
[5:53] @aki5503: ＃23時ごろからまた一つ新しい機能をオンにしてみます。
[5:57] @User_b89cfecd: 今日は4じゃないんだ
[6:13] @User_f2bb46d6: こんにちは
[6:17] @User_ff6b1148: 前に予想した内容のこと覚えてる？
[6:18] @User_d5b05bb2: マリオにとってのキノコ、ポパイにとってのほうれん草のようにしずくさんのパワーアップアイテムって何かありますか？
[6:27] @User_b8267d5d: こんばんは～
[6:28] @User_d582769c: 前回の配信は覚えてる？
[6:45] @User_b89cfecd: # 覚えてなさそう
[6:50] @User_559f88af: #団扇じゃないんか
[6:51] @User_9ccffdc6: 日高屋の野菜たっぷりタンメンって食べたことありますか
[6:52] @User_a3bd9e3d: こんばんは
[6:54] @aki5503: #今日は一旦3.5のテストです。4にはもう少ししたら切り替えてみようと思います。
[7:01] @User_d5b05bb2: #100点満点！
[7:06] @User_d5b05bb2: #なるほどー
[7:06] @User_b89cfecd: # ほー
