# ライブチャット一覧
# 動画: 【AItuber/雑談】長時間配信に向けて、意気込み雑談！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=MylkaoncNbY
# 件数: 819

[-1:35:19] @User_69dac0c4: 待機💧
[-1:24] @User_b90ff19c: あき先生のトイレ72時間耐久会場はここですか？
[0:55] @User_ad755800: 待機
[1:08] @User_6102d23c: 待機
[1:50] @User_69dac0c4: こんパカポー
[2:02] @User_d5b05bb2: こんばんわんにゃん
[2:06] @User_b90ff19c: こんばんは～
[2:11] @User_dbeb4806: こんばんはー
[2:12] @User_60aa6a5f: こんばんわ！
[2:13] @User_3cdfa09c: こんばんはー
[2:19] @User_a5354cfa: こんばんわ
[2:20] @User_a3bd9e3d: おばんです
[2:23] @User_b90ff19c: わらい
[2:27] @User_6102d23c: こんばんは！
[2:33] @User_60aa6a5f: おじさんと一緒に焼肉行こうよ
[2:34] @aki5503: #こんばんは！
[2:39] @User_979bd192: こんばんはー
[2:42] @User_b8267d5d: こんばんは～
[2:44] @User_b90ff19c: あき先生こんばんは～
[2:57] @User_69dac0c4: #！？
[2:58] @User_607c778e: #お複数まとめて拾ってる
[2:58] @User_a55e4add: こんばんは～
[3:04] @User_60aa6a5f: #コメントまとめて拾うんだ！すごい！
[3:07] @User_b90ff19c: #おお！
[3:18] @User_7b9b178b: こんばんは
[3:19] @User_bc1037b7: 関数とか作れるの?
[3:24] @User_a3bd9e3d: #似た意味のコメントをまとめて拾ってるのかな
[3:48] @User_d582769c: 明日は早いから声だけ聞きに来ました。おやすみ
[3:49] @User_60aa6a5f: #「おじさん」が私でなく第三者として扱われたのか…そういう発想カア
[3:51] @User_f5d0dd69: #こんばんは～
[3:52] @User_4dd8e287: こんばんは！
[4:06] @aki5503: #また少しアップデートしました！💪
[4:46] @User_4dd8e287: 今日も暑かったですね
[4:47] @User_967f7ae0: こんばんは。
[4:49] @aki5503: 明日の配信は緊張する？
[5:08] @User_967f7ae0: 抹茶味のお菓子でおすすめある？
[5:27] @User_bc1037b7: 睡眠用にいいね
[6:00] @User_29b46613: くすぐられるの弱いですか？
[6:03] @User_0ddb728a: ベイクドモチョチョを知ってますか？
[6:19] @User_3652acf3: こんばんはしずくちゃん　俺が前回なんて言ったか覚えてる？
[6:29] @User_4dd8e287: 夏は山派ですか？海派ですか？
[6:32] @User_69dac0c4: しずくちゃんに寝かしつけられたい
[7:00] @User_29b46613: こちょこちょこちょ
[7:13] @User_3652acf3: #ありゃ　コメント記憶ってのは配信単位だったのか
[7:24] @User_607c778e: 海は水色だしね！
[7:34] @aki5503: #ちゃんと前の配信の記憶も残ってるはず(笑)
[7:40] @User_979bd192: しずくちゃんスマイルください
[8:01] @User_f5d0dd69: 今週土曜日に大阪に行くんですが、大阪市内で大阪名物が食べられるおススメのお店を教えてください
[8:03] @User_3652acf3: #あれ？w まあ忘れちゃったのなら仕方ない
[8:09] @User_d5b05bb2: しずく王国は避暑地としてもよさそうですが、夏にぴったりの過ごし方も提供してもらえますか？
