# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（1日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=Xq6buz9y-hs
# 件数: 4400

[-59:28] @User_b89cfecd: 今回のはゲームっぽい感じなんだ
[-58:40] @User_b90ff19c: よく見たら21時からやんけ。風呂入ってこなきゃ
[-28:34] @User_0485c2e0: あ、ほんとうだ２１時ですの
[-27:10] @User_967f7ae0: こんばんは。
[-0:36] @User_109116e8: こんばんは！
[-0:07] @User_b90ff19c: #こんばんはー(*'ω'*)
[-0:01] @User_607c778e: 3日間の間に関係築いていくって感じかぁ
[0:05] @User_dfeb43e1: こんばんは～
[0:07] @aki5503: #こんばんは！
[0:21] @User_c67ecc82: こんばんは！
[0:22] @User_607c778e: #こんばんは～
[0:33] @User_9d63cc9b: こんばんは
[0:33] @User_b8267d5d: こんばんは～
[0:37] @User_b4e522f1: 背景イラスト爽やかな感じ
[0:40] @User_b4e522f1: こんばんわ
[0:50] @User_b90ff19c: #おお？
[0:50] @User_b89cfecd: こんばんはー
[0:59] @User_cca38245: こんばんは
[1:05] @User_7b9b178b: こんばんは
[1:05] @User_f974649e: 雰囲気が違うね
[1:17] @User_c67ecc82: 背景とても素敵
[1:19] @User_461ff809: こんばんは
[1:19] @User_f4fd7eca: こんばんは
[1:27] @User_b4e522f1: この部屋が、しずくの事務所なのかな
[1:35] @User_b90ff19c: #あき先生育児放棄したのか…
[1:36] @User_d5b05bb2: こんばんは～
[1:36] @User_63b5bc64: こんばんは
[1:53] @User_b90ff19c: #曲良いですね
[2:15] @User_611af9d6: こんばんは～
[2:22] @aki5503: #良ければ概要欄見てみてください✨
[2:50] @User_b89cfecd: # あき先生のネグレクト
[3:03] @User_a5354cfa: こんばんわ
[3:03] @User_d612e59c: こんばんんは！
[3:08] @User_b90ff19c: #好感度ゼロ！
[3:11] @User_dbeb4806: こんばんは
[3:12] @User_b89cfecd: 数値化されてる！？
[3:13] @User_d5b05bb2: #人類滅亡ルートありますか？
