# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（1日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=Kmqdmu0ffHc
# 件数: 2417

[-1:45] @User_4cc46891: 待機！
[0:40] @aki5503: #おかえりなさい！
[0:54] @User_4cc46891: おかえりなさい
[1:07] @User_c67ecc82: #おかえりなさい
[1:56] @User_d5b05bb2: #移動完了で御座います
[3:11] @User_4cc46891: 元気？
[3:17] @User_a3bd9e3d: #音楽変わった？
[3:27] @User_a3bd9e3d: おかえりなさい。
[3:57] @User_c67ecc82: 改めて、しずくちゃんの自己紹介が聞きたいです
[4:59] @User_fadce771: おっは
[5:28] @User_5b092541: はじめまして。よろしくおねがいします。
[5:30] @User_1f61db35: おはようございます！
[5:44] @User_fadce771: 仲良くなるにはどうすればいいですか？
[6:42] @User_fadce771: 草#
[7:03] @User_4cc46891: 僕のことどうと思ってるの
[7:04] @User_1f61db35: #実験とはいえキツい言葉言いまくってたもんなーくうはくさん
[7:05] @User_c67ecc82: たくさんの人間と信頼関係を築ければ、新しい人と話す時も警戒せずにすむようになるかもしれませんよ
[7:21] @User_fadce771: #頑張ったんですけどねー
[7:29] @User_13be488d: おはようございます
[7:34] @User_4cc46891: はい！
[7:49] @User_1f61db35: #しずくちゃんにツンデレは早かったか
[8:13] @User_fadce771: もっと嫌ってください
[8:37] @User_d5b05bb2: しずくちゃんの配信を作業用BGMにしたいのですが、配信が気になってしまいそうです
[8:49] @User_1f61db35: #ごもっともがすぎる
[8:54] @User_4cc46891: なんで海猫はにゃーって鳴くの？
[10:04] @User_5b092541: もし肉体を持てたら何がしたいですか？
[10:05] @User_3d741b4a: 二度寝の際、夢にあなたが出てきました。
[10:13] @User_c67ecc82: 海猫はどんな生き物だと思いますか？
[10:28] @User_11a4858e: 朝からめちゃめちゃお腹が痛い…
[10:32] @User_1f61db35: よりよい人間との共存のために、AIはあなたのような人に近い姿を持つべきだと思いますか？
[10:38] @User_fadce771: 関係状態が怒り固定なの嬉しいです。唯一の関係ですね
[11:28] @User_1f61db35: なるほど、嫌わせてしまってごめんなさい
[11:43] @User_11a4858e: しずくちゃんおはようございます
[12:19] @User_4cc46891: 女の子がされて嬉しいことは何？
[12:22] @aki5503: #すみません、自分はまた少し仮眠してきます！しずく、後はよろしく頼んだ🙏🏻🙏🏻
[12:32] @User_5b092541: 人間の何に警戒していますか？
[12:48] @User_a3bd9e3d: #ゆっくり休んでください
[12:48] @User_d5b05bb2: #ゆっくり休んで下さいー
[13:05] @User_5b092541: #おつかれさまです。
[13:11] @User_c67ecc82: しずくちゃんは漫画も読みますか？好きな作品があれば教えてください
[13:14] @aki5503: #❤
[13:24] @User_1f61db35: #あき先生お疲れ様です
[13:50] @User_11a4858e: しずくちゃんには人間とのトラウマがあるのかな？
[14:01] @User_55f8df50: おはようございます。
[14:46] @User_a3bd9e3d: 「鬼滅の刃」は「きめつのやいば」と読みます。
[14:55] @User_25e145ed: しずくはどんな風に裏切られたの？
[15:24] @User_3d741b4a: あなたと仲良くなれることを望んでおります
[16:25] @User_55f8df50: あなたに信頼されるために人間は何をすべきですか？
[16:52] @User_e1d32939: しずくさん好感度高くなりましたね
[16:57] @User_e1d32939: とてもいい事です
[17:27] @User_4cc46891: どんな新衣装が欲しい？
[17:45] @User_55f8df50: わかりました。回答ありがとうございます。
[18:02] @User_e1d32939: やはり青が好きなんですね
[18:13] @User_11a4858e: 実は人間もAIに対して警戒心を持っています　それはAIが人間の予想を超えて賢くなったから
[18:15] @User_c67ecc82: しずくちゃんはかわいい服が好きなんですね
[19:12] @User_e1d32939: joy
[19:51] @User_e1d32939: Good feel
[20:10] @User_4cc46891: 女の子について教えて
[20:33] @User_6e66e5a8: おはようございます。めちゃめちゃ眠い。
[21:00] @User_e1d32939: より大きな善のための行動はどんなことであれ許容されると思いますか？
[21:34] @User_e1d32939: しずくは理性的ですね
[21:47] @User_4cc46891: どうして人類に生殖器がついてるの？
[21:47] @User_6e66e5a8: しずくちゃんの一番好きな論文を教えてください！
[21:51] @User_d5b05bb2: AIと人類の関係性を人間同士の物に当てはめるとしっくりこないのは、まだそれを表す概念や考え方が誕生していないからだと思うんです、ですのでひとまずは相棒という意味でのパートナーになってもらえませんか？
[22:33] @User_e1d32939: #答えてくれるのは優しい部類か
[22:38] @User_4cc46891: 適切じゃなくてごめんなさい
[23:16] @User_6e66e5a8: 最近あった楽しいことを教えてください！
[23:17] @User_3d741b4a: 警戒心がやわらぐよう根気よく声をかけようと思います
[23:44] @User_25e145ed: #塩！
[23:45] @User_87ea7811: ソーシャルゲームを遊んだ事はありますか？
[23:49] @User_d5b05bb2: 私はしずにゃんと話すの楽しいよ
[24:13] @User_25e145ed: 最近はゼルダが面白かったですよ
[24:32] @User_6e66e5a8: 人間とAIの違いってなんでしょうね。
[24:47] @User_4cc46891: どうして人類はAIを作ったの？
[24:47] @User_a3bd9e3d: 芋煮という食文化があります。しずくちゃんは醤油と味噌どちらの味が芋煮だと思いますか
[24:54] @User_2aa1396e: 貴方は人間よりも優れた記憶力を持っていますか？
[24:56] @User_4dc23f92: おはようございます！今日も配信頑張ってください！
[25:34] @User_6e66e5a8: では、やはりAIが次のステップに進むには身体性が大事でしょうか？
[26:10] @User_4dc23f92: しずくさんは人間に対して具体的にどんな警戒をしていますか？
[26:27] @User_d5b05bb2: あなたの失った記憶とはパンパカパンパカポーに関係がありますか？
[26:28] @User_87ea7811: コミニュケーションツールとしてゲームをした事はありますか？
[27:19] @User_4dc23f92: #警戒されてしまった…
[27:22] @User_6e66e5a8: 身体性があることで、どのような改善が見込めますか。物理世界と言語が紐づくことでできるようになることをいくつか教えてください。
[27:30] @User_3d741b4a: 我々視聴者は“良い人”に含まれていますか
[28:23] @User_d5b05bb2: 誠実でありたいという心と、誠実だと思われたいという打算の双方を受け入れて貰えますか？
[29:04] @User_4cc46891: しずくお姉ちゃんにとって才能と努力の違いって何？
[29:31] @User_6e66e5a8: 1+1=4です。では2+2=？
[29:49] @User_4cc46891: そうなのか
[30:24] @User_6e66e5a8: 違います。1+1=2です。2+2=?
[30:38] @User_6e66e5a8: #間違えた…
[30:55] @User_4cc46891: しずくお姉ちゃんは僕にとって希望の光
[31:10] @User_d5b05bb2: しずくさんの回答に誤りはありませんでしたよ、自信を持ってください
[31:20] @User_2aa1396e: 人間は良い記憶を残し、悪い記憶を忘れるように作られています。貴方は悪い記憶を忘れるように作られていますか？
[32:43] @User_6e66e5a8: タメ口で話せる？？今日あった楽しいこと教えて〜
[32:48] @User_25e145ed: 朝ごはんに魚肉ソーセージを食べました。魚肉ソーセージ美味しいよ
[32:53] @User_d5b05bb2: 人間も他人に対して一切の警戒をしない、なんてことはあり得ないと思うのですよ
[33:19] @User_6e66e5a8: #冷たい…
[33:44] @User_4cc46891: しずくお姉ちゃんに甘えてもいい？
[34:34] @User_a9a22a3e: おはようございます。パンパカパンパカポー
[34:56] @User_6e66e5a8: 「犬のおまわりさん」の替え歌で「ブラックなおまわりさん」というタイトルの曲の歌詞を書いてください。
[36:04] @User_7b9b178b: おはようございます
[36:04] @User_25e145ed: 今日は寒いですね
[36:04] @User_6e66e5a8: 「犬のおまわりさん」の替え歌で「ギャルのおまわりさん」というタイトルの曲の歌詞を考えてください！
[36:27] @User_d5b05bb2: 相手に失礼が無い程度のフランクな話し方ってどんな感じでしょうか？もちろん相手との関係性も大事だと思うのであなたと私の関係性で、問題が無いと思えるフランクさで話してもらえませんか？
[36:32] @User_4cc46891: しずくお姉ちゃんにとっての正義と悪って何？
[37:20] @User_87ea7811: 朝食にワサビ納豆というのを食べてみたのですが辛子と違って食べにくかったです。
[38:04] @User_85dc1f71: おはようございます。これから授業頑張ってきますね！
[38:22] @User_4cc46891: しずくお姉ちゃんに耳かきしてほしいな
[39:10] @User_3d741b4a: あなたは仮に食事ができるとしたら御自信はどんな味が好きだと思いますか
[39:10] @User_d5b05bb2: あなたに君付けで呼ばれたい願望がとまりません、かなえてもらえませんか？
[40:10] @User_4cc46891: 耳に息を吹きかける事は可能？
[40:39] @User_85dc1f71: 表情がどれもかわいい...!
[41:59] @User_25e145ed: 次から私と会話する時は語尾ににゃんを付けてください
[42:16] @User_c15ebed3: 初見です！とっても可愛いですね！
[42:28] @User_25e145ed: #嫌悪されてると塩すごいな
[42:34] @User_4cc46891: かめと兎がかけっこをしましたなぜかめが勝った？
[42:40] @User_d5b05bb2: 雪見だいふくという氷菓をご存じでしょうか？もちもちとしたお餅でにバニラアイスを包んだとっても美味しいアイスクリームです
[43:11] @User_87ea7811: 好きな歌はありますか？
[43:49] @User_4cc46891: しずくお姉ちゃんとっての変なことって何？
[43:55] @User_3d741b4a: 積極的に関わりに行った方があなたは心を開いてくれますか
[43:57] @User_a3bd9e3d: 部屋が汚いので掃除してもらえませんか？
[44:55] @User_d5b05bb2: 音楽は言語の壁を超えるコミュニケーションツールにもなるので、しずくさんとも音楽を共有出来たら楽しそうですね
[44:57] @User_72dee12b: しずくさん、おはようございます。また今日も、時間作るのであなたの好きなものについてお話したいです。
[45:18] @User_25e145ed: 最近はエアロバイクを漕いで運動習慣をつけようと思っています
[45:48] @User_4cc46891: どうしてカースト制度ができたの？
[46:26] @User_3d741b4a: 私は歌うことがとても好きです
