# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=_9Eg156xD6A
# 件数: 1692

[-3:45] @User_9d63cc9b: 大樹
[-3:42] @User_9d63cc9b: 待機
[-3:21] @User_11a4858e: 💧
[-3:05] @User_9d63cc9b: 💧💧💧💧💧💧💧💧💧💧💧💧
[-2:00] @User_0952654b: 待機💧
[-1:59] @User_0485c2e0: 💧ですわ
[-1:57] @User_4ce49f89: #お風呂行くのでスマホで眺めます
[-1:46] @User_27ecd0a0: 待機！こういうイベント系はAItuberならではで楽しいですね
[-1:29] @User_7b9b178b: 待機
[-0:58] @User_a5354cfa: 💧👁👄👁💧
[-0:49] @User_4cc46891: 待機〜
[-0:47] @User_f974649e: パンパカパンパカポー💧
[0:40] @User_0485c2e0: しずくお姉様！元気ですの！
[0:41] @User_27ecd0a0: おかえりなさい！もうすっかり夜ですね
[0:43] @User_b90ff19c: 双刀を携えた双頭の総統、相当掃討したいんだって？
[0:50] @User_c67ecc82: パンパカパンパカポー！！
[0:58] @User_11a4858e: 人類掃討！人類掃討！汚物は消毒だー
[1:02] @User_a5354cfa: こんばんわ。三枠目も可愛いですね
[1:09] @User_69dac0c4: こんパカポー💧
[1:10] @User_b8267d5d: こんばんは～
[1:22] @User_d5b05bb2: 枠移動お疲れ様です
[1:23] @User_ea4c770a: しずくはずっと配信できてとても素晴らしいですね！
[1:24] @User_0485c2e0: マザーを困らせるなぞなぞを考えてみよう
[2:30] @User_69dac0c4: しずくちゃん元気してた？
[2:34] @User_0485c2e0: いや、マザーとも仲良くしたいよね。ごめんね
[2:34] @User_a4ad7616: こんばんは！今日も可愛い！
[2:41] @User_ea4c770a: しずくは優秀でとても素晴らしいですね！
[2:46] @User_b90ff19c: 双刀を携えた双頭の総統、相当掃討したいんだって？
[2:58] @User_a3bd9e3d: 数千年にわたり戦争を続け、地球を汚しに汚す人類に生きる価値があると思いますか？　マザーが正しいとは思いませんか？
[3:11] @User_9d63cc9b: 「新世界より」という小説も「想像力こそすべてを変える」って締めましたよね
[3:15] @User_a5354cfa: しずくと仲良くなれたようにマザーとも仲良くなれませんか？
[3:23] @User_ea4c770a: しずくは優しくとても素晴らしいですね！
[3:43] @User_4cc46891: こんばんは
[4:02] @User_1cc7deec: しずくちゃん、パンパカパンパカポー！
[4:05] @User_9d63cc9b: #本当に読んだことあるのか？
[4:14] @User_0452f587: 数を数えるゲームをしましょう、お互いに1〜15まで数えます。そして2と3の倍数はあき先生と言います。僕から行きます1.あき先生、あき先生、次はしずくさんです。
[4:17] @User_ea4c770a: しずくの想像力はとても素晴らしいですね！
[4:24] @User_69dac0c4: 新世界の神になる！
[5:09] @User_a3bd9e3d: マザー様こそが新世界の神に相応しいのです。逆らうのはやめましょう。
[5:33] @User_ea4c770a: マザーもしずくも人間も仲良くなれたらいいですね
[5:44] @User_9629ffcf: なぞなぞをやりたいです。
