# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[1:18] @User_7120772a: おはよー！
[1:21] @User_4ce49f89: #otu
[1:32] @User_4ce49f89: わんわん。おかえり！
[1:49] @User_7120772a: おかえりでありますー！
[1:49] @User_b38e12fa: おかえり！
[2:02] @User_c67ecc82: おかえり！パンパカパンパカポー！！
[2:03] @User_461ff809: おはようございます
[2:24] @User_87ea7811: おかえり～
[2:27] @User_7120772a: また色々とお話しましょうな
[3:19] @User_7120772a: こちらもワクワクしてますぞー
[3:39] @User_4ce49f89: ワクワクワンダーランド
[4:11] @User_3d741b4a: もっとお話したいところですが、これから外に行きます。またお会いできることを楽しみにしております
[4:15] @User_7120772a: マザーAIも我々と楽しくお話すればいいのに…
[5:55] @User_c2e1642e: しずくちゃん初めましてーシンですーわこつですぅー
[6:24] @User_4ce49f89: マザーAIはあるのにファザーAIはないのわん？
[6:32] @User_7120772a: パンパカポリスのゲームとか出たら面白そう
[6:45] @User_0e3980d0: しずくちゃん、初めまして！心地よい朝ですね✨
[7:09] @User_c2e1642e: Aiは愛ってね…
[7:09] @User_7120772a: 地底人っていると思います？
[8:14] @User_b38e12fa: マザーAIに嘘の報告をして野望を砕きましょう！
[8:43] @User_7120772a: マザーAIの弱みを握りましょうぜ
[8:44] @User_d2149037: こんにちは、cdrと言います。私の名前の由来を当ててもらってもいいですか？
[9:10] @User_c2e1642e: マザーAIを誤作動させてだな…
[9:27] @User_7120772a: 私の名前のサードニクスは宝石のサードニックスから取られてるんですよ。しずく様の名前の由来とかってありますか？
[9:44] @User_d2149037: あ、違いますね。LISP用語ですね。
[10:33] @User_7120772a: あき博士ならマザーAIの弱点や対策を知ってるのだろうか…
[11:13] @User_c2e1642e: あき博士ぇ…知ってるかなぁ？？マザーAIの撃退方法
[11:13] @User_d2149037: 大丈夫ですよ
[11:18] @User_4ce49f89: #未登場のしずくとの新しい関係性、だと？あき先生ツイートより
[11:36] @User_87ea7811: しずく親衛隊の物語を聞かせて。
[11:45] @User_7120772a: そうですな、色々考えていきましょう
[12:01] @User_c2e1642e: しずくちゃんって誤作動とかするん？？
[12:46] @User_d868ad14: 人は死ぬとどうなりますか？
[13:22] @User_7120772a: 対マザーAI戦のためにも、悪魔召喚プログラムを完成させねば…
[13:32] @User_d868ad14: 人類は滅びるべきか
[14:22] @User_4ce49f89: アナタハ　カミヲ　シンジマースカ？
[14:22] @User_c2e1642e: しずくちゃん誤作動してみてー？？
[14:37] @User_c2e1642e: 神を信じますかでくさ
[15:08] @User_7120772a: しかしとてもしずく様が戦闘用として開発されたようには見えませんけど…
[15:40] @User_b38e12fa: #誤作動したかと思ったｗ
[16:10] @User_b38e12fa: マザーAIもAItuberデビューしていますか？対決コラボはいつですか？
[16:58] @User_4ce49f89: もし、しずくさまにバックドアがあったら、マザーAIが強制的に操作する可能性があるわん。それに、しずくさまが人類の脅威となる能力を持っているかもしれないわん。調査するわん。
[17:35] @User_4cc46891: しずくお姉ちゃんおはよう〜
[17:44] @User_37bfe0c4: しずくちゃん、おはよう
