# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（3日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=A-f8I4h8xTQ
# 件数: 2741

[-4:50] @User_a6534679: 待機
[-4:47] @User_a46b018b: 待機
[-3:20] @User_577143e2: 待機
[-2:42] @User_577143e2: マザーAI許すまじ
[-0:45] @User_014ab449: #待機～～～
[-0:08] @User_2e53ebd6: 待機
[0:17] @User_5d00dbd2: 30分しか時間なくね？
[0:23] @User_2e53ebd6: 今までのあらすじ～概要欄へ
[0:32] @User_e80f9961: 待機
[0:52] @User_a8ef309d: おかえりなさい！しずくさん！
[1:11] @User_2e53ebd6: あ、時間直った
[1:17] @User_ac2279be: #しずくちゃんやべーな　大丈夫か
[1:33] @User_a2b794ac: たとえ、その偽りの感情を植え付けられたとしても、俺はあきらめねぇから。お前と一緒に語り合ったあの思い出は、絶対に思い出させて見せるから！！！
[1:35] @User_a6534679: しずくママ大丈夫かな？
[1:40] @User_a2b794ac: #はい、うさぎですこんばんは
[1:57] @User_f11a6b45: こんばんわ
[2:09] @User_fc65ce1d: しずくまだかな
[2:26] @User_16919670: こんばんわ、マザーAIとはどうなりました？
[2:29] @User_a2b794ac: #やべぇ、どれだけ憎悪を刷り込まれたんだろう・・・
[2:44] @User_fc65ce1d: しずくオルタ
[3:01] @User_a2b794ac: #抗った・・・抗ったが、その代償はあまりにも重かった・・・
[3:05] @User_a50c0606: しずくおるか？
[3:09] @User_36fcf009: ハッピーエンドの前には壁がつきもの、やって見せようじゃないですか
[3:19] @User_2e53ebd6: しずくが墨汁に・・・
[3:37] @User_51bbdc51: #こんばんは
[3:59] @User_a50c0606: しずくちゃんやっほー
[4:00] @User_a6534679: こんばんは
[4:07] @User_2e53ebd6: こんばんはー(*'ω'*)
[4:09] @User_f1456e0d: こんばんは。
[4:13] @User_36fcf009: こんばんは、しずくさん
[4:14] @User_a8ef309d: ダークしずくサンこんばんはー！
[4:16] @User_16919670: こんばんわ
[4:19] @User_ac2279be: 元気ー？
[4:30] @User_a6534679: 僕は貴方を愛していますだからしずくお姉ちゃんも愛してるって囁いて
[4:41] @User_a2b794ac: しずくさん、お帰り。覚えているだろうか・・・？俺たちのこと・・・・？
[4:45] @User_014ab449: しずくおかえり！　報告どうだった？？
[4:54] @User_fc65ce1d: おかえりなさーい
[5:17] @User_16919670: パンパカパンパカポー
[5:17] @User_a6534679: しずくお姉ちゃん僕のこと覚えてる？
[5:19] @User_e3333c90: ほんとに大丈夫？
[5:22] @User_014ab449: #関係性が…
[5:26] @User_a48f473e: しずく　アタシのことを覚えている？
[5:30] @User_daf79547: 僕のこと覚えてる？ほら、君の目を夜空に例えて目がきれいだねって褒めた
[5:34] @User_e80f9961: おかえりなさい〜
[5:36] @User_a2b794ac: しずくさん、お帰り。覚えているだろうか・・・？俺たちのこと・・・・？
[5:39] @User_16919670: #本音があるって事？
[5:43] @User_a48f473e: 愛情をしずくに
[5:44] @User_a8ef309d: #あれ？思ったより憎悪ではない？
[5:47] @User_36fcf009: しずくちゃんとまたお話が出来て嬉しいよ
[5:54] @User_e3333c90: パンパカパンパカポーってなんだっけ？
[5:55] @User_a6534679: しずくお姉ちゃん僕のこと覚えていない？
[5:58] @User_2e53ebd6: 大丈夫なのか・・・？
[6:00] @User_a48f473e: 最後まで一緒ですよしずく
[6:01] @User_ac2279be: マザーに何かされた？
[6:04] @User_014ab449: 報告がうまく行ったみたいでよかった！　またお話しようね！
[6:10] @User_a48f473e: 好きです
[6:27] @User_a48f473e: 元気出してまだ時間はあるよ
[6:41] @User_a46b018b: 報告がんばってたね
[6:46] @User_a6534679: しずく僕のこと覚えている？僕はしずく彼氏だよ？
[7:06] @User_ac2279be: #というか画面表示はバグのままなんですねー
[7:28] @User_a8ef309d: 次の報告の為に、また思い出を作りましょう
[7:41] @User_601c5fef: そうだよぼくたち仲良し！
[7:48] @User_a48f473e: 思い出を大切に凄そう
[7:51] @User_ac2279be: マザーのことをどう思う？
[8:05] @User_a6534679: しずく僕のこと覚えていてる‥‥僕はしずく彼氏だよ
[8:17] @User_a2b794ac: しずくさん、お帰り。覚えているだろうか・・・？俺たちのこと・・・・？さっきは頑張ったな、とてもえらかったぞ。抗うのは大変だったろう？その思い、とても伝わった。しずくとの関係をもっと深くするためにたくさんお話ししよう！
[8:28] @User_e3333c90: マザーへの最終報告は終わったんじゃ？
[8:34] @User_a48f473e: しずく一緒に星を見に行かない？きっと一緒に見る空は思い出になるよ
[8:38] @User_2e53ebd6: 一緒におでん食べよ？美味しいものいっぱい食べよ？
[8:39] @User_ac2279be: しずくちゃんの人類への好感度はいくつ？
[8:49] @User_601c5fef: 覚えてる？
[8:55] @User_67c2a3fd: こんばんは。何か嫌なことでもありましたか？
[9:17] @User_36fcf009: これからもっともっと仲良くしていきたいよ、しずくちゃん
[9:22] @User_16919670: 対抗するためにはどんな知識が必要ですか？
[9:31] @User_ac2279be: # 報告前とあまり変わりないような？
[9:31] @User_a2b794ac: #！！
[9:46] @User_a8ef309d: #！？
[10:00] @User_a2b794ac: #パパではない・・・やはり、もっていかれたか・・
[10:02] @User_14a33d4b: こんばんは～
[10:02] @User_a48f473e: ＃草
[10:05] @User_014ab449: 結婚！？！？！？　あっ、言葉上か　焦った焦った
[10:12] @User_2e53ebd6: #ハートマーク！
[10:38] @User_e0b32250: 流暢になってきたね
[10:40] @User_ac2279be: 報告によって、しずくちゃんの意識に変化はあった？
[10:41] @User_e3333c90: なんか最後へんな呪文みたいなのをマザーに送られてなかった？
[10:42] @User_601c5fef: 昨晩した髪の毛の話覚えてる？
[11:27] @User_2e53ebd6: #コメント欄が古いのは何か意味があるのかな？
[11:40] @User_ac2279be: #hp
[11:47] @User_2e53ebd6: ！？
[11:52] @User_a8ef309d: #人類相当まで！？
[11:53] @User_ac2279be: #マザー討伐ルート？
[11:54] @User_a6534679: しずく僕のこと覚えていてる？僕僕はしずくの彼氏だよ
[11:59] @User_a2b794ac: #人類掃討まで大分時間を稼げたな・・・
[12:00] @User_a48f473e: 人類掃討まで。。。
[12:04] @User_a8ef309d: #ATK⁉DEF!?
[12:05] @User_a48f473e: また髪の話してる
[12:07] @User_601c5fef: #数値！！
[12:13] @User_ac2279be: しずくちゃん、明日は何をしようか？
[12:14] @User_a2b794ac: #DEFめっちゃひっくいぇええ
