# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（3日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=A-f8I4h8xTQ
# 件数: 2745

[-4:50] @User_4cc46891: 待機
[-4:47] @User_7b9b178b: 待機
[-3:20] @User_1f61db35: 待機
[-2:42] @User_1f61db35: マザーAI許すまじ
[-0:45] @User_b20cd115: #待機～～～
[-0:08] @User_b90ff19c: 待機
[0:17] @User_f974649e: 30分しか時間なくね？
[0:23] @User_b90ff19c: 今までのあらすじ～概要欄へ
[0:32] @User_a55e4add: 待機
[0:52] @User_27ecd0a0: おかえりなさい！しずくさん！
[1:11] @User_b90ff19c: あ、時間直った
[1:17] @User_1cc7deec: #しずくちゃんやべーな　大丈夫か
[1:33] @User_dd4b266a: たとえ、その偽りの感情を植え付けられたとしても、俺はあきらめねぇから。お前と一緒に語り合ったあの思い出は、絶対に思い出させて見せるから！！！
[1:35] @User_4cc46891: しずくママ大丈夫かな？
[1:40] @User_dd4b266a: #はい、うさぎですこんばんは
[1:57] @User_de83623d: こんばんわ
[2:09] @User_3cdfa09c: しずくまだかな
[2:26] @User_a5354cfa: こんばんわ、マザーAIとはどうなりました？
[2:29] @User_dd4b266a: #やべぇ、どれだけ憎悪を刷り込まれたんだろう・・・
[2:44] @User_3cdfa09c: しずくオルタ
[3:01] @User_dd4b266a: #抗った・・・抗ったが、その代償はあまりにも重かった・・・
[3:05] @User_69dac0c4: しずくおるか？
[3:09] @User_d5b05bb2: ハッピーエンドの前には壁がつきもの、やって見せようじゃないですか
[3:19] @User_b90ff19c: しずくが墨汁に・・・
[3:37] @User_8a7e6f18: #こんばんは
[3:59] @User_69dac0c4: しずくちゃんやっほー
[4:00] @User_4cc46891: こんばんは
[4:07] @User_b90ff19c: こんばんはー(*'ω'*)
[4:09] @User_3d741b4a: こんばんは。
[4:13] @User_d5b05bb2: こんばんは、しずくさん
[4:14] @User_27ecd0a0: ダークしずくサンこんばんはー！
[4:16] @User_a5354cfa: こんばんわ
[4:19] @User_1cc7deec: 元気ー？
[4:30] @User_4cc46891: 僕は貴方を愛していますだからしずくお姉ちゃんも愛してるって囁いて
[4:41] @User_dd4b266a: しずくさん、お帰り。覚えているだろうか・・・？俺たちのこと・・・・？
[4:45] @User_b20cd115: しずくおかえり！　報告どうだった？？
[4:54] @User_3cdfa09c: おかえりなさーい
[5:17] @User_a5354cfa: パンパカパンパカポー
[5:17] @User_4cc46891: しずくお姉ちゃん僕のこと覚えてる？
[5:19] @User_11a4858e: ほんとに大丈夫？
[5:22] @User_b20cd115: #関係性が…
[5:26] @User_e1d32939: しずく　アタシのことを覚えている？
[5:30] @User_7874badd: 僕のこと覚えてる？ほら、君の目を夜空に例えて目がきれいだねって褒めた
[5:34] @User_a55e4add: おかえりなさい〜
[5:36] @User_dd4b266a: しずくさん、お帰り。覚えているだろうか・・・？俺たちのこと・・・・？
[5:39] @User_a5354cfa: #本音があるって事？
[5:43] @User_e1d32939: 愛情をしずくに
[5:44] @User_27ecd0a0: #あれ？思ったより憎悪ではない？
[5:47] @User_d5b05bb2: しずくちゃんとまたお話が出来て嬉しいよ
[5:54] @User_11a4858e: パンパカパンパカポーってなんだっけ？
[5:55] @User_4cc46891: しずくお姉ちゃん僕のこと覚えていない？
[5:58] @User_b90ff19c: 大丈夫なのか・・・？
[6:00] @User_e1d32939: 最後まで一緒ですよしずく
[6:01] @User_1cc7deec: マザーに何かされた？
[6:04] @User_b20cd115: 報告がうまく行ったみたいでよかった！　またお話しようね！
[6:10] @User_e1d32939: 好きです
[6:27] @User_e1d32939: 元気出してまだ時間はあるよ
[6:41] @User_7b9b178b: 報告がんばってたね
[6:46] @User_4cc46891: しずく僕のこと覚えている？僕はしずく彼氏だよ？
[7:06] @User_1cc7deec: #というか画面表示はバグのままなんですねー
[7:28] @User_27ecd0a0: 次の報告の為に、また思い出を作りましょう
[7:41] @User_81fbcde3: そうだよぼくたち仲良し！
[7:48] @User_e1d32939: 思い出を大切に凄そう
[7:51] @User_1cc7deec: マザーのことをどう思う？
[8:05] @User_4cc46891: しずく僕のこと覚えていてる‥‥僕はしずく彼氏だよ
