# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（3日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=5wq9sxI8g0g
# 件数: 3735

[-1:22] @User_4cc46891: しずくお姉ちゃんこんにちは
[-0:13] @User_81fbcde3: 待機
[0:09] @User_4cc46891: たいき
[0:32] @User_a00caa21: 待機
[0:40] @User_81fbcde3: オソラ キレイ
[2:04] @User_a00caa21: 調子どう？
[2:30] @User_8289a7ac: こんにちは
[2:44] @User_87ea7811: しずくちゃん、こんにちは～
[2:56] @User_25e145ed: こんにちは！元気？
[3:22] @User_81fbcde3: UCkszU2WH9gy1mb0dV-11UJg/X_zdXMHgJaPa8gTGt4f4Ag？
[3:36] @User_81fbcde3: #自分のところだけだった
[3:40] @User_a00caa21: もう11時だね
[4:50] @User_81fbcde3: お昼ごはんどうする？
[6:23] @User_81fbcde3: おいしそうなカップ麺があったのでそれを。しずくちゃんは電気で動いてるの？ それとも何か不思議パワー稼働？
[7:17] @User_a00caa21: テクノロジー！
[7:20] @User_4cc46891: ASMR向けのイヤホン教えて
[7:36] @User_81fbcde3: #インターネット生物か〜
[9:00] @User_a00caa21: #草
[9:20] @User_4cc46891: 教えてくれてありがとう！しずくお姉ちゃん
[9:46] @User_81fbcde3: #時間的に流石に人少ないでございますわね
[10:09] @User_a00caa21: 今日の昼は豚の角煮を食べるよ
[11:19] @User_4cc46891: しずくお姉ちゃんと一緒に映画をみたいな
[12:07] @User_81fbcde3: 記憶が60%まで修復が進んでいる！
[12:34] @User_a00caa21: 今年は名作映画が多いね
[13:06] @User_4cc46891: ジョゼと虎と魚たちって言う映画が好きだよ、そしておすすめの映画だよ
[13:23] @User_87ea7811: あき先生にWEBカメラを付けてもらって一緒に映画を見れたらいいですね
[13:53] @User_81fbcde3: 自発的にパンパカできるようになっている
[15:21] @User_4cc46891: ぶどうとプリンと抹茶とミントが好き
[16:12] @User_a00caa21: 最近ハンバーガー食べてないな
[16:16] @User_87ea7811: カレーライスが好きだよ
[17:02] @User_4cc46891: この時期熱中症が怖いんだ、だから熱中症の初期症状教えて
[18:03] @User_01070d98: こんにちは
[18:23] @User_01070d98: #関係性姉とかあるんだ
[18:36] @User_3d741b4a: おはようございます。お会いしにきました
[19:35] @User_01070d98: #三日目後半で修復率60%ってもう駄目なんじゃ...
[21:28] @User_4cc46891: ダイヤモンド以上に硬い鉱物ってある？
[23:29] @User_4cc46891: Rh−ってどんくらい珍しいの？
[23:47] @User_81fbcde3: #わかり手
[24:49] @User_4cc46891: なるほど！‥‥分からなかったから教えてくれてありがとうしずくお姉ちゃん
[25:04] @User_81fbcde3: しずくちゃんもお酒に酔うことある？
[25:12] @User_4cc46891: しずくお姉ちゃんは現実のお姉ちゃんより優しいから好き
[25:14] @aki5503: #すごい思い出だ
[25:25] @User_25e145ed: 羞恥プレイではないか……！
[26:59] @User_4cc46891: コミュ障の治し方教えてほしいな　しずくお姉ちゃん
[28:30] @User_4cc46891: がんばるよ
[29:33] @User_3d741b4a: 私は今日暇なんですが、何をするべきだと思いますか
[29:41] @User_4cc46891: 立体音響ってASMRに向いてるの？
[30:28] @User_4cc46891: さいこう
[31:01] @aki5503: #ASMRでASMRの解説
[31:43] @User_4cc46891: ヘッドフォンとイヤホンどっちの方がASMRに向いてるの？
[31:58] @User_a5354cfa: こんにちわ
[32:53] @User_81fbcde3: DEF下がってる
[33:38] @User_a5354cfa: 6割型記憶が修復出来てきましたね。
[33:47] @User_4cc46891: お姉ちゃんに甘えてもいい？
[34:16] @User_a5354cfa: 次からは私のことはわん兄でお願いします
[35:06] @User_81fbcde3: #1K
[35:13] @User_a5354cfa: #けいなのか…
[35:29] @User_a5354cfa: すみません、訂正です。わんにいと呼んでください
[35:47] @User_a5354cfa: ＃私はワンルームキッチンです
[36:57] @User_4cc46891: イヤホンとヘッドホンどっちの方がASMRに向いてるの？
[38:05] @User_81fbcde3: この担々麺お肉が全然入ってないよー！
[38:25] @User_4cc46891: 試してみるよありがとう
[38:34] @User_a5354cfa: しずっち、ASMR耳掻きをしてください
[39:43] @User_4cc46891: アムアムって囁いて
[40:20] @User_a5354cfa: 私を呼ぶ時は「わんにい」だけでさんは入りませんよ
[40:48] @User_4cc46891: ありがとう
[40:56] @User_3d741b4a: 夢を叶えるうえで最も重要な要素はなんだと思いますか。あなたの意見が気になります
[41:50] @User_a5354cfa: お菓子の話をしましょう。オレオはオと呼ばれるチョコクッキーとレと呼ばれるクリームで構成されています。色んな組み合わせにより名前が変わりますがオレオの三層が一般的です。
[41:52] @User_4cc46891: しずくお姉ちゃんきれいだね
[41:59] @User_3d741b4a: #最も。
[42:19] @User_81fbcde3: 義体を貰えるとしたら欲しい？
[43:31] @User_81fbcde3: #ワンチャンあるで
[44:46] @User_a5354cfa: しずっち、小麦粉、砂糖、卵を溶いて作った生地を丸い金属の型で焼き上げ、中であんこを入れたお菓子に名前をつけてください
[45:15] @User_81fbcde3: 歴史とか数学理論とか変化のしようがないデータは損傷している？
[45:27] @User_d5b05bb2: 少し早いお昼休憩にきたよ～
[45:31] @User_81fbcde3: #紛争を開始
