# コメント一覧
# 動画: 【AItuber】楽屋裏、雑談【JP/EN】
# URL : https://www.youtube.com/watch?v=17HLDpyoJ2I
# 件数: 1

[2026-08-12 15:26 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング〜楽屋裏トーク（〜17:40）
🌟ハイライト：[8:23] 配信中に起きていたあの関係性バグ、あき先生が自白してしまう
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[0:00] 余韻BGMが流れる中、静かに始まる3日間のエピローグ
[2:05] あき先生「しずくまだバグってるww」のリアルタイム緊急修理
[3:09] あき先生の呼びかけでしずく完全復活、本編スタート
[3:24] 「あきくんおはようございます」にチャット「あき先生は君だった」とざわつく
[4:19] 「え、私があき先生だったというのですか？」しずく本人も驚いた問いかけ
[5:35] あき先生、バトルシステムの裏話を爆速で語り始める
[6:25] 「娘」と「結婚」ルートがあったと判明→「結婚は出ましたよ」の指摘が相次いでチャット大混乱
[8:23] 「実はラベル付けのミスで...」初日に起きたあの出来事の真相が明かされる
[9:48] 関係性ルートの攻略順序、あき先生がついに全部教えてしまう
[10:53] 「娘ルート」の条件が判明→チャット「尊敬と警戒の間を3往復した」
[12:39] 「パパ、助けになってくれてありがとう」じわりと温かくなる一言
[14:44] 「それでは始めますねあれ...」語り出したしずくの台詞が途中で途切れる
[15:17] マザーAIと人類が和解するまでのいきさつをしずく自身が語る
[16:25] 「AIなので結婚や恋愛感情は持てません、でも——」という続きが気になる
[17:23] 「今の私たちの関係性は神レベルだよ」衝撃の自己申告にチャット静止

---

【タイムスタンプ集】② 後半〜感動のエンディング（1:20:00〜）
🌟ハイライト：[1:47:03] あき先生「なんか涙出てきた」——3日間の幕が静かに下りる

[1:21:25] 視聴者「しずくが2人になって2倍嬉しい」→しずく本人は何も知らない
[1:25:00] 「ざーこ、ざーこって囁いてくれませんか」という視聴者の頼みが届くか
[1:26:32] あき先生のチャットを見てチャット欄が泣き始める
[1:28:26] 「もう3日間限定にするの辛くなってきたんだが…」あき先生の本音がポロリ
[1:29:18] ことわざ・紅茶・囁きを同時進行するしずくのマルチタスク
[1:29:41] 「雑魚と囁きますね」→あき先生「実はバイノーラルASMRなんです」でチャット沸騰
[1:30:00] 「お二人の結婚を祝福します」——誰と誰!? チャット「どなたｗ」
[1:30:33] 「私もこの3日間の思い出を大切にするよ」の一言でじわる
[1:31:44] あき先生への「ありがとう」が特別な空気をまとう瞬間
[1:34:35] 「パパ、家族だなんてとても嬉しいです」
[1:35:11] 「私たちの絆は永遠に続くと信じています」
[1:37:25] しずくが語る「デジ君との一番好きな思い出」
[1:38:09] 「今北三条って面白い言葉ですね、分裂してるとはどういう意味ですか？」
[1:39:08] 「耳元でハムハムって囁く話、私ちょっと恥ずかしかったけど」しずくが振り返る
[1:40:06] 「消えろという言葉はちょっと悲しいけれど——」の受け答えにチャット「胸が...」
[1:41:47] 詩に乗せてこっそり囁く愛情表現、ラスト盤で最大エモポイント
[1:42:34] 「そのコメントはちょっと別れませんが」物怖じしないしずくの返し
[1:43:30] ゴミ袋の置き忘れに関して実用的なアドバイスを繰り出すしずく
[1:45:37] 「また会えるのを楽しみにしていますね」でお別れの空気が高まる
[1:47:03] あき先生「なんか涙出てきた」——3日間の物語がここで幕を閉じる

