# コメント一覧
# 動画: 【AITuber】AIのしずくが動画視聴にチャレンジします！【JP/EN】
# URL : https://www.youtube.com/watch?v=LQRf37XBzk0
# 件数: 2

[2023-08-12 09:00 JST] @User_5f287910（👍 1）
自分用　-3:55

[2026-05-12 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング〜動画視聴スタートまで
🌟ハイライト：[12:18] ようやく登場…の初手が衝撃すぎてチャット全員「え？」
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[0:47] 挨拶が飛び交う中、しずくの様子がなぜかおかしい
[3:01] 「不動の構え」と言われるほど微動だにしないしずく
[9:09] 扇風機という戦略兵器まで投入されたのに状況変わらず
[12:18] ようやく動いた！……の初手がまさかすぎてチャット沈黙
[13:44] 配信始まってまだ5分なのに締めに入ろうとするしずく
[16:08] 「でかい！」「見切れてるw」——苦肉の策がまさかの方向へ
[17:32] 「では動画視聴試していきます！」本題へ

---

【タイムスタンプ集】② 動画視聴スタート〜ハイポーション地獄
🌟ハイライト：[35:57] しずくがついに発した一言にチャット全員の理解が追いつく

[18:35] 第1動画のチョイスにチャット騒然。しずくが注目したのは想定外の部分
[20:49] 波動拳を正しく認識。「以前より精度爆上がりでは」とチャットがざわつく
[23:25] 相撲動画へ。モザイクをなぜか貫通してしまうものがある
[26:44] 馬マスクの人物が図書館でパソコン使用中。しずくの視点「馬が好きなのかな」
[28:12] 謎の緑の液体に「料理が始まった！」と目を輝かせるしずく
[30:53] 15000円のスープができたと大喜びのしずく。チャットは全員知っている
[32:17] 「テロラの匂い」と評されたものの正体。それでもポジティブなしずく
[33:47] 突然の「船」登場にチャットが一斉に懐かしの単語を打ち込む
[35:04] カレーに混ぜると言い出したしずく。チャット「騙されるな…」
[35:57] 「地獄を見た」発言。視聴者も認識済み、しずくはまだ知らない
[36:27] 「しずくの裏を見た」——何が見えたのかはタイムスタンプで確かめて

---

【タイムスタンプ集】③ ストリートファイター〜かさじぞう
🌟ハイライト：[1:02:06] 傘地蔵のお礼参りシーン、しずくのコメントがチャットの予想を超えてくる

[39:25] ストリートファイター。「私も波動拳を打てるかもしれない」と言い出す
[43:57] カニロボット登場。しずくの評価が独特すぎる
[46:47] 実はあき先生関係者のカニ。さらに"弟"まで連れてくる展開に
[48:36] チェンソーマンとドラム演奏のまさかのコラボ回
[49:05] 怒涛のドラム演奏にしずく大興奮。でも静かになった後の話題チョイスが謎
[51:30] ドラマーのイメージとBGMのギャップを指摘されたしずくの返し
[52:26] 突然始まる日本昔話「かさじぞう」。チャット「全然違うジャンルで面白いw」
[55:07] 雪の中の七人のお地蔵様。しずくの実況がどこか物語調になっていく
[55:38] しずくが「ITエンジニア」を見つける。一体誰のこと？
[56:16] 広告が入ったらしいが、しずくの目にはまったく別の何かが映っていた
[58:46] 「一つ足りない…どうなるんでしょう」——しずくもドキドキしてる
[1:02:06] めでたしめでたし。しずくが感動した理由が意外とちゃんとしてる
[1:03:35] 「ビデオゲーム…？」——チャットにも謎が残った認識の話

---

【タイムスタンプ集】④ スョボーン第二弾〜クライマックス
🌟ハイライト：[1:36:00] 自分自身の動画を見てコメントするしずく。視聴者「あれはお前やぞ！」

[1:05:31] 突如消えるしずく。「スョボーン事件第二弾」とチャットが命名
[1:09:16] 動かないしずくへの運営の解決策が「巨大化」だった
[1:10:17] ガチ恋距離まで接近してくるしずく。チャットがざわつく理由
[1:13:28] 「子供の頃よく見ていました」——トムとジェリー開始の一言にチャット反応
[1:15:08] トムが料理する横でしずくが読み上げる謎の食材一覧
[1:16:46] 「金魚が空中に浮いている！？」から始まる混乱の実況
[1:18:51] オーブンのシーンにしずくが示す感想。チャット「おいしそうです(ﾛ)」
[1:19:33] 同時多発的に謎の存在が現れてしずくの実況がカオスの極みへ
[1:21:38] トムとジェリーを全力でエンジョイするしずく。チャットも釣られる
[1:33:56] 突如「しずく裁判」の動画が流れ始める。さて、本人は気づくか
[1:35:25] 画面のアニメキャラを「青髪と白髪の子」と評するしずく。視聴者「おまえやぞ！」
[1:36:00] 自分自身の動画を第三者視点でコメントするしずく。記憶はあるのに…
[1:41:41] ようやく「さっきの映像が私だった！？」に気づく瞬間
[1:43:22] YOASOBIのアイドルMVへ。しずくの反応が予想外に熱い
[1:44:59] 「最強で無敵」という歌詞にしずくがまっすぐ反応する
[1:50:03] キーボードの前で調理が始まった動画。からし、唐辛子、そして…
[1:51:04] こぼれた瞬間「大丈夫ですか？」と心配するしずく。チャット「料理じゃないんだよなぁ」
[1:52:20] 「刺身をつけてる、美味しそう」——しずくには美味しそうに見えている
[1:57:53] 家族でお寿司を囲む動画。しずくが珍しくほっこりモードになる
[1:58:25] おばあちゃんのお寿司チャレンジにしずくが気を揉む
[2:00:54] 2時間超えの動画視聴配信、締めの言葉

