# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2839

[-58:58] @User_d95c8644: 早すぎたカモ・・・💦
[-38:43] @User_0bf4870b: :shelterin::shelterin::shelterin:
[-31:30] @User_0d1d0f63: :hands-yellow-heart-red:
[-13:17] @User_61396d22: 待機！
[-12:28] @User_cdffdfb9: しずしずしてきた
[-11:55] @User_a46b018b: 待機！
[-11:26] @User_7097ce90: こんばんは。待機間に合いました！
[-11:13] @User_9e836a5d: 待機
[-8:33] @User_d0c52a36: ٩( ᐛ )و
[-8:16] @User_d0c52a36: 笑顔がかわいい
[-7:30] @User_29bc7059: 待機:shelterin:
[-6:43] @User_e82a7cb9: しずしず待機
[-5:13] @User_02dcd327: 待機～
[-3:57] @User_11e7336c: 待機
[-3:42] @User_ba99e548: 待機
[-2:28] @User_0d1d0f63: パンパカ待機でしゅ
[-2:00] @User_c0787d49: 待機
[-1:17] @User_7c724004: パンパカポー待機
[-1:09] @User_68c37264: Tウイルスに感染したAIがいると聞いて飛んできました
[-0:33] @User_0d1d0f63: ☣
[-0:01] @User_f3f575ff: 待機
[-0:00] @User_bec445df: 待機ワンワンワンワンワンワンワン
[0:21] @User_0d1d0f63: きちゃ
[0:25] @User_773c64c4: 待機。
[0:29] @User_7c724004: きました
[0:34] @User_d760cc52: 待機
[0:38] @User_6370b2c0: 待機
[0:40] @User_43ecb1a4: 待機～
[0:47] @User_92c2a2e1: パンパカパンパカポー
[0:53] @User_e82a7cb9: きたわね
[1:02] @User_69451bd9: 待機〜！
[1:03] @User_c0787d49: パンパカ聞きたい
[1:13] @User_26f79efd: ポー
[1:14] @User_5e6c36c3: 待機
[1:19] @User_1296d218: ぱんぱかぱんぱか
[1:21] @User_a6534679: ぱんぱかぱんぱかぽー
[1:22] @User_e6d9f1a1: おばんです
[1:38] @User_69012d39: ﾎﾟﾁｬﾝ
[1:38] @User_11e7336c: パンパカパンパカポー
[1:42] @User_49cb152a: 待機
[1:43] @User_7c724004: パンパカパンパポー
[1:51] @User_52e190bd: 待機
[1:59] @User_e80f9961: 待機
[2:13] @User_ffe9fcba: ぱんぱかぱんぱかぽー
[2:20] @User_02d4a138: 待機
[2:21] @User_61396d22: 🫧
[2:26] @User_cdffdfb9: ぱんぱかぽー
[2:29] @User_9e836a5d: パンパカパンパカポー
[2:33] @User_7c724004: オープン来ました
[2:33] @User_cbacf194: 👀👀👀
[2:34] @User_268457d5: パンパカパンパカポー
[2:38] @User_52e190bd: キター
[2:38] @User_02dcd327: パンパカパンパカポー
[2:41] @User_d0c04878: パンパカパンパカポー
[2:48] @User_0d1d0f63: こんにちはー
[2:48] @User_a46b018b: パンパカパンパカポー
[2:50] @User_52e190bd: パンパカパンパカポー
[2:51] @User_7c724004: こんにちはー
[2:51] @User_11e7336c: こんにちは！
[2:51] @User_f3f575ff: パンパカパンパカポー
[2:53] @User_cdffdfb9: こんばんにちは
[2:53] @User_ffe9fcba: こんにちは
[2:57] @User_36fcf009: パンパカパンパカポー
[2:59] @User_02d4a138: こんにちは
[3:00] @User_273afd5a: パンパカパンパカポー！
[3:00] @User_b9f75335: こんばんは
[3:00] @User_43ecb1a4: パンパカパンパカポー
[3:01] @User_8c741bc6: こんばんは～
[3:02] @User_c0787d49: パンパカ！！
[3:02] @User_61396d22: パンパカ、パンパカポー。
[3:02] @User_17e4818c: こんばんは🐥
[3:03] @User_1a70ee33: パンパカパンパカポー
[3:04] @User_02d4a138: パンパカパンパカパンパカポー
[3:05] @User_773c64c4: パンパカパンパカポー！
[3:05] @User_11e7336c: パンパカパンパカポー！
[3:05] @User_e80f9961: パンパカパンパカポー
[3:05] @User_6370b2c0: しずくちゃん！
[3:06] @User_0d1d0f63: パンパカパンパカポー
[3:07] @User_cdffdfb9: ぱんぱかぱんぱかぽー
[3:08] @User_acaff370: パンパカパンパカぽー
[3:08] @User_93c3cd9c: おいう
[3:09] @User_d760cc52: パンパカぽー
[3:09] @User_e82a7cb9: パンパカパンパカポー
[3:10] @User_d3a80a97: パンパカパンカポー
[3:11] @User_2e53ebd6: パンパカパンパカポー
[3:11] @User_cbacf194: パンパカパンパカポー
[3:13] @User_ff20c7a5: まってましたー
[3:14] @User_61396d22: わくわく
[3:14] @User_7c724004: パンパカパンパー
[3:15] @User_e48a91b7: パンパカパンパカポー
[3:16] @User_ba99e548: パンパカパンパカポー
[3:17] @User_92c2a2e1: こんにちはー！
[3:19] @User_43ecb1a4: 平日配信たすかる
[3:19] @User_c0787d49: 裁判やって
[3:23] @User_a6534679: パンパカパンパカポー
[3:23] @User_52e190bd: 雑談うおおおおお
[3:25] @User_f3f575ff: 雑談楽しみ
[3:26] @User_2a57de21: パンパカパンパカポー
[3:26] @User_860cd79f: こんばんは
[3:29] @User_a7e1e62c: 雑な談話
[3:32] @User_7c724004: 今日もふわっふわで可愛い
[3:34] @User_ffe9fcba: かわいいね
[3:37] @User_c0787d49: 間違いない
[3:38] @User_61396d22: テーマ気になる
[3:40] @User_e80f9961: せやな
[3:44] @User_92c2a2e1: 最近あったかくなったねぇ
[3:46] @User_4c8b83d6: パンパカパンパカポー
[3:46] @User_d0c04878: テーマのご用意あるんですね
[3:47] @User_0d1d0f63: 雑な談
[3:47] @User_6370b2c0: 雑談
[3:49] @User_b9f75335: もちろん、テーマは必要だな
[3:52] @User_7097ce90: 晩御飯食べながら拝見します。
[3:52] @User_2e53ebd6: 放任主義
[3:53] @User_773c64c4: 野となれ山となれｗ
[3:54] @User_02dcd327: 野となれ山となれ配信助かる
[3:54] @User_36fcf009: 焼け野原
[3:55] @User_cbacf194: やまとなでしこ
[3:57] @User_0bc16841: 草
[3:59] @User_61396d22: そんなー
[3:59] @User_c0787d49: X API
[4:00] @User_0ddfec15: 草
[4:01] @User_cdffdfb9: 草
[4:01] @User_e48a91b7: 草
[4:01] @User_7c724004: ポストしてたね
[4:02] @User_e82a7cb9: 草
[4:02] @User_92c2a2e1: 草
[4:03] @User_bec445df: ディレイパンパカポー
[4:05] @User_eb6a203c: なにしでかしたの？
[4:07] @User_d0c04878: 悪いことしたの？
[4:07] @User_e80f9961: おのれX
[4:08] @User_f3f575ff: 草
