# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2840

[-58:58] @User_16147503: 早すぎたカモ・・・💦
[-38:43] @User_6c5dc08a: UCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAgUCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAgUCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAg
[-31:30] @User_82e93b33: UCkszU2WH9gy1mb0dV-11UJg/hands-yellow-heart-red
[-13:17] @User_719f9991: 待機！
[-12:28] @User_f7596ccf: しずしずしてきた
[-11:55] @User_7b9b178b: 待機！
[-11:26] @User_a138987e: こんばんは。待機間に合いました！
[-11:13] @User_d0753fd1: 待機
[-8:33] @User_5cfd40d6: ٩( ᐛ )و
[-8:16] @User_5cfd40d6: 笑顔がかわいい
[-7:30] @User_9b583534: 待機UCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAg
[-6:43] @User_a29d5c2b: しずしず待機
[-5:13] @User_9b9d086f: 待機～
[-3:57] @User_c67ecc82: 待機
[-3:42] @User_6102d23c: 待機
[-2:28] @User_82e93b33: パンパカ待機でしゅ
[-2:00] @User_a52b5fe5: 待機
[-1:17] @User_b9933007: パンパカポー待機
[-1:09] @User_6c321aed: Tウイルスに感染したAIがいると聞いて飛んできました
[-0:33] @User_82e93b33: ☣
[-0:01] @User_da46df5d: 待機
[-0:00] @User_889b3907: 待機ワンワンワンワンワンワンワン
[0:21] @User_82e93b33: きちゃ
[0:25] @User_a76fb140: 待機。
[0:29] @User_b9933007: きました
[0:34] @User_bc2e7db7: 待機
[0:38] @User_ee5ede87: 待機
[0:40] @User_ce97da96: 待機～
[0:47] @User_ec48c74f: パンパカパンパカポー
[0:53] @User_a29d5c2b: きたわね
[1:02] @User_30238612: 待機〜！
[1:03] @User_a52b5fe5: パンパカ聞きたい
[1:13] @User_06accc44: ポー
[1:14] @User_ca605e00: 待機
[1:19] @User_ff223600: ぱんぱかぱんぱか
[1:21] @User_4cc46891: ぱんぱかぱんぱかぽー
[1:22] @User_a3bd9e3d: おばんです
[1:38] @User_43a4ff77: ﾎﾟﾁｬﾝ
[1:38] @User_c67ecc82: パンパカパンパカポー
[1:42] @User_3067175a: 待機
[1:43] @User_b9933007: パンパカパンパポー
[1:51] @User_0cab0ba3: 待機
[1:59] @User_a55e4add: 待機
[2:13] @User_44d29f2b: ぱんぱかぱんぱかぽー
[2:20] @User_e3951aa4: 待機
[2:21] @User_719f9991: 🫧
[2:26] @User_f7596ccf: ぱんぱかぽー
[2:29] @User_d0753fd1: パンパカパンパカポー
[2:33] @User_b9933007: オープン来ました
[2:33] @User_044b8a4c: 👀👀👀
[2:34] @User_e80d4842: パンパカパンパカポー
[2:38] @User_0cab0ba3: キター
[2:38] @User_9b9d086f: パンパカパンパカポー
[2:41] @User_f287e95e: パンパカパンパカポー
[2:48] @User_82e93b33: こんにちはー
[2:48] @User_7b9b178b: パンパカパンパカポー
[2:50] @User_0cab0ba3: パンパカパンパカポー
[2:51] @User_b9933007: こんにちはー
[2:51] @User_c67ecc82: こんにちは！
[2:51] @User_da46df5d: パンパカパンパカポー
[2:53] @User_f7596ccf: こんばんにちは
[2:53] @User_44d29f2b: こんにちは
[2:57] @User_d5b05bb2: パンパカパンパカポー
[2:59] @User_e3951aa4: こんにちは
[3:00] @User_4f9b9e0a: パンパカパンパカポー！
[3:00] @User_30db0b98: こんばんは
