# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2628

[-1:55:31] @User_0751797b: 今日もリアタイできないつらい
[-56:19] @User_60028655: 💧💧💧
[-51:06] @User_d0c52a36: しずくキだ٩( ᐛ )و
[-28:53] @User_7097ce90: こんばんは。待機します。
[-5:03] @User_7c724004: 待機
[-4:51] @User_5e6c36c3: 待機
[-4:10] @User_5e6c36c3: 人間が進化の過程で失った栄養素の詰まっているしずくキだ、、、
[-3:10] @User_92c2a2e1: 待機ですわ
[-3:01] @User_b8751f5b: 待機
[-2:20] @User_ba99e548: 待機
[-2:08] @User_f0e10979: 待機
[-1:49] @User_7097ce90: ハッシュポテト？コロッケ？
[-1:36] @User_ee8ff9ef: 待機
[-0:55] @User_973d1a50: 初見待機
[-0:47] @User_27504ca7: 待機〜
[-0:04] @User_43ecb1a4: 待機〜！
[-0:03] @User_f0e10979: 楽しみすぎる
[0:12] @User_a46b018b: 待機💧
[0:24] @User_92c2a2e1: きた！
[0:32] @User_7c724004: きた！
[0:34] @User_773c64c4: きちゃ！
[0:39] @User_f0e10979: きたきた
[0:44] @User_27504ca7: 初見だから楽しみ〜
[0:59] @User_9fd4c5ec: たいきー
[0:59] @User_d439e3a3: 今きちゃ
[1:13] @User_ab029d5f: 待機ー
[1:15] @User_7c724004: 💧
[1:35] @User_2ade3f30: 待機
[1:35] @User_d439e3a3: だいすけぇ...
[1:50] @User_92c2a2e1: 💧🎧🎵🍂🎤🎵
[1:55] @User_788c286d: 💧
[2:04] @User_794ad826: おいでー
[2:06] @User_439eeb5c: Now Loading
[2:17] @User_2e53ebd6: 💧待機
[2:26] @User_f0e10979: 時間だ
[2:33] @User_2de42592: 💧待機
[2:44] @User_92c2a2e1: 💧待機
[2:46] @User_22fefbca: 💧たいき
[2:47] @User_7c724004: お時間です
[2:48] @User_f0e10979: はじまた
[2:59] @User_11e7336c: こんばんは
[3:01] @User_a7e1e62c: こんばんは
[3:02] @User_e48a91b7: こんばんは
[3:03] @User_a46b018b: こんばんはー
[3:03] @User_788c286d: オツカレー
[3:04] @User_7c724004: こんにちはー
[3:08] @User_df529e8c: こんばんは
[3:08] @User_9f1810bc: こんばんは
[3:10] @User_1eca137c: おばんです～
[3:10] @User_bf747a92: こんにちはー
[3:11] @User_ba99e548: こんばんは
[3:11] @User_64874e00: こんにちはー
[3:11] @User_fe0878a1: こんばんはー
[3:13] @User_fcb4ddea: こんばんはー
[3:13] @User_e48a91b7: パンパカパンパカポー
[3:14] @User_60028655: こんにちは
[3:15] @User_b8751f5b: こんばんは
[3:15] @User_9fd4c5ec: こんばんはー
[3:15] @User_92c2a2e1: こんばんは
[3:18] @User_43ecb1a4: パンパカパンパカポー！
[3:19] @User_53cc73d6: こんばんは
[3:20] @User_7c724004: パンパカパンパポー
[3:21] @User_273afd5a: パンパカパンパカポー！
[3:21] @User_27504ca7: こんばんわー
[3:22] @User_f0e10979: 待ってました
[3:23] @User_794ad826: こんばんはー゜。
[3:23] @User_ba99e548: パンパカパンパカポー
[3:23] @User_92c2a2e1: パンパカパンパカポー！
[3:23] @User_1eca137c: パンパカパンパカポー
[3:24] @User_83c196a2: ぱんぱかぽー
[3:24] @User_0bf4870b: パンパカパンパカポー
[3:26] @User_2e53ebd6: ぽーぅ(*'ω'*)ｼ
[3:27] @User_bf747a92: パンパカパンパカポー
[3:28] @User_bec445df: パンパカパンパカポー！
[3:28] @User_f0e10979: パンパカパンパカポー
[3:28] @User_60028655: パンパカパンパカポー
[3:29] @User_36fcf009: パンパカパンパカポー
[3:29] @User_ee8ff9ef: パンパカパンパカポー
[3:30] @User_fcb4ddea: パンパカパンパカポー！
[3:30] @User_0f8f478b: さすが！時間通り　えらい！
[3:32] @User_5e6c36c3: パンパカパンパカポー
[3:32] @User_012e88e1: こんばんわー
[3:32] @User_22fefbca: ぱんぱかぽー
[3:33] @User_172220d2: パンパカパンパカポ～
[3:34] @User_7c724004: 楽しみに待ってました！
[3:34] @User_4e63d04b: パンパカパンパカポー
[3:34] @User_7097ce90: パンパカパンパカポー。
