# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2656

[-1:55:31] @User_e201a60f: 今日もリアタイできないつらい
[-56:19] @User_5a77a7b4: 💧💧💧
[-51:06] @User_5cfd40d6: しずくキだ٩( ᐛ )و
[-28:53] @User_a138987e: こんばんは。待機します。
[-5:03] @User_b9933007: 待機
[-4:51] @User_ca605e00: 待機
[-4:10] @User_ca605e00: 人間が進化の過程で失った栄養素の詰まっているしずくキだ、、、
[-3:10] @User_ec48c74f: 待機ですわ
[-3:01] @User_31fa983c: 待機
[-2:20] @User_6102d23c: 待機
[-2:08] @User_8d795024: 待機
[-1:49] @User_a138987e: ハッシュポテト？コロッケ？
[-1:36] @User_270496f5: 待機
[-0:55] @User_ce8c17e3: 初見待機
[-0:47] @User_162c4b4f: 待機〜
[-0:04] @User_ce97da96: 待機〜！
[-0:03] @User_8d795024: 楽しみすぎる
[0:12] @User_7b9b178b: 待機💧
[0:24] @User_ec48c74f: きた！
[0:32] @User_b9933007: きた！
[0:34] @User_a76fb140: きちゃ！
[0:39] @User_8d795024: きたきた
[0:44] @User_162c4b4f: 初見だから楽しみ〜
[0:59] @User_74cb13db: たいきー
[0:59] @User_750a1d00: 今きちゃ
[1:13] @User_b7c9b213: 待機ー
[1:15] @User_b9933007: 💧
[1:35] @User_08b2412a: 待機
[1:35] @User_750a1d00: だいすけぇ...
[1:50] @User_ec48c74f: 💧🎧🎵🍂🎤🎵
[1:55] @User_0485c2e0: 💧
[2:04] @User_58ffb64a: おいでー
[2:06] @User_bf6f46cc: Now Loading
[2:17] @User_b90ff19c: 💧待機
[2:26] @User_8d795024: 時間だ
[2:33] @User_f8f5429c: 💧待機
[2:44] @User_ec48c74f: 💧待機
[2:46] @User_431dcb0b: 💧たいき
[2:47] @User_b9933007: お時間です
[2:48] @User_8d795024: はじまた
[2:59] @User_c67ecc82: こんばんは
[3:01] @User_ade385cf: こんばんは
[3:02] @User_75f1c92d: こんばんは
[3:03] @User_7b9b178b: こんばんはー
[3:03] @User_0485c2e0: オツカレー
[3:04] @User_b9933007: こんにちはー
[3:08] @User_886e5c73: こんばんは
[3:08] @User_04ab4fce: こんばんは
[3:10] @User_5bfd7e5f: おばんです～
[3:10] @User_b89cfecd: こんにちはー
[3:11] @User_6102d23c: こんばんは
[3:11] @User_f7dac2e3: こんにちはー
[3:11] @User_8b7242c7: こんばんはー
[3:13] @User_476d8781: こんばんはー
[3:13] @User_75f1c92d: パンパカパンパカポー
[3:14] @User_5a77a7b4: こんにちは
[3:15] @User_31fa983c: こんばんは
[3:15] @User_74cb13db: こんばんはー
[3:15] @User_ec48c74f: こんばんは
[3:18] @User_ce97da96: パンパカパンパカポー！
[3:19] @User_8965a44b: こんばんは
[3:20] @User_b9933007: パンパカパンパポー
[3:21] @User_4f9b9e0a: パンパカパンパカポー！
[3:21] @User_162c4b4f: こんばんわー
[3:22] @User_8d795024: 待ってました
[3:23] @User_58ffb64a: こんばんはー゜。
[3:23] @User_6102d23c: パンパカパンパカポー
[3:23] @User_ec48c74f: パンパカパンパカポー！
[3:23] @User_5bfd7e5f: パンパカパンパカポー
[3:24] @User_6f7cfa52: ぱんぱかぽー
[3:24] @User_6c5dc08a: パンパカパンパカポー
[3:26] @User_b90ff19c: ぽーぅ(*'ω'*)ｼ
[3:27] @User_b89cfecd: パンパカパンパカポー
[3:28] @User_889b3907: パンパカパンパカポー！
[3:28] @User_8d795024: パンパカパンパカポー
[3:28] @User_5a77a7b4: パンパカパンパカポー
[3:29] @User_d5b05bb2: パンパカパンパカポー
[3:29] @User_270496f5: パンパカパンパカポー
[3:30] @User_476d8781: パンパカパンパカポー！
[3:30] @User_8f409f4f: さすが！時間通り　えらい！
[3:32] @User_ca605e00: パンパカパンパカポー
[3:32] @User_1d118d75: こんばんわー
[3:32] @User_431dcb0b: ぱんぱかぽー
[3:33] @User_9e5fc70c: パンパカパンパカポ～
[3:34] @User_b9933007: 楽しみに待ってました！
[3:34] @User_b7ed25a1: パンパカパンパカポー
[3:34] @User_a138987e: パンパカパンパカポー。
[3:35] @User_416f3b84: パンパカパンパカポー
[3:40] @User_a76fb140: パンパカパンパカポー！
[3:42] @User_ce8c17e3: こんばんはなのだ。パンパカパンパカポー
[3:42] @User_5df002b5: こんばんは
[3:44] @User_6c321aed: パンパカパンパカポー
[3:45] @User_b31ae6d3: やったー！間に合ったー！
[3:48] @User_9b583534: こんばわは～
[3:50] @User_8d795024: パポー
[3:53] @User_6c5dc08a: アキ先生の歌枠よかったなぁ（存在しない記憶
[3:59] @User_416f3b84: 間に合った！初リアタイ！
[4:00] @User_b90ff19c: 配慮できるAI(*'ω'*)
[4:01] @User_ce8c17e3: 歌枠同時市長していいですか？
[4:03] @User_75f1c92d: 草
[4:04] @User_bf6f46cc: こんばんは
[4:05] @User_1e342ee5: どんなポーズｗ
[4:06] @User_dbeb4806: こんばんはー
[4:08] @User_d9d6c620: あき先生の歌枠
[4:08] @User_c7141081: あき先生のシャウトすごかったな！
[4:08] @User_9e5fc70c: 草
