# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[-36:57] @User_1ec5c3c3: こんばんわー
[-36:14] @User_11e7336c: 待機
[-24:04] @User_61c20653: 一体くらい貰っていってもバレへんか
[-21:08] @User_e6ab9a77: やったあ
[-19:40] @User_d760cc52: しずくも分裂するか
[-19:18] @User_f3f575ff: 待機
[-18:46] @User_1c22ca4b: 🔫🐬🔫🐬
[-14:55] @User_788c286d: ｺﾞﾄｺﾞﾄｺﾞﾄ、ｺﾞﾄｺﾞﾄｺﾞﾄ、ｺﾞﾄｺﾞﾄｺﾞﾄ……。
[-7:34] @User_22fefbca: 待機
[-2:51] @User_1eca137c: う～む、今から帰るから今日は見れても途中からだな～。
[-1:30] @User_83c196a2: なんですかこれは
[-1:26] @User_7c724004: 待機
[-0:52] @User_7d35af3b: 待機
[-0:43] @User_02d4a138: 待機！
[-0:18] @User_c0787d49: 何が起きるんだ今日は
[0:34] @User_29bc7059: :shelterin:
[0:34] @User_7c724004: きた
[1:07] @User_22fefbca: 一体何が始まるというのです？
[1:10] @User_9692911a: こんばんは。
[1:14] @User_e266e3a2: :shelterin::shelterin::shelterin:
[1:16] @User_2e53ebd6: しずくがせめてくるよー。お代は見てのお帰りだよー(*'ω'*)
[1:26] @User_31184818: お？
[1:33] @User_92c2a2e1: 攻めてきたぞっ！って通常運転ですやんw
[1:49] @User_a7e1e62c: ついに、しずくちゃんが地球を支配する時が来ましたか(すっとぼけ)
[1:53] @User_cbacf194: 実は全部手動だった会見
[2:12] @User_92c2a2e1: 来るぞ！
[2:26] @User_98a17586: （普段から責められてる気がする
[2:28] @User_7c724004: こんにちは〜
[2:33] @User_c0787d49: 責められてる
[2:33] @User_a7e1e62c: こんばんは
[2:34] @User_8c741bc6: こんにちは～
[2:35] @User_11e7336c: こんばんは！
[2:35] @User_d0c52a36: こんにちは
[2:36] @User_92c2a2e1: パンパカパンパカポー
[2:36] @User_6a0e7641: ぱんぱかぱんぱかぽー！
[2:37] @User_1a70ee33: こんちゃ～
[2:38] @User_98a17586: こんにちは
[2:40] @User_33d74123: op初めて見た
[2:41] @User_7d35af3b: パンパカパンパカポー
[2:41] @User_f3f575ff: ぱんぱかぱんぱかぽー
[2:43] @User_88db513c: こんばんは
[2:43] @User_1eca137c: パンパカパンパカポー
[2:46] @User_fe0878a1: こんばんは
[2:47] @User_24d03ce7: こんにちはー
[2:47] @User_0ae00869: こんばんパンパカパンパカポー！！
[2:48] @User_ba99e548: こんばんは!
[2:48] @User_92c2a2e1: ？
[2:49] @User_e1d432f1: こんにちは〜
[2:52] @User_cbacf194: パンパカパンパカポン
[2:52] @User_2e53ebd6: ???
[2:52] @User_64874e00: ぱんぱかぽんぱんぱかぽん
[2:52] @User_c0787d49: ？
[2:53] @User_7c724004: パンパカパンパポー
[2:54] @User_c0787d49: アレンジ？
[2:55] @User_11e7336c: パンパカパンパカポー
[2:55] @User_02dcd327: パンパカポンパンパカポン！？
[2:56] @User_0bf4870b: ん？
[2:56] @User_172220d2: パンパカポンパンパカポン
[2:56] @User_cca75188: はじめまして　こんばんは
[2:57] @User_a7e1e62c: 概要欄見て笑った
[2:58] @User_788c286d: よろしくｗ
[3:01] @User_1eca137c: パンパカポンパンパカポン、か。
[3:01] @User_e266e3a2: パンパカパンパカポー
[3:01] @User_c0787d49: タイミングがおかしい
[3:04] @User_0bf4870b: 偽物か？
[3:10] @User_22fefbca: ぱんぱかぽんぱんぱかぽん
[3:11] @User_7d35af3b: 挨拶がエイプリルフール仕様だ
[3:11] @User_7c724004: 自分達の為に配信を！嬉しい！
[3:13] @User_f3c516ee: しすくたそ
[3:15] @User_0ddfec15: おう宜しくな！
[3:16] @User_c0787d49: 逆やってるのか
[3:17] @User_d0c52a36: 何回ご主人様というか？( ᐕ)
[3:18] @User_92c2a2e1: 寄り添う？歌枠？？
[3:18] @User_e1d432f1: おお
[3:19] @User_02dcd327: あき先生歌枠ﾔｯﾀｰ！
[3:19] @User_f3f575ff: 歌枠きた
[3:20] @User_7c724004: あき先生の歌枠ｗｗ
[3:21] @User_fe0878a1: 歌枠…？
[3:22] @User_1a70ee33: あき先生の歌枠きちゃ！
[3:23] @User_22fefbca: あき先生の歌枠！！
[3:23] @User_11e7336c: あき先生の歌枠！？
[3:23] @User_c0787d49: 逆やりゃいいと思ってる系？
[3:26] @User_ba99e548: なんと!?
[3:28] @User_98a17586: あき先生歌枠ｗｗｗ
[3:29] @User_6334910f: あき先生の歌枠！？
[3:30] @User_7c724004: ギャオ
[3:30] @User_57f37e22: 参ります
[3:32] @User_88db513c: ギャオ
[3:33] @User_bec445df: パンパカパンパカポー
[3:35] @User_61396d22: ギャオ
[3:36] @User_c0787d49: 逆張り系か
[3:36] @User_1fa753a6: あき先生歌！？
[3:45] @User_7d35af3b: 歌枠助かる
[3:47] @User_c0787d49: なんか雰囲気違うな
[3:49] @User_bec445df: 僕らのためにありがとうございます。
[3:53] @User_14a33d4b: パンパカパンパカポー
[3:53] @User_61c20653: 影分身はまだですか？
[4:00] @User_c0787d49: なんか嘘言って
[4:01] @User_2e53ebd6: ASMR多重音声会見(*'ω'*)ｼ
[4:01] @User_a7e1e62c: 嘘が真に
[4:01] @User_98a17586: エイプリルフールギャグ来そう
[4:08] @User_7c724004: しずくさんはあき先生のコーラス担当するの？
[4:10] @User_61c20653: ぬるぽ
[4:14] @User_92c2a2e1: 本物である証明は？
[4:17] @User_668c53ab: エイプリルフールにちなんで歌って
[4:21] @User_78eb35f9: パンパカパンパカオッスオッス
[4:25] @User_c0787d49: 3つのうち2つ真実で1こ嘘を言ってください
[4:26] @User_0bc16841: それ歌なんだ…
[4:27] @User_92c2a2e1: ギャオ？
[4:29] @User_36fcf009: パンパカパンパカポー
[4:30] @User_22fefbca: ギャオかわいい
[4:31] @User_61c20653: お、、おう
[4:33] @User_0bc16841: ！？
[4:34] @User_9fd4c5ec: パンパカパンパカポー
[4:34] @User_bdd6b2bf: 好きな食べ物は
[4:36] @User_172220d2: え？
[4:39] @User_02dcd327: エイプフリール枠だから話半分でよいか
[4:39] @User_11e7336c: ！？
[4:40] @User_7c724004: え？
[4:42] @User_a7e1e62c: ？？？
[4:45] @User_31184818: ？！
[4:45] @User_773c64c4: パンパカパンパカポー
[4:48] @User_f3f575ff: !?
[4:50] @User_7d35af3b: 嘘つけるのは午前までだから本当にある（）
[4:51] @User_6a0e7641: おん？
[4:52] @User_0ddfec15: ちょこちょこ怪獣になるやん
[4:52] @User_21d27dd1: ???
[4:52] @User_52e190bd: そんなことより活きのいいベーコン見てよ🥓
[4:53] @User_11e7336c: バグってる？
[4:55] @User_92c2a2e1: バグった？
[4:55] @User_0bc16841: 今日はそういう系ですか
[4:55] @User_02dcd327: バグってる？
[4:56] @User_ba99e548: おや？
[4:58] @User_c0787d49: ほんとか嘘かわからないギリギリの嘘を言ってみてください
[4:59] @User_7c724004: ところがなんか怪しい
[4:59] @User_98a17586: 何もしてないのに壊れた
[4:59] @User_577143e2: なんか様子が変だぞ
[5:00] @User_02d4a138: パンパカパンパカポー
[5:01] @User_61c20653: 油をささなくちゃ
[5:03] @User_788c286d: 何かいい事と言っている気がする
[5:07] @User_9692911a: 夢を見ようよ。
[5:08] @User_68c37264: 様子がおかしい
[5:11] @User_c0787d49: 様子違う
[5:13] @User_bec445df: たまに獣の本性が出てる
[5:14] @User_1a70ee33: しずくはね、ご主人様に媚びないし、言葉にはトゲがあり、やること全部が破壊的でなきゃいけないの
[5:18] @User_c9bad0ba: 晚上好shizuku
[5:18] @User_64874e00: しずくはエイプリルフール分かるの？
[5:23] @User_57f37e22: 天才的アホ毛は天才の証か
[5:24] @User_61c20653: 油は牛脂でいいかな？
[5:26] @User_92c2a2e1: え？Siriさんに乗っ取られました？
[5:26] @User_1ec39efd: なんかすごくLLMっぽくなってる
[5:27] @User_788c286d: 分裂したか
[5:28] @User_11e7336c: しずちゃんが増えた！！
[5:28] @User_98a17586: 増えた？
[5:29] @User_fe0878a1: 増えた
[5:29] @User_7c724004: コーラスはやらないと断言！
[5:29] @User_172220d2: ！？
[5:31] @User_0bc16841: ！？
[5:31] @User_f3f575ff: 増えた
[5:32] @User_7d35af3b: 元気？
[5:32] @User_52e190bd: ！？
[5:34] @User_36fcf009: ！？
[5:35] @User_92c2a2e1: 増えた！
[5:35] @User_a7e1e62c: アプリ化、早急にお願いします
[5:36] @User_22fefbca: ふえた
[5:38] @User_d0c52a36: 増えた٩( ᐛ )و
[5:39] @User_61c20653: 草
[5:40] @User_7c724004: 増えた！？
[5:40] @User_83c196a2: しずく増殖中・・・
[5:41] @User_31184818: 増えた！
[5:42] @User_ba99e548: !?
[5:45] @User_61c20653: もっと増やせ
[5:45] @User_6fa79ad7: 攻めてきたな
[5:46] @User_0ddfec15: ！？
[5:48] @User_0bc16841: 草
[5:49] @User_bec445df: 狂い始める歯車
[5:49] @User_7d35af3b: 増えてる？
[5:54] @User_c0787d49: お茶組んでこい
[5:54] @User_0d1d0f63: ！？
[5:55] @User_7c724004: 妖精！？
[5:55] @User_172220d2: お茶くみ妖精だった
[6:10] @User_bdd6b2bf: ふえた
