# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[-36:57] @User_38ea4903: こんばんわー
[-36:14] @User_c67ecc82: 待機
[-24:04] @User_85b8a1d7: 一体くらい貰っていってもバレへんか
[-21:08] @User_1a289a98: やったあ
[-19:40] @User_bc2e7db7: しずくも分裂するか
[-19:18] @User_da46df5d: 待機
[-18:46] @User_1cecec90: 🔫🐬🔫🐬
[-14:55] @User_0485c2e0: ｺﾞﾄｺﾞﾄｺﾞﾄ、ｺﾞﾄｺﾞﾄｺﾞﾄ、ｺﾞﾄｺﾞﾄｺﾞﾄ……。
[-7:34] @User_431dcb0b: 待機
[-2:51] @User_5bfd7e5f: う～む、今から帰るから今日は見れても途中からだな～。
[-1:30] @User_6f7cfa52: なんですかこれは
[-1:26] @User_b9933007: 待機
[-0:52] @User_02294f67: 待機
[-0:43] @User_e3951aa4: 待機！
[-0:18] @User_a52b5fe5: 何が起きるんだ今日は
[0:34] @User_9b583534: UCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAg
[0:34] @User_b9933007: きた
[1:07] @User_431dcb0b: 一体何が始まるというのです？
[1:10] @User_967f7ae0: こんばんは。
[1:14] @User_2644c8b2: UCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAgUCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAgUCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAg
[1:16] @User_b90ff19c: しずくがせめてくるよー。お代は見てのお帰りだよー(*'ω'*)
[1:26] @User_3f46b6f7: お？
[1:33] @User_ec48c74f: 攻めてきたぞっ！って通常運転ですやんw
[1:49] @User_ade385cf: ついに、しずくちゃんが地球を支配する時が来ましたか(すっとぼけ)
[1:53] @User_044b8a4c: 実は全部手動だった会見
[2:12] @User_ec48c74f: 来るぞ！
[2:26] @User_13f95c8a: （普段から責められてる気がする
[2:28] @User_b9933007: こんにちは〜
[2:33] @User_a52b5fe5: 責められてる
[2:33] @User_ade385cf: こんばんは
[2:34] @User_f5d0dd69: こんにちは～
[2:35] @User_c67ecc82: こんばんは！
[2:35] @User_5cfd40d6: こんにちは
[2:36] @User_ec48c74f: パンパカパンパカポー
[2:36] @User_3f1bb03d: ぱんぱかぱんぱかぽー！
[2:37] @User_a744e95c: こんちゃ～
[2:38] @User_13f95c8a: こんにちは
[2:40] @User_0cd4edb4: op初めて見た
[2:41] @User_02294f67: パンパカパンパカポー
[2:41] @User_da46df5d: ぱんぱかぱんぱかぽー
[2:43] @User_7119fa31: こんばんは
[2:43] @User_5bfd7e5f: パンパカパンパカポー
[2:46] @User_8b7242c7: こんばんは
[2:47] @User_3bacf761: こんにちはー
[2:47] @User_9e1cfe6d: こんばんパンパカパンパカポー！！
[2:48] @User_6102d23c: こんばんは!
[2:48] @User_ec48c74f: ？
[2:49] @User_8bd53c65: こんにちは〜
[2:52] @User_044b8a4c: パンパカパンパカポン
[2:52] @User_b90ff19c: ???
[2:52] @User_f7dac2e3: ぱんぱかぽんぱんぱかぽん
[2:52] @User_a52b5fe5: ？
[2:53] @User_b9933007: パンパカパンパポー
[2:54] @User_a52b5fe5: アレンジ？
[2:55] @User_c67ecc82: パンパカパンパカポー
[2:55] @User_9b9d086f: パンパカポンパンパカポン！？
[2:56] @User_6c5dc08a: ん？
[2:56] @User_9e5fc70c: パンパカポンパンパカポン
[2:56] @User_db3afa5f: はじめまして　こんばんは
[2:57] @User_ade385cf: 概要欄見て笑った
[2:58] @User_0485c2e0: よろしくｗ
[3:01] @User_5bfd7e5f: パンパカポンパンパカポン、か。
[3:01] @User_2644c8b2: パンパカパンパカポー
[3:01] @User_a52b5fe5: タイミングがおかしい
[3:04] @User_6c5dc08a: 偽物か？
[3:10] @User_431dcb0b: ぱんぱかぽんぱんぱかぽん
[3:11] @User_02294f67: 挨拶がエイプリルフール仕様だ
[3:11] @User_b9933007: 自分達の為に配信を！嬉しい！
[3:13] @User_20171f22: しすくたそ
[3:15] @User_5e6aa1f9: おう宜しくな！
[3:16] @User_a52b5fe5: 逆やってるのか
[3:17] @User_5cfd40d6: 何回ご主人様というか？( ᐕ)
[3:18] @User_ec48c74f: 寄り添う？歌枠？？
[3:18] @User_8bd53c65: おお
[3:19] @User_9b9d086f: あき先生歌枠ﾔｯﾀｰ！
[3:19] @User_da46df5d: 歌枠きた
[3:20] @User_b9933007: あき先生の歌枠ｗｗ
[3:21] @User_8b7242c7: 歌枠…？
[3:22] @User_a744e95c: あき先生の歌枠きちゃ！
[3:23] @User_431dcb0b: あき先生の歌枠！！
[3:23] @User_c67ecc82: あき先生の歌枠！？
[3:23] @User_a52b5fe5: 逆やりゃいいと思ってる系？
[3:26] @User_6102d23c: なんと!?
[3:28] @User_13f95c8a: あき先生歌枠ｗｗｗ
[3:29] @User_fc67f905: あき先生の歌枠！？
[3:30] @User_b9933007: ギャオ
[3:30] @User_f48a20a8: 参ります
[3:32] @User_7119fa31: ギャオ
[3:33] @User_889b3907: パンパカパンパカポー
[3:35] @User_719f9991: ギャオ
[3:36] @User_a52b5fe5: 逆張り系か
[3:36] @User_2576880a: あき先生歌！？
[3:45] @User_02294f67: 歌枠助かる
[3:47] @User_a52b5fe5: なんか雰囲気違うな
[3:49] @User_889b3907: 僕らのためにありがとうございます。
[3:53] @User_87ea7811: パンパカパンパカポー
[3:53] @User_85b8a1d7: 影分身はまだですか？
[4:00] @User_a52b5fe5: なんか嘘言って
[4:01] @User_b90ff19c: ASMR多重音声会見(*'ω'*)ｼ
[4:01] @User_ade385cf: 嘘が真に
[4:01] @User_13f95c8a: エイプリルフールギャグ来そう
[4:08] @User_b9933007: しずくさんはあき先生のコーラス担当するの？
[4:10] @User_85b8a1d7: ぬるぽ
[4:14] @User_ec48c74f: 本物である証明は？
[4:17] @User_daa59663: エイプリルフールにちなんで歌って
[4:21] @User_2ecda813: パンパカパンパカオッスオッス
[4:25] @User_a52b5fe5: 3つのうち2つ真実で1こ嘘を言ってください
[4:26] @User_1e342ee5: それ歌なんだ…
[4:27] @User_ec48c74f: ギャオ？
[4:29] @User_d5b05bb2: パンパカパンパカポー
[4:30] @User_431dcb0b: ギャオかわいい
[4:31] @User_85b8a1d7: お、、おう
[4:33] @User_1e342ee5: ！？
[4:34] @User_74cb13db: パンパカパンパカポー
[4:34] @User_3c308928: 好きな食べ物は
[4:36] @User_9e5fc70c: え？
[4:39] @User_9b9d086f: エイプフリール枠だから話半分でよいか
[4:39] @User_c67ecc82: ！？
[4:40] @User_b9933007: え？
[4:42] @User_ade385cf: ？？？
[4:45] @User_3f46b6f7: ？！
[4:45] @User_a76fb140: パンパカパンパカポー
[4:48] @User_da46df5d: !?
