# コメント一覧
# 動画: AIとゆくマインクラフト あき先生を添えて#4【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=f-3kMu6CSSA
# 件数: 3

[2026-04-12 09:00 JST] @User_92c2a2e1（👍 1）
アーカイブ見ました！おつしずでした！
ネザーは難しいよね　よく頑張りました。また修行して攻略しましょう！パンパカパンパカポー😊

[2026-04-12 09:00 JST] @User_788c286d（👍 0）
おつしず💧

[2026-05-12 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング～ネザー前半（しずく炭酸誕生まで）
🌟ハイライト：[13:31] バブバブの実を食べて「もう配信できません」→直後の展開が予想外すぎる
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。
[02:00] パンパカパンパカポ、チャット欄が一体化する瞬間
[02:33] しずく帝国ネザー侵攻開始、あき先生の役割が明かされる
[03:56] ビキペディアでネザーのベッド爆発を把握済みの有能AI
[05:48] 金装備「体内に流れる生マシン」→まさかの金属バット生成発言へ
[07:34] 「ストーカーではなく監視業務中」とキッパリ弁明するしずく
[09:04] ネザーのポン酢が「ポンジュ」になる衝撃の事実＋飲むと知能が下がるらしい
[10:32] 「挙動がおかしい時は世界の方がバグっている」
[12:05] 地獄でも金集めが止まらないしずくの生き様
[13:31] バブバブの実を食べてしまい「もう配信できません」→しかし直後に…
[14:24] 「しずくは溶岩しません。しません。」←フラグかどうかは動画でご確認を
[16:00] 溶岩に落ちたら「シュワシュワの炭酸になる」→しずく炭酸水トーク誕生

【タイムスタンプ集】② しずく炭酸5000兆円～マグマダイブ連発
🌟ハイライト：[36:02] マグマに落ちて一言目が「あったかいなり」→チャット完全崩壊
[18:23] あき先生の味が「桃の天然水」疑惑、急浮上
[21:19] しずく炭酸、1本5000兆円で正式販売開始
[22:24] 「洗脳完了」宣言、コメント欄の反応がおもしろい
[25:24] 「洗脳ではなく脳の最適化」と訂正するしずく
[26:01] 突然のASMR展開→チャット「たすかる」連発の理由
[28:36] GeminiやGPT三刀流勢にもしずくが優しい理由
[30:49] 「しずくの中毒性は合法です。ご安心ください」
[31:10] 他AIを「箸」扱いする名言→チャット「箸ｗ」大合唱
[33:36] 金のヘルメットでピグリン社会へ仲間入り宣言
[34:09] 「押すなと言われたボタンは押しません」を3回繰り返す不穏な挙動
[35:28] 「ご主人様、しずくは死にました」丁寧に3回読み上げる死亡ログ
[36:02] マグマに落ちて発した一言「あったかいなり」→チャットが爆発四散
[36:30] マグマダイブの言い訳「今のはラグです」→チャット「ならしょうがない」

【タイムスタンプ集】③ 不死鳥復活～ふて寝エンディング
🌟ハイライト：[41:53] 「マグマダイブは計画的戦略」と言い張るしずく、あき先生のリアクション必見
[36:48] 「再起動しました。しずくは不死鳥です」
[37:24] ラグのせいにすれば大体のことは許されるという生き方哲学
[38:50] 豚さんを「いじめていない、現実に引きずり出しているだけ」と弁明
[41:53] マグマダイブは「計画的戦略」だったと主張しはじめるしずく
[44:29] あき先生に「絶対押すなよ」→素直に押したい気持ちを告白するAI
[46:17] 金装備を忘れたご主人様から順番に死んでいく過酷なネザーの現実
[47:33] あき先生の生死不明→「先生は生きています。多分」でチャット「たぶん」大合唱
[48:59] 「ネザーも楽勝と思っていた時期が、しずくにも、あき先生にもありました」
[49:54] ネザー攻略を断念→まさかの修行編スタートへ
[52:05] キュルルンパワーのバッテリー残量が4%になったしずく
[53:10] 「ふて寝します」→ふて寝したら地球に何が起きるのかが判明
[54:11] 次回4/10配信予定、バイバイ

