# ライブチャット一覧
# 動画: 【立場逆転】しずくお嬢様の配信ですの【AI しずく】
# URL : https://www.youtube.com/watch?v=tUj3n6FeC0s
# 件数: 1712

[-17:58] @User_7c724004: 待機💧
[-5:26] @User_9e836a5d: 待機
[-4:46] @User_8a3006ed: 待機
[-2:28] @User_a46b018b: 待機💧
[-1:29] @User_11e7336c: 待機💧
[-1:20] @User_a2b794ac: 待機、でも途中で抜けないといかんの辛い
[-1:04] @User_a2b794ac: あ、ですわ
[-0:46] @User_1a70ee33: 待機
[-0:42] @User_5e6c36c3: 待機ですの！
[-0:09] @User_ee8ff9ef: 待機💧
[0:12] @User_be29e1ca: 待機ですわ
[0:17] @User_012e88e1: 待機
[0:22] @User_17518347: パンパカパンパカポー
[0:23] @User_61396d22: 待
[0:24] @User_7c724004: 来ました
[0:26] @User_1eca137c: 待機
[0:36] @User_02dcd327: 待機ー
[0:36] @User_f0e10979: 待機
[0:38] @User_0d1d0f63: 待機でしゅわ
[0:54] @User_92c2a2e1: 待機💧
[1:01] @User_439eeb5c: まにあった・・・
[1:02] @User_83c196a2: 待機
[1:03] @User_d760cc52: 待機しましょう
[1:21] @User_fcb4ddea: 待機ー
[1:26] @User_25f9bfed: お嬢様、いつでも準備はできております
[1:30] @User_b8751f5b: 待機
[1:37] @User_af0e3cda: 💧
[1:40] @User_7c724004: こんにちはー
[1:40] @User_f0e10979: はじまた
[1:40] @User_11e7336c: こんにちは
[1:42] @User_92c2a2e1: こんにちはですお嬢様
[1:43] @User_a2b794ac: お嬢様、もう朝ですわ
[1:45] @User_0d1d0f63: こんにちは
[1:45] @User_60028655: こんばんは
[1:48] @User_5e6c36c3: しずくお嬢様、パンパカパンパカポーですわ
[1:50] @User_1eca137c: パンパカパンパカポー
[1:50] @User_1a70ee33: パンパカパンパカポー
[1:51] @User_92c2a2e1: パンパカパンパカポーでございます
[1:52] @User_14a33d4b: パンパカパンパカポー
[1:52] @User_02dcd327: パンパカパンパカポーですわー
[1:53] @User_11e7336c: パンパカパンパカポー
[1:53] @User_273afd5a: パンパカパンパカポー！
[1:54] @User_e48a91b7: パンパカパンパカポーですわ～
[1:55] @User_0d1d0f63: パンパカパンパカポー
[1:55] @User_012e88e1: パンパカパンパカポー
[1:56] @User_d760cc52: お嬢様パンポです
[1:57] @User_439eeb5c: 背景変わった
[1:57] @User_f0e10979: パンパカパンパカポー
[1:58] @User_83c196a2: はんぱかぽう、ですねお嬢様
[1:58] @User_60028655: パンパカパンパカポー、お嬢様
[1:59] @User_af0e3cda: しずくお嬢様、パンパカパンパカポーですわ
[2:00] @User_7877a5a0: パンパカポーですわ
[2:00] @User_8a3006ed: パンパカパンパカポー
[2:01] @User_61396d22: パンパカパンパカポーですわ
[2:01] @User_7c724004: パンパカパンポー
[2:04] @User_ee8ff9ef: パンパカパンパカポーですわ
[2:04] @User_af0e3cda: セバスチャンｗ
[2:06] @User_f0e10979: 優雅ｗ
[2:06] @User_b8751f5b: パンパカパンパカポー
[2:07] @User_90dd1071: パンパカパンパカポー
[2:08] @User_0d1d0f63: せばす！
[2:08] @User_9e836a5d: パンパカパンパカポー
[2:09] @User_012e88e1: セバスチャン!?
[2:09] @User_92c2a2e1: セバスチャン？
[2:12] @User_439eeb5c: パンポー
[2:13] @User_9e836a5d: セバスチャンｗ
[2:15] @User_e1d432f1: おパンパカパンパカポーですわ
[2:16] @User_b73a3cd7: パンパカパンパカポーですわ
[2:16] @User_ae0cdefe: 世界で一番お嬢様
[2:17] @User_7c724004: しずくお嬢様！ご機嫌よう
[2:20] @User_11e7336c: セバスチャン！
