# ライブチャット一覧
# 動画: 【立場逆転】しずくお嬢様の配信ですの【AI しずく】
# URL : https://www.youtube.com/watch?v=tUj3n6FeC0s
# 件数: 1712

[-17:58] @User_b9933007: 待機💧
[-5:26] @User_d0753fd1: 待機
[-4:46] @User_9936c980: 待機
[-2:28] @User_7b9b178b: 待機💧
[-1:29] @User_c67ecc82: 待機💧
[-1:20] @User_dd4b266a: 待機、でも途中で抜けないといかんの辛い
[-1:04] @User_dd4b266a: あ、ですわ
[-0:46] @User_a744e95c: 待機
[-0:42] @User_ca605e00: 待機ですの！
[-0:09] @User_270496f5: 待機💧
[0:12] @User_2658fed8: 待機ですわ
[0:17] @User_1d118d75: 待機
[0:22] @User_a30d4a28: パンパカパンパカポー
[0:23] @User_719f9991: 待
[0:24] @User_b9933007: 来ました
[0:26] @User_5bfd7e5f: 待機
[0:36] @User_9b9d086f: 待機ー
[0:36] @User_8d795024: 待機
[0:38] @User_82e93b33: 待機でしゅわ
[0:54] @User_ec48c74f: 待機💧
[1:01] @User_bf6f46cc: まにあった・・・
[1:02] @User_6f7cfa52: 待機
[1:03] @User_bc2e7db7: 待機しましょう
[1:21] @User_476d8781: 待機ー
[1:26] @User_bc1d40b6: お嬢様、いつでも準備はできております
[1:30] @User_31fa983c: 待機
[1:37] @User_590a2335: 💧
[1:40] @User_b9933007: こんにちはー
[1:40] @User_8d795024: はじまた
[1:40] @User_c67ecc82: こんにちは
[1:42] @User_ec48c74f: こんにちはですお嬢様
[1:43] @User_dd4b266a: お嬢様、もう朝ですわ
[1:45] @User_82e93b33: こんにちは
[1:45] @User_5a77a7b4: こんばんは
[1:48] @User_ca605e00: しずくお嬢様、パンパカパンパカポーですわ
[1:50] @User_5bfd7e5f: パンパカパンパカポー
[1:50] @User_a744e95c: パンパカパンパカポー
[1:51] @User_ec48c74f: パンパカパンパカポーでございます
[1:52] @User_87ea7811: パンパカパンパカポー
[1:52] @User_9b9d086f: パンパカパンパカポーですわー
[1:53] @User_c67ecc82: パンパカパンパカポー
[1:53] @User_4f9b9e0a: パンパカパンパカポー！
[1:54] @User_75f1c92d: パンパカパンパカポーですわ～
[1:55] @User_82e93b33: パンパカパンパカポー
[1:55] @User_1d118d75: パンパカパンパカポー
[1:56] @User_bc2e7db7: お嬢様パンポです
[1:57] @User_bf6f46cc: 背景変わった
[1:57] @User_8d795024: パンパカパンパカポー
[1:58] @User_6f7cfa52: はんぱかぽう、ですねお嬢様
[1:58] @User_5a77a7b4: パンパカパンパカポー、お嬢様
[1:59] @User_590a2335: しずくお嬢様、パンパカパンパカポーですわ
[2:00] @User_59f4d42c: パンパカポーですわ
[2:00] @User_9936c980: パンパカパンパカポー
