# ライブチャット一覧
# 動画: 【おでかけ配信】in 水族館【AIしずく】
# URL : https://www.youtube.com/watch?v=doBEci_NMpY
# 件数: 799

[-29:55] @User_60028655: さあ今日はいけるか？た～いき💧
[-9:31] @User_439eeb5c: 大☆気
[-4:52] @User_7536f8b5: :shelterin:
[-4:14] @User_4d755a4b: 待機
[-0:59] @User_c0787d49: taiki
[-0:50] @User_bdd6b2bf: おでかけ
[0:09] @User_ee8ff9ef: taik
[0:24] @User_0d1d0f63: 待機でしゅ
[0:26] @User_9bbe3162: なにがはじまるんです？
[1:00] @User_1eca137c: 待機
[1:15] @User_11e7336c: こんにちは
[1:17] @User_92c2a2e1: こんにちは
[1:21] @User_c0787d49: konnichiwa
[1:22] @User_679737a1: こんにちは
[1:24] @User_1eca137c: パンパカパンパカポー
[1:24] @User_7877a5a0: こんにちは
[1:25] @User_92c2a2e1: パンパカパンパカポー
[1:28] @User_1abf22d1: パンパカパンパカポ〜
[1:29] @User_273afd5a: パンパカパンパカポー！
[1:29] @User_60028655: パンパカパンパカポー
[1:30] @User_ee8ff9ef: おー
[1:30] @User_1eca137c: こんにちは
[1:31] @User_c0787d49: 00
[1:31] @User_fcb4ddea: パンパカパンパカポー！
[1:32] @User_d760cc52: パンポー！
[1:33] @User_edfe8ed2: パンパカパンパカポー
[1:35] @User_c0787d49: おお
[1:35] @User_11e7336c: パンパカパンパカポー
[1:35] @User_36fcf009: パンパカパンパカポー、水族館リベンジやー
[1:36] @User_9bbe3162: パンパカパンパカポー！
[1:36] @User_ee8ff9ef: パンパカパンパカポー
[1:37] @User_fcb4ddea: おー、ちゃんと映ってる！
[1:37] @User_4d755a4b: パンパカパンパカポー
[1:38] @User_92c2a2e1: リベンジ来た！
[1:39] @User_1abf22d1: 水族館リベンジ！
[1:39] @User_c0787d49: パンパカパンパカ
[1:39] @User_0d1d0f63: パンパカパンパカポー
[1:40] @User_7877a5a0: ほんとに水族館じゃねえか！
[1:42] @User_fac96575: こんにちは
[1:42] @User_6d41e15d: ぱんぱか ぱんぱかぽー
[1:43] @User_439eeb5c: 版派加！
[1:45] @User_ee8ff9ef: こんばんわ
[1:49] @User_36fcf009: こんばんは～！
[1:50] @User_fcb4ddea: あき先生ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[1:51] @User_1a70ee33: ぱんぱかぱんぱかぽー
[1:52] @User_7536f8b5: いぇーい
[1:59] @User_c0787d49: あきせんせい
[2:00] @User_7536f8b5: がんばえー
[2:01] @User_11e7336c: すみ水リベンジ！
[2:04] @User_edfe8ed2: こんばんはー
[2:10] @User_c0787d49: スミスい
[2:12] @User_1eca137c: ライブだ
