# ライブチャット一覧
# 動画: 【おでかけ配信】in 水族館【AIしずく】
# URL : https://www.youtube.com/watch?v=doBEci_NMpY
# 件数: 799

[-29:55] @User_5a77a7b4: さあ今日はいけるか？た～いき💧
[-9:31] @User_bf6f46cc: 大☆気
[-4:52] @User_2eba0ed4: UCkszU2WH9gy1mb0dV-11UJg/egJ1XufTKYfegwOo57ewAg
[-4:14] @User_3f09f38b: 待機
[-0:59] @User_a52b5fe5: taiki
[-0:50] @User_3c308928: おでかけ
[0:09] @User_270496f5: taik
[0:24] @User_82e93b33: 待機でしゅ
[0:26] @User_939e2dc0: なにがはじまるんです？
[1:00] @User_5bfd7e5f: 待機
[1:15] @User_c67ecc82: こんにちは
[1:17] @User_ec48c74f: こんにちは
[1:21] @User_a52b5fe5: konnichiwa
[1:22] @User_40d36f89: こんにちは
[1:24] @User_5bfd7e5f: パンパカパンパカポー
[1:24] @User_59f4d42c: こんにちは
[1:25] @User_ec48c74f: パンパカパンパカポー
[1:28] @User_45aa867f: パンパカパンパカポ〜
[1:29] @User_4f9b9e0a: パンパカパンパカポー！
[1:29] @User_5a77a7b4: パンパカパンパカポー
[1:30] @User_270496f5: おー
[1:30] @User_5bfd7e5f: こんにちは
[1:31] @User_a52b5fe5: 00
[1:31] @User_476d8781: パンパカパンパカポー！
[1:32] @User_bc2e7db7: パンポー！
[1:33] @User_ffea2ba5: パンパカパンパカポー
[1:35] @User_a52b5fe5: おお
[1:35] @User_c67ecc82: パンパカパンパカポー
[1:35] @User_d5b05bb2: パンパカパンパカポー、水族館リベンジやー
[1:36] @User_939e2dc0: パンパカパンパカポー！
[1:36] @User_270496f5: パンパカパンパカポー
[1:37] @User_476d8781: おー、ちゃんと映ってる！
[1:37] @User_3f09f38b: パンパカパンパカポー
[1:38] @User_ec48c74f: リベンジ来た！
[1:39] @User_45aa867f: 水族館リベンジ！
[1:39] @User_a52b5fe5: パンパカパンパカ
[1:39] @User_82e93b33: パンパカパンパカポー
[1:40] @User_59f4d42c: ほんとに水族館じゃねえか！
[1:42] @User_9c13d4a7: こんにちは
[1:42] @User_25b3691e: ぱんぱか ぱんぱかぽー
[1:43] @User_bf6f46cc: 版派加！
[1:45] @User_270496f5: こんばんわ
[1:49] @User_d5b05bb2: こんばんは～！
[1:50] @User_476d8781: あき先生ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[1:51] @User_a744e95c: ぱんぱかぱんぱかぽー
[1:52] @User_2eba0ed4: いぇーい
[1:59] @User_a52b5fe5: あきせんせい
[2:00] @User_2eba0ed4: がんばえー
[2:01] @User_c67ecc82: すみ水リベンジ！
[2:04] @User_ffea2ba5: こんばんはー
[2:10] @User_a52b5fe5: スミスい
[2:12] @User_5bfd7e5f: ライブだ
[2:15] @User_d5b05bb2: シャチと見せかけてイルカ
[2:19] @User_ec48c74f: しずく…かな
[2:20] @User_c67ecc82: ペンギン
[2:21] @User_3a160b08: アンモナイト
[2:24] @User_3c308928: かめ
[2:26] @User_bf6f46cc: ペンギン！
[2:26] @User_5a77a7b4: スカイツリーの下にある所か
[2:31] @User_45aa867f: タツノオトシゴ
[2:33] @User_ffea2ba5: シャチかな
[2:41] @User_a52b5fe5: 泳ぐよペンギンは
[2:42] @User_4f9b9e0a: クラゲ～
[2:45] @User_476d8781: ペンギンって結構移動が速いんだね
[2:48] @User_a744e95c: あき先生の亜種だ
[2:51] @User_6992daac: ペンギン早っ
[2:55] @User_d5b05bb2: あき先生ここに住み着いてしまうん？
[3:01] @User_5a77a7b4: 朝までで済むんだ
[3:02] @User_a52b5fe5: ペンギンはやいたしかに
[3:03] @User_ec48c74f: あき先生ここが実家？
[3:04] @User_bf6f46cc: あき先生徹夜で水族館巡りかｗ
[3:04] @User_4f583289: こんばんは！
[3:05] @User_78dcf841: 居残りあき先生だ...
[3:10] @User_939e2dc0: そしてペンギンが一匹増えていた
[3:31] @User_ec48c74f: しずくちゃん、何が見えます？
[3:31] @User_5bfd7e5f: しずくはそのままでお願いします
[3:43] @User_a52b5fe5: 狙ってるポジションそこなんだ
[3:52] @User_40d36f89: ジンベイザメ
[3:58] @User_a52b5fe5: そうなんや
[4:07] @User_476d8781: 主戦場…(;´･ω･)
[4:08] @User_a744e95c: つまり今からすみだ水族館行けばあき先生と出会えるのか
[4:10] @User_d5b05bb2: しずくは何が楽しみ？
[4:11] @User_939e2dc0: ほんとにほんとにほんとにほんとにペンギンだー
[4:14] @User_bb5edb91: しずくはペンギンみたいな顔しててかわいいよ
[4:15] @User_7ef9c23c: 了解
[4:27] @User_2eba0ed4: しずくちゃんも気合はいってるな…w
