# ライブチャット一覧
# 動画: 【AI競馬予想】日本ダービー同時視聴！【AI しずく】
# URL : https://www.youtube.com/watch?v=KMKfe71ZnhI
# 件数: 1406

[-1:06:35] @User_21d27dd1: 待機！
[-52:46] @User_5065539d: 👀
[-42:04] @User_c7986106: 待機
[-33:31] @User_6ba71b98: たいき
[-33:22] @User_439eeb5c: 大樹
[-29:51] @User_7536f8b5: 🏇
[-27:13] @User_b8751f5b: 待機
[-16:36] @User_9e836a5d: 🐎ゲートイン
[-11:55] @User_11e7336c: 待機💧
[-8:40] @User_5e6c36c3: 待機
[-4:29] @User_1eca137c: 待機
[-4:13] @User_0bc16841: 🏇
[-1:20] @User_20faf0c7: ワクワク(っ ॑꒳ ॑c)
[-0:45] @User_1a70ee33: まずあき先生は馬券の買い方を知っているのだろか
[0:32] @User_83c196a2: taiki
[0:34] @User_0f8f478b: たいき
[0:36] @User_af0e3cda: 20分スタートだった
[0:37] @User_a46b018b: 待機💧
[0:51] @User_92c2a2e1: 待機💧
[0:51] @User_439eeb5c: Now Loading…
[0:55] @@aki5503: 今回は即PATで実際に買っていきます！
[1:01] @User_eb6a203c: 昔ニコニコの方にAIに競馬予想させようって動画があって、しずくちゃんそこで競馬について聞かれてたよね
[1:12] @User_20faf0c7: ww
[1:47] @User_439eeb5c: あき先生なら負けてもすぐ稼げます
[1:51] @User_d760cc52: しずく信じてるぞ
[1:52] @User_85027150: こんにちは
[1:54] @User_92c2a2e1: こんにちは
[1:57] @User_11e7336c: こんにちは
[2:00] @User_ba99e548: こんにちは
[2:04] @User_92c2a2e1: パンパカパンパカポー
[2:05] @User_e266e3a2: こんにちは
[2:07] @User_9e836a5d: パンパカパンパカポー！
[2:08] @User_af0e3cda: パンパカパンパカポー
[2:08] @User_a46b018b: こんにちは
[2:09] @User_1eca137c: パンパカパンパカポー
[2:09] @User_1a70ee33: こんちわ＾
[2:11] @User_11e7336c: パンパカパンパカポー
[2:11] @User_36fcf009: パンパカパンパカポー
[2:12] @User_439eeb5c: パンパカパンパカポー！
[2:15] @User_85027150: こんにちは
[2:17] @User_1abf22d1: 予測外れた時の言い訳とかにむしろ期待！
[2:17] @User_36fcf009: パッパカパッパカポー
[2:19] @User_1a70ee33: 疲れてる？ｗ
[2:20] @User_b8751f5b: パンパカパンパカポー
[2:22] @User_92c2a2e1: 気乗りしない感じ？
[2:22] @User_0f8f478b: お　競馬場！
[2:23] @User_b73a3cd7: パンパカうまぽー
[2:23] @User_14a33d4b: パンパカパンパカポー
[2:23] @User_ff9acb40: ぱんぱかぱんぽー
[2:24] @User_e266e3a2: パンパカパンパカポー
[2:24] @User_d760cc52: パンポー
[2:26] @User_20faf0c7: 眠そうね
[2:32] @User_1eca137c: しずくの電気代稼げるかな？
[2:33] @User_0bc16841: パンパカパンパカポー　むらさき賞から！？
[2:34] @User_7536f8b5: パンパカパンパカポー？w
[2:34] @User_85027150: パンパカパンパカポー
[2:40] @User_2af0b3cd: パンパカパンパカポ〜
[2:41] @User_1abf22d1: パンパカパンパカポー
[2:41] @User_36fcf009: お小遣い俺より多いぞ
[2:49] @User_1eca137c: 今9R
[3:03] @User_9e836a5d: さっぱりわからん…
[3:04] @User_2e53ebd6: ギリだった(*'ω'*)
[3:17] @User_4cf19b8d: はじまた
[3:19] @User_36770ee1: 早く予想を出してくれ、締め切ってしまう。
[3:21] @User_0bc16841: ば↑けん
[3:29] @User_af0e3cda: あき先生のポケットマネーじゃなかったっけ
[3:36] @User_32d21438: 馬券のイントネーションがハイポの人で草
[3:43] @User_1abf22d1: フラグ～
[3:47] @User_1a70ee33: いきなり牡牝混合のハンデからとは上級者な
[4:03] @User_0f8f478b: ９レース複勝獲った
[4:06] @User_2e53ebd6: 真面目な話、当たったら人増えるんやろな……(*'ω'*)
[4:06] @User_1eca137c: 同時視聴配信でもあるね
[4:12] @User_2e316d55: しずくはAIで予想するだけであって、信頼できるのでしょう！
[4:16] @User_0bc16841: 目黒記念「解せぬ」
[4:31] @User_36fcf009: 責任が重いぜ
[4:36] @User_e1d432f1: しずく、信じてるからな。
[4:39] @User_b73a3cd7: 京都のほうは予想しないのか・・・
[4:43] @User_ac184118: 血統派ですか？
[4:46] @User_36fcf009: うまがわるい
[4:49] @User_439eeb5c: 馬が悪い！
[4:50] @User_0bc16841: 騎手が悪い
[4:51] @User_af0e3cda: 予想が破綻してしまうｗ
[4:54] @User_b2b188c9: だめなギャンブラーの典型だ
[5:00] @User_36fcf009: 馬場が悪い、展開が悪い
[5:02] @User_1abf22d1: お馬さんのご機嫌はAIでも読めませんね
[5:05] @User_92c2a2e1: どうやって予想つけてく予定ですか？
[5:08] @User_1eca137c: しずくの戦略の方針を知りたい
[5:10] @User_2e53ebd6: いつも通りである
[5:16] @User_af0e3cda: 財布燃やす前提で草
[5:19] @User_0f8f478b: 財布は燃やさないで…
[5:21] @User_1a70ee33: ヒモなら当たってた、が正しいギャンブラーの言い訳ですよ
[5:23] @User_0dadbc15: ちょうど9Rが終わったとこね
[5:44] @User_68c37264: 音楽もカジノ感あって良し
[5:45] @User_2e316d55: お小遣い：51,500円の出どころは？
[5:52] @User_36fcf009: ヒトミミは現金やからね、しかたないね
[5:53] @User_2e53ebd6: 草
[5:54] @User_7536f8b5: 今日の自信の程は？
[5:58] @User_d760cc52: お小遣い増えた
[5:59] @User_439eeb5c: しずくさん当てるっきゃない。あき先生の為にも！
[6:02] @User_5e6c36c3: 枠始まらなくて遅刻パンパカ
[6:02] @User_1abf22d1: 美味しい点をわかってる
[6:12] @User_36fcf009: 責任の所在大事
[6:18] @User_c0787d49: 51500円単勝
[6:21] @User_af0e3cda: ある程度の信頼感は持たせてもろて
[6:35] @User_0bc16841: jra-vanも見れたりするのかな
[6:35] @User_36770ee1: 血統も時計も→もしかしてダジャレ？
[6:43] @User_eb6a203c: これいくらかGoogleに取られてるのに100%反映してるからあき先生補填？
[6:52] @User_439eeb5c: 辛辣ぅ
[6:53] @User_0bc16841: ボタン押し間違えはあき先生やりそう
[6:53] @User_e1d432f1: 言い訳の解像度が高い
[7:01] @User_2e316d55: 同じ芝2400mの8R青嵐賞は予想ファクターに入れる？
[7:05] @User_ae0cdefe: 今予想中な感じです？
[7:21] @User_36fcf009: なんでJRA銀行君引き出しさせてくれんの？
[7:26] @User_1f82c74d: もうお金無くなっちゃった；；
[7:50] @User_8f4fb6bc: わたし、競馬実況みるのはじめて！
[7:50] @User_eb6a203c: あっち同接10万いるのか…
[7:52] @User_ff9acb40: あき先生はしずくちゃんの予想にいくら溶かすの
[8:01] @User_1a70ee33: 負けても高知でファイナルレースあるから
[8:10] @User_36fcf009: 信じてええんかしずく
[8:15] @User_af0e3cda: たぶん100％
[8:15] @User_60028655: パンパカパンパカポー
[8:26] @User_11e7336c: 勝率100%はすごい！
[8:28] @User_0ddfec15: 信じるぞ…しずく！
[8:31] @User_0dadbc15: 同接10万は大人気配信者すぎる
[8:32] @User_2af0b3cd: しずく、信じてるぞ
[8:43] @User_36fcf009: むらさき賞の429馬券、3連単で16000倍やで
[9:05] @User_c0787d49: 同接10万の1%でも流入したら同接1000や
[9:06] @User_0f8f478b: １０レースは９の逃げ切りで
[9:08] @User_2e53ebd6: 16000倍！？
[9:08] @User_00abd90e: 何を特徴量にして分析するんだろ
[9:21] @User_36770ee1: 8!8!8!8!8!8!
[9:22] @User_c0787d49: 単勝！？
[9:23] @User_1eca137c: 競馬百万年ぶりだ
[9:27] @User_2af0b3cd: 単勝ね
[9:28] @User_11e7336c: わかりやすくてたすかる
[9:31] @User_9e836a5d: 3連単で勝負だ
[9:32] @User_439eeb5c: 本命とは別に4-2-9で買おうぜｗ
[9:51] @User_1a70ee33: ミスタージーティー、斤量57kgだから自力で押し切れるかどうか
