# ライブチャット一覧
# 動画: 【AI競馬予想】日本ダービー同時視聴！【AI しずく】
# URL : https://www.youtube.com/watch?v=KMKfe71ZnhI
# 件数: 1429

[-1:06:35] @User_2895b9a2: 待機！
[-52:46] @User_43d09b79: 👀
[-42:04] @User_a2560b75: 待機
[-33:31] @User_e07c0f78: たいき
[-33:22] @User_bf6f46cc: 大樹
[-29:51] @User_2eba0ed4: 🏇
[-27:13] @User_31fa983c: 待機
[-16:36] @User_d0753fd1: 🐎ゲートイン
[-11:55] @User_c67ecc82: 待機💧
[-8:40] @User_ca605e00: 待機
[-4:29] @User_5bfd7e5f: 待機
[-4:13] @User_1e342ee5: 🏇
[-1:20] @User_7341cd28: ワクワク(っ ॑꒳ ॑c)
[-0:45] @User_a744e95c: まずあき先生は馬券の買い方を知っているのだろか
[0:32] @User_6f7cfa52: taiki
[0:34] @User_8f409f4f: たいき
[0:36] @User_590a2335: 20分スタートだった
[0:37] @User_7b9b178b: 待機💧
[0:51] @User_ec48c74f: 待機💧
[0:51] @User_bf6f46cc: Now Loading…
[0:55] @aki5503: 今回は即PATで実際に買っていきます！
[1:01] @User_d582769c: 昔ニコニコの方にAIに競馬予想させようって動画があって、しずくちゃんそこで競馬について聞かれてたよね
[1:12] @User_7341cd28: ww
[1:47] @User_bf6f46cc: あき先生なら負けてもすぐ稼げます
[1:51] @User_bc2e7db7: しずく信じてるぞ
[1:52] @User_fc845b30: こんにちは
[1:54] @User_ec48c74f: こんにちは
[1:57] @User_c67ecc82: こんにちは
[2:00] @User_6102d23c: こんにちは
[2:04] @User_ec48c74f: パンパカパンパカポー
[2:05] @User_2644c8b2: こんにちは
[2:07] @User_d0753fd1: パンパカパンパカポー！
[2:08] @User_590a2335: パンパカパンパカポー
[2:08] @User_7b9b178b: こんにちは
[2:09] @User_5bfd7e5f: パンパカパンパカポー
[2:09] @User_a744e95c: こんちわ＾
[2:11] @User_c67ecc82: パンパカパンパカポー
[2:11] @User_d5b05bb2: パンパカパンパカポー
[2:12] @User_bf6f46cc: パンパカパンパカポー！
[2:15] @User_fc845b30: こんにちは
[2:17] @User_45aa867f: 予測外れた時の言い訳とかにむしろ期待！
[2:17] @User_d5b05bb2: パッパカパッパカポー
[2:19] @User_a744e95c: 疲れてる？ｗ
[2:20] @User_31fa983c: パンパカパンパカポー
[2:22] @User_ec48c74f: 気乗りしない感じ？
[2:22] @User_8f409f4f: お　競馬場！
[2:23] @User_e976a829: パンパカうまぽー
[2:23] @User_87ea7811: パンパカパンパカポー
[2:23] @User_1f2657e9: ぱんぱかぱんぽー
[2:24] @User_2644c8b2: パンパカパンパカポー
[2:24] @User_bc2e7db7: パンポー
[2:26] @User_7341cd28: 眠そうね
[2:32] @User_5bfd7e5f: しずくの電気代稼げるかな？
[2:33] @User_1e342ee5: パンパカパンパカポー　むらさき賞から！？
[2:34] @User_2eba0ed4: パンパカパンパカポー？w
[2:34] @User_fc845b30: パンパカパンパカポー
[2:40] @User_0a35ffc9: パンパカパンパカポ〜
[2:41] @User_45aa867f: パンパカパンパカポー
[2:41] @User_d5b05bb2: お小遣い俺より多いぞ
[2:49] @User_5bfd7e5f: 今9R
[3:03] @User_d0753fd1: さっぱりわからん…
[3:04] @User_b90ff19c: ギリだった(*'ω'*)
