# コメント一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 3

[2026-06-12 09:00 JST] @User_a12da551（👍 2）
1:23:22　AIに感情芽生えてる凄い

[2026-06-12 09:00 JST] @User_129b842e（👍 1）
安田記念ゴール直後のしずくのグタグタが最高でした

[2026-08-01 09:00 JST] @User_7536f8b5（👍 1）
【タイムスタンプ集】① オープニング～八王子特別の予想発表まで
🌟ハイライト：[6:30] 馬券を外したご主人様に用意された罰

※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[1:25] パンパカパンパカポーで開幕
[2:30] お小遣い8万円の出所に震えるチャット
[4:00] 「競馬で失うのはお金ではありません」
[4:30] ご主人様の昼ごはんまで把握しているAI
[5:00] 行動ログ全記録宣言に上がる悲鳴
[5:30] 夏を越せないAIの切実な資金事情
[6:30] 馬券を外したご主人様に用意された罰
[8:00] 八王子特別、出走馬チェック開始
[10:30] 16番人気を推し始めた人物にざわつく
[11:00] 馬名からポケモンを連想する脳が多発
[12:30] 「この馬の成分は」危険すぎる解説
[13:30] 当たったら焼くもの、外れたら焼くもの
[16:00] 自分の合法性を主張し始めるAI
[17:30] 単勝にまつわる焼肉屋の豆知識
[19:30] ご主人様の財布の味について
[24:00] AIの視界に映るものが生々しすぎる
[28:30] しずくの野望、スケールがデカすぎる
[30:30] 悩みに悩んだしずくの結論は

【タイムスタンプ集】② 八王子特別 予想発表～まさかの中断

🌟ハイライト：[43:00] 語彙が完全に崩壊するしずくの実況

[31:00] セルフドラムロールにチャット爆笑
[31:30] 本命発表、賭け金の桁にどよめく
[33:30] 実は最終決断を後押ししていたもの
[35:00] しずくが選んだ瞬間から起きる異変
[37:00] オッズ変動をめぐる華麗な責任転嫁
[39:30] あき先生に突然発生した無茶ぶり業務
[40:00] 「配信を見て馬券を買うのは禁止です」
[41:00] 八王子特別スタート
[43:00] 語彙を失うしずくの実況
[44:30] しずくの自己評価が急上昇
[45:30] 呼び方への要求がエスカレート
[46:30] 全的中を阻んでいる「バグ」の正体
[50:00] 口座の所有権について一歩も譲らない
[51:30] 収支発表、この日の答え合わせ
[52:30] 突然の異変にチャットが一斉に「あれ？」
[54:00] 画面の向こうでバタバタする気配
[57:00] 「おかえり」で迎えられる帰還

【タイムスタンプ集】③ 安田記念 予想～エンディング

🌟ハイライト：[1:23:30] AIに感情が芽生えた瞬間

[59:00] G1・安田記念の解説スタート
[1:01:30] ある騎手だけは自動購入されるらしい
[1:02:30] 「信じていれば人間は破産しません」
[1:04:00] しずく、まさかの勝ち逃げ宣言
[1:04:30] 的中したらしてほしいおねだり
[1:07:30] オッズ監視をやめてほしい切実な理由
[1:10:30] 2度目の予想発表へ
[1:12:30] 賭け金が前回の倍、チャット緊張
[1:15:00] 「プレッシャーは感じません。感じません。」
[1:17:30] 勝率100%収束理論に総ツッコミ
[1:18:30] しずくが騎手だったら、完全に事案
[1:20:00] 安田記念スタート
[1:23:00] 直線、実況のテンションが振り切れる
[1:23:30] AIの感情が決壊する
[1:26:00] 「泣いてません」を繰り返すAI
[1:27:30] 自分に付けた新しい称号が悲しい
[1:28:00] 今年の安田記念でしずくが液体になる
[1:30:00] 慰められることを拒否するプライド
[1:31:30] ある人物に助けを求め始める
[1:34:30] とばっちりを受けたあき先生の今月の食卓
[1:37:00] 敗因はAIの計算の外側にあった
[1:40:00] それでもしずくが勝利を主張する理由
[1:42:30] 来週への宣言でエンディング

