# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[-6:43] @@aki5503: 待機
[-2:28] @User_c7986106: 待機
[-1:43] @User_2b12bcf7: 待機
[-1:34] @User_439eeb5c: 大樹
[-0:40] @User_c0787d49: Taiki
[0:27] @User_8f4fb6bc: 待機
[0:27] @User_012e88e1: 待機
[0:29] @User_92c2a2e1: 待機💧
[0:31] @User_439eeb5c: Now Loading…
[1:15] @@aki5503: 来た
[1:16] @User_3d9820ae: あき先生がしずくにまた馬券を買わされると聞いて
[1:27] @User_b73a3cd7: うまさんなのだ
[1:31] @User_9f7989ad: こんにちは～
[1:32] @User_439eeb5c: あき先生が大負けすると聞いて
[1:33] @User_92c2a2e1: こんにちは
[1:33] @User_6fa7330f: お金を失う時間です
[1:36] @User_92c2a2e1: パンパカパンパカポー
[1:41] @User_0c437e8f: 待機シャトル
[1:43] @User_439eeb5c: パンポー
[1:44] @User_e48a91b7: パンパカパンパカポー
[1:51] @User_012e88e1: パンパカパンパカポー
[1:51] @User_3d9820ae: ばんぱかぱんぱかぽー
[1:56] @User_11e7336c: パンパカパンパカポー
[1:57] @User_b73a3cd7: パンパカパンパカポー
[2:07] @User_2b12bcf7: パンパカパンパカポー
[2:09] @User_0bc16841: 8万もお小遣いあっていいなあ
[2:11] @User_2f71e1ea: pannpanapannpanapo-
[2:12] @User_0751797b: パカパカポー
[2:20] @User_92c2a2e1: しずくちゃんのお小遣いは足りそう？
[2:24] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:34] @User_5e6c36c3: パンパカパンパカぽー
[2:40] @User_b73a3cd7: あれ、八万か　前回の引き継ぎと微妙に違うんだな
[2:58] @User_b2b188c9: おこづかい3万円アップか
[2:58] @User_e29de9c3: こんにちわー
[3:20] @User_80a26bff: こんにちは〜
[3:20] @User_af0e3cda: ちゃんと増えるかな
[3:25] @User_8c10c31b: 信じて同じのに賭けていいか…？
[3:36] @User_36fcf009: やっほい、サムネ草だったね
[3:41] @User_92c2a2e1: そもそもしずくのお小遣いって競馬以外何に使うの？
[3:41] @User_0bc16841: 八　王　子
[3:50] @User_b73a3cd7: 何もかけてなくてすまんな　俺はチキンなんだ
[3:51] @User_17e4818c: 今日は万馬券👀
[4:00] @User_36fcf009: 俺らも走るの？
[4:27] @@aki5503: 結局失うのか
[4:27] @User_2b12bcf7: 人の夢は終わらない
[4:28] @User_b73a3cd7: 夢を買うたしかに　俺はサボテンで夢を買っている
[4:32] @User_012e88e1: 失わないで…
[4:37] @User_17e4818c: 真理ですね
[4:40] @User_80a26bff: 俺はまだ理性的
[4:58] @User_439eeb5c: それでも人は夢を見ることを諦められない！ドンッ！
[5:03] @User_0751797b: なんでカップ麺食べたの知ってるの
[5:03] @User_36fcf009: 八王子特別はコーセー＝ミュラーの複勝いくで
[5:05] @User_f3f575ff: 間に合った
