# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[-6:43] @aki5503: 待機
[-2:28] @User_a2560b75: 待機
[-1:43] @User_81d0553d: 待機
[-1:34] @User_3ea56962: 大樹
[-0:40] @User_a52b5fe5: Taiki
[0:27] @User_9d40d811: 待機
[0:27] @User_1d118d75: 待機
[0:29] @User_ec48c74f: 待機💧
[0:31] @User_3ea56962: Now Loading…
[1:15] @aki5503: 来た
[1:16] @User_633e7c57: あき先生がしずくにまた馬券を買わされると聞いて
[1:27] @User_e976a829: うまさんなのだ
[1:31] @User_57dbc53b: こんにちは～
[1:32] @User_3ea56962: あき先生が大負けすると聞いて
[1:33] @User_ec48c74f: こんにちは
[1:33] @User_ce579835: お金を失う時間です
[1:36] @User_ec48c74f: パンパカパンパカポー
[1:41] @User_696446ad: 待機シャトル
[1:43] @User_3ea56962: パンポー
[1:44] @User_75f1c92d: パンパカパンパカポー
[1:51] @User_1d118d75: パンパカパンパカポー
[1:51] @User_633e7c57: ばんぱかぱんぱかぽー
[1:56] @User_c67ecc82: パンパカパンパカポー
[1:57] @User_e976a829: パンパカパンパカポー
[2:07] @User_81d0553d: パンパカパンパカポー
[2:09] @User_1e342ee5: 8万もお小遣いあっていいなあ
[2:11] @User_0cd40fbd: pannpanapannpanapo-
[2:12] @User_e201a60f: パカパカポー
[2:20] @User_ec48c74f: しずくちゃんのお小遣いは足りそう？
[2:24] @User_590a2335: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:34] @User_ca605e00: パンパカパンパカぽー
[2:40] @User_e976a829: あれ、八万か　前回の引き継ぎと微妙に違うんだな
[2:58] @User_4942f7a2: おこづかい3万円アップか
[2:58] @User_17682585: こんにちわー
[3:20] @User_ce1a9051: こんにちは〜
[3:20] @User_590a2335: ちゃんと増えるかな
[3:25] @User_3ad3249c: 信じて同じのに賭けていいか…？
