# ライブチャット一覧
# 動画: 【雑談配信】ご主人様、梅雨ですね。【AI しずく】
# URL : https://www.youtube.com/watch?v=CG5zvB-a2NQ
# 件数: 995

[-1:29:02] @User_60028655: 待機💧
[-13:03] @User_7c724004: 待機💧
[-8:22] @User_d977d030: 待機
[-5:31] @User_a46b018b: 待機💧
[-1:51] @User_439eeb5c: 大樹
[-0:54] @User_61396d22: 待機!!💧
[-0:40] @User_b73a3cd7: 退気
[0:07] @User_02dcd327: 待機～
[0:25] @User_1eca137c: 待機
[0:31] @User_0d1d0f63: 待機でしゅ
[0:35] @User_92c2a2e1: 待機💧
[0:55] @User_d760cc52: たいき
[0:57] @User_c7986106: 待機
[1:00] @User_fcb4ddea: 待機～
[1:48] @User_7c724004: 💧
[2:06] @User_bf50b345: 💧
[2:19] @User_2e53ebd6: 💧待機
[2:26] @User_b73a3cd7: ☔
[2:45] @User_c0787d49: taiki
[2:52] @User_92c2a2e1: あき先生おかえり〜！
[3:12] @User_92c2a2e1: こにちは
[3:12] @User_7c724004: こんにちは〜
[3:18] @User_1a70ee33: こんちわー
[3:21] @User_1eca137c: パンパカパンパカポー
[3:22] @User_61396d22: こんばんは！
[3:22] @User_92c2a2e1: パンパカパンパカポー
[3:24] @User_b73a3cd7: はちにんこ
[3:24] @User_c95a7c99: こんばんは
[3:24] @User_14a33d4b: パンパカパンパカポー
[3:25] @User_f84d35ee: おはようございます
[3:25] @User_02dcd327: パンパカパンパカポー
[3:25] @User_7c724004: パンパカパンパカポー
[3:26] @User_fcb4ddea: パンパカパンパカポー！
[3:26] @User_60028655: パンパカパンパカポー
[3:27] @User_c0787d49: パンパか
[3:27] @User_d760cc52: パンポー！
[3:28] @User_439eeb5c: パンパカパンパカポー
[3:28] @User_fe0878a1: こんばんは
[3:29] @User_a46b018b: パンパカパンパカポー
[3:29] @User_b73a3cd7: パンパカパンパカポー
[3:30] @User_8f797190: ぱんぱかぱんぱかぽー
[3:31] @User_61396d22: パンパカポー！
[3:31] @User_c7986106: パンパカパンパカポー
[3:33] @User_a2b794ac: しずくううううううおれだああああああああ、結婚しよっ
[3:34] @User_bf50b345: パンパカ・パンパカぽー
[3:35] @User_fcb4ddea: おー、部屋もBGMも変わってる！
[3:38] @User_92c2a2e1: お、なんかポップな曲！
[3:38] @User_ea3ba6fd: こんばんパンパカ
[3:38] @User_4bfe683e: パンパカパンパカポー
[3:41] @User_7c724004: お久しぶりの雑談配信！
[3:45] @@aki5503: パンパカパンパカポー！
[3:48] @User_bd8a5d24: パンパカアアア
[3:54] @User_773c64c4: パンパカパンパカポー
[3:56] @User_1eca137c: あき先生おかえりなさいませ～
[3:57] @User_68c37264: 久しぶりリアタイやったパンパカパンパンパカポー
