# ライブチャット一覧
# 動画: 【雑談配信】ご主人様、梅雨ですね。【AI しずく】
# URL : https://www.youtube.com/watch?v=CG5zvB-a2NQ
# 件数: 995

[-1:29:02] @User_5a77a7b4: 待機💧
[-13:03] @User_b9933007: 待機💧
[-8:22] @User_96a75de3: 待機
[-5:31] @User_7b9b178b: 待機💧
[-1:51] @User_3ea56962: 大樹
[-0:54] @User_719f9991: 待機!!💧
[-0:40] @User_e976a829: 退気
[0:07] @User_9b9d086f: 待機～
[0:25] @User_5bfd7e5f: 待機
[0:31] @User_82e93b33: 待機でしゅ
[0:35] @User_ec48c74f: 待機💧
[0:55] @User_bc2e7db7: たいき
[0:57] @User_a2560b75: 待機
[1:00] @User_476d8781: 待機～
[1:48] @User_b9933007: 💧
[2:06] @User_566b60f0: 💧
[2:19] @User_b90ff19c: 💧待機
[2:26] @User_e976a829: ☔
[2:45] @User_a52b5fe5: taiki
[2:52] @User_ec48c74f: あき先生おかえり〜！
[3:12] @User_ec48c74f: こにちは
[3:12] @User_b9933007: こんにちは〜
[3:18] @User_a744e95c: こんちわー
[3:21] @User_5bfd7e5f: パンパカパンパカポー
[3:22] @User_719f9991: こんばんは！
[3:22] @User_ec48c74f: パンパカパンパカポー
[3:24] @User_e976a829: はちにんこ
[3:24] @User_dd327054: こんばんは
[3:24] @User_87ea7811: パンパカパンパカポー
[3:25] @User_b10ccfca: おはようございます
[3:25] @User_9b9d086f: パンパカパンパカポー
[3:25] @User_b9933007: パンパカパンパカポー
[3:26] @User_476d8781: パンパカパンパカポー！
[3:26] @User_5a77a7b4: パンパカパンパカポー
[3:27] @User_a52b5fe5: パンパか
[3:27] @User_bc2e7db7: パンポー！
[3:28] @User_3ea56962: パンパカパンパカポー
[3:28] @User_8b7242c7: こんばんは
[3:29] @User_7b9b178b: パンパカパンパカポー
[3:29] @User_e976a829: パンパカパンパカポー
[3:30] @User_82b3ee3b: ぱんぱかぱんぱかぽー
[3:31] @User_719f9991: パンパカポー！
[3:31] @User_a2560b75: パンパカパンパカポー
