# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[-57:16] @User_e6e96404: :medal-yellow-first-red:
[-33:58] @User_21d27dd1: 待機！
[-18:02] @User_c0787d49: Taiki
[-17:44] @User_439eeb5c: 大樹
[-16:20] @User_9e836a5d: タイキ
[-13:33] @User_439eeb5c: taiki
[-12:15] @User_60028655: 💧
[-9:28] @@aki5503: 今日は2レースとも当てるぞ💪💪
[-6:42] @User_c7986106: 待機
[-5:14] @User_f3f575ff: 待機
[-2:21] @User_54da78c0: 待機
[-1:10] @User_2b12bcf7: 待機！
[0:30] @User_92c2a2e1: 待機💧
[0:42] @User_af0e3cda: TAIKI
[1:02] @User_1eca137c: 待機
[1:05] @User_5e6c36c3: 待機
[1:26] @User_1eca137c: あき先生がフラグ立ててないことを祈りますw
[1:40] @User_5e6c36c3: 競馬の神にAPI出禁にされてたけど大丈夫だろうか
[1:44] @User_92c2a2e1: AIの本気を見せてくれ！
[2:03] @User_439eeb5c: Now Loading...
[2:45] @User_5065539d: 待機
[3:24] @User_92c2a2e1: 毎回待機画面で眠くなる💤
[3:52] @User_52e190bd: こんちくわ
[3:54] @User_92c2a2e1: こんにちは
[3:58] @User_c0787d49: 今日も頼む
[4:00] @User_92c2a2e1: パンパカパンパカポー！
[4:06] @User_5e6c36c3: きたきた
[4:08] @User_1eca137c: パンパカパンパカポー
[4:08] @User_c7986106: パンパカパンパカポー！
[4:09] @User_0f8f478b: ぱんぱかぱんぱかぽー
[4:11] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[4:12] @User_69451bd9: ぱんぱかぱんぱかぽー！
[4:13] @User_fe0878a1: こんにちは
[4:14] @User_9e836a5d: パンパカパンパカポー！
[4:15] @User_0751797b: ぱっぱかぽー
[4:16] @User_36fcf009: パンパカパンパカポー
[4:16] @User_f3f575ff: ぱんぱかぱんぱかぽー
[4:19] @User_0dadbc15: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[4:25] @User_54da78c0: パンパかパンパカポー
[4:29] @User_0dadbc15: 即PAT用意したぞ
[4:31] @User_439eeb5c: パンパカポー
[4:33] @User_5e6c36c3: パンパカパンパカポー
[4:35] @User_92c2a2e1: 増やしていく？
[4:42] @User_2b12bcf7: 頼むよ頼むよー
[4:50] @User_4f3c2a6d: 初見、ショートから
[4:53] @User_8967adca: こんにチワワ
[5:00] @User_0bc16841: 今日の前哨戦はどうかな
[5:01] @User_af0e3cda: 今日はどれだけ増えるかしらね
[5:05] @User_0f8f478b: １０レースはしずくちゃんを信頼！
[5:05] @User_1eca137c: ぼちぼちいきましょ～
[5:14] @User_0c437e8f: パンパカパンパカポー
[5:26] @User_92c2a2e1: よっ！前哨戦のしずく！がんばれ！
[5:42] @User_9e836a5d: お小遣い増やそう
[5:47] @User_f3f575ff: 2レースともとりに行こう
[5:50] @User_36770ee1: こんにちは。花のみちSでいくのか....
[5:58] @User_5065539d: すげぇ。
[6:01] @User_52e190bd: 単勝以外は買わないの？
[6:08] @User_36770ee1: 次はAkiになるの？（難聴）
[6:15] @User_0751797b: 秋までモヤシ生活かぁ
[6:20] @User_0bc16841: 夏は放牧して成長分に期待するしずく
[6:22] @User_0c437e8f: 勝ち越したいねー
[6:48] @User_68c37264: 間に合ッパンパカポー
[6:59] @User_4cf19b8d: ルメールを信じろ
[7:00] @User_1e3e41e8: やあ
[7:06] @User_5065539d: 賭け額が５万円以内ならプラスになるの強い。
[7:22] @User_1eca137c: オッズと騎手w
[7:26] @User_439eeb5c: 最後の勝負で負けてプラスが吹き飛ぶのはよくある話
[7:27] @User_9e836a5d: 騎手が裏切るのか
[7:30] @User_69451bd9: 馬も裏切らない！
[7:31] @User_2b12bcf7: ルメールのこと根に持ってる笑
[7:36] @User_5e6c36c3: 前哨戦だけ乗っかるか、、、？
[7:37] @User_8967adca: 武豊を信じろ
[7:45] @User_60028655: パンパカパンパカポー
[7:46] @User_9dbe58ab: このコメントは拾われる訳がない・・・（ｺｯｿﾘ
[8:03] @User_f3f575ff: 競馬沼ずぶずぶ
[8:06] @User_36770ee1: 0
[8:12] @User_af0e3cda: 嬉しそうに口座ゼロにすなｗ
[8:18] @User_60028655: そこは増やしておいてよｗ
[8:41] @User_0f8f478b: ３勝クラスがマイル王は 草
[8:46] @User_36770ee1: とりまテラメリタとサンタンカの複勝を買ったので勝たせてください。
[8:51] @User_92c2a2e1: 馬とペンギンどっちが好き？
[9:03] @User_60028655: ｵﾝ ｵﾝ ｵﾝ
[9:11] @User_af0e3cda: 表現がｗ
