# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[-57:16] @User_d13b3d62: UCkszU2WH9gy1mb0dV-11UJg/medal-yellow-first-red
[-33:58] @User_2895b9a2: 待機！
[-18:02] @User_a52b5fe5: Taiki
[-17:44] @User_3ea56962: 大樹
[-16:20] @User_d0753fd1: タイキ
[-13:33] @User_3ea56962: taiki
[-12:15] @User_5a77a7b4: 💧
[-9:28] @aki5503: 今日は2レースとも当てるぞ💪💪
[-6:42] @User_a2560b75: 待機
[-5:14] @User_da46df5d: 待機
[-2:21] @User_e1515f73: 待機
[-1:10] @User_81d0553d: 待機！
[0:30] @User_ec48c74f: 待機💧
[0:42] @User_590a2335: TAIKI
[1:02] @User_5bfd7e5f: 待機
[1:05] @User_ca605e00: 待機
[1:26] @User_5bfd7e5f: あき先生がフラグ立ててないことを祈りますw
[1:40] @User_ca605e00: 競馬の神にAPI出禁にされてたけど大丈夫だろうか
[1:44] @User_ec48c74f: AIの本気を見せてくれ！
[2:03] @User_3ea56962: Now Loading...
[2:45] @User_43d09b79: 待機
[3:24] @User_ec48c74f: 毎回待機画面で眠くなる💤
[3:52] @User_3f6ab113: こんちくわ
[3:54] @User_ec48c74f: こんにちは
[3:58] @User_a52b5fe5: 今日も頼む
[4:00] @User_ec48c74f: パンパカパンパカポー！
[4:06] @User_ca605e00: きたきた
[4:08] @User_5bfd7e5f: パンパカパンパカポー
[4:08] @User_a2560b75: パンパカパンパカポー！
[4:09] @User_8f409f4f: ぱんぱかぱんぱかぽー
[4:11] @User_590a2335: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[4:12] @User_30238612: ぱんぱかぱんぱかぽー！
[4:13] @User_8b7242c7: こんにちは
[4:14] @User_d0753fd1: パンパカパンパカポー！
[4:15] @User_e201a60f: ぱっぱかぽー
[4:16] @User_d5b05bb2: パンパカパンパカポー
[4:16] @User_da46df5d: ぱんぱかぱんぱかぽー
[4:19] @User_ff0a5e76: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[4:25] @User_e1515f73: パンパかパンパカポー
[4:29] @User_ff0a5e76: 即PAT用意したぞ
[4:31] @User_3ea56962: パンパカポー
[4:33] @User_ca605e00: パンパカパンパカポー
[4:35] @User_ec48c74f: 増やしていく？
[4:42] @User_81d0553d: 頼むよ頼むよー
[4:50] @User_8855ef75: 初見、ショートから
[4:53] @User_a6fd2aba: こんにチワワ
[5:00] @User_1e342ee5: 今日の前哨戦はどうかな
[5:01] @User_590a2335: 今日はどれだけ増えるかしらね
[5:05] @User_8f409f4f: １０レースはしずくちゃんを信頼！
[5:05] @User_5bfd7e5f: ぼちぼちいきましょ～
[5:14] @User_696446ad: パンパカパンパカポー
[5:26] @User_ec48c74f: よっ！前哨戦のしずく！がんばれ！
[5:42] @User_d0753fd1: お小遣い増やそう
[5:47] @User_da46df5d: 2レースともとりに行こう
[5:50] @User_9d63cc9b: こんにちは。花のみちSでいくのか....
[5:58] @User_43d09b79: すげぇ。
[6:01] @User_3f6ab113: 単勝以外は買わないの？
[6:08] @User_9d63cc9b: 次はAkiになるの？（難聴）
[6:15] @User_e201a60f: 秋までモヤシ生活かぁ
[6:20] @User_1e342ee5: 夏は放牧して成長分に期待するしずく
[6:22] @User_696446ad: 勝ち越したいねー
[6:48] @User_6c321aed: 間に合ッパンパカポー
[6:59] @User_142a08e0: ルメールを信じろ
[7:00] @User_8f34b8b6: やあ
[7:06] @User_43d09b79: 賭け額が５万円以内ならプラスになるの強い。
[7:22] @User_5bfd7e5f: オッズと騎手w
[7:26] @User_3ea56962: 最後の勝負で負けてプラスが吹き飛ぶのはよくある話
[7:27] @User_d0753fd1: 騎手が裏切るのか
[7:30] @User_30238612: 馬も裏切らない！
[7:31] @User_81d0553d: ルメールのこと根に持ってる笑
[7:36] @User_ca605e00: 前哨戦だけ乗っかるか、、、？
[7:37] @User_a6fd2aba: 武豊を信じろ
[7:45] @User_5a77a7b4: パンパカパンパカポー
[7:46] @User_a5e5ef44: このコメントは拾われる訳がない・・・（ｺｯｿﾘ
[8:03] @User_da46df5d: 競馬沼ずぶずぶ
[8:06] @User_9d63cc9b: 0
[8:12] @User_590a2335: 嬉しそうに口座ゼロにすなｗ
[8:18] @User_5a77a7b4: そこは増やしておいてよｗ
[8:41] @User_8f409f4f: ３勝クラスがマイル王は 草
[8:46] @User_9d63cc9b: とりまテラメリタとサンタンカの複勝を買ったので勝たせてください。
[8:51] @User_ec48c74f: 馬とペンギンどっちが好き？
[9:03] @User_5a77a7b4: ｵﾝ ｵﾝ ｵﾝ
[9:11] @User_590a2335: 表現がｗ
[9:21] @User_d5b05bb2: おっし、阪神10やっか
[9:43] @User_d5b05bb2: アメリカで競馬場でも作るん？
[9:44] @User_f4edcb6e: しずく～ファンサして～
[10:03] @User_9d63cc9b: 草
[10:10] @User_ec48c74f: 草
[10:13] @User_a6fd2aba: 馬が好きになったのね
[10:16] @User_1e342ee5: あき先生頑張ってください
[10:17] @User_2827b037: kusa
[10:20] @User_da46df5d: 草
[10:24] @User_e3b71967: パンパカパンパカポー
[10:24] @User_43d09b79: くさ
[10:26] @User_d582769c: 足が速くければモテる…小学生かな？
[10:27] @User_590a2335: ペンギンだけのレースがあればワンチャン
[10:29] @User_d5b05bb2: 札幌氷1600mなら1.32で走れるかもよペンギン
[10:30] @User_ca605e00: お昼食べて、しずくちゃんの声聞きながら寝そう
[10:39] @User_ec48c74f: 今日の実況はASMRでやってみてはどうでしょう
[10:43] @User_4942f7a2: 今日こそメインレース勝てるかな？
[10:50] @User_3ea56962: しずく様～。ご機嫌良くなった？？
[11:01] @User_fc3f146b: この前同じの買ったらあたったので今回もよろしく
[11:05] @User_e201a60f: 武豊もルメールもいるんか
[11:19] @User_1e342ee5: 騎手買いのしずく的に吉村騎手と田山騎手ってどうなの
[11:20] @User_d582769c: 1位オッズ3,1倍ってのは予想が難しいレースってこと？
[11:47] @User_5bfd7e5f: １番人気はバウムクーヘン？
[11:55] @User_a5e5ef44: 初参加だけど、どうやってBETしたらいいの？教えて
[12:02] @User_696446ad: ルメールを信じて武豊に泣く
[12:03] @User_fc3f146b: しずくママのよしよし助かる
[12:10] @User_6e41632f: 今回は私もあき先生に続いて同じ馬券を買わせて頂きます
[13:20] @User_8f409f4f: 12番セブンマジシャン
[13:25] @User_da46df5d: 安田の負けを引きずってるからチャンネルトンネルに賭けるか
[13:27] @User_d582769c: AIしずくちゃんが競馬の予想をして、あき先生（開発者）が実際に買うというシステムなので、視聴者はマネーを掛ける必要はないのです
[13:30] @User_8855ef75: 見せてもらおうか、前哨戦のAIのちかr
[13:40] @User_d5b05bb2: ここは素直にアウフヘーベンから人気薄に流し
[13:42] @User_81d0553d: ミナデオロ、ルメールしか勝たん
[13:43] @User_ec48c74f: セブンマジシャンがスタンドの名前みたいでかっこいい
[13:58] @User_d582769c: ちなみにスパチャをするとしずくの軍資金が増えます
[13:59] @User_2074622b: アウフヘーベンかなあ
[14:03] @User_142a08e0: ミナデオロ
[14:07] @User_ec48c74f: ルメールで6.4倍は狙い目でもあるか
[14:16] @User_43d09b79: 6番ウォーターガーベラ
[14:37] @User_6e41632f: 典さんがおらん…かける価値はないのじゃ(　ˆ̑‵̮ˆ̑　)
[14:55] @User_d5b05bb2: エポックヴィーナス頼むで
[14:56] @User_4942f7a2: 実績で言ったらアウフヘーベンか？
[15:08] @User_e1515f73: セブンマジシャン
[15:15] @User_4942f7a2: やっぱり単勝一点買いなのか…
[15:21] @User_3ea56962: 応援してます
[15:23] @User_ca605e00: 武豊
[15:28] @User_d582769c: これ単勝当てれる？
[15:34] @User_da46df5d: 全ツッパ草
[15:35] @User_e3b71967: 配当も分担で
[15:52] @User_87ea7811: こんにちは～
