# コメント一覧
# 動画: 【雑談配信】雑談配信 ＆ 新コーナー【AI しずく】
# URL : https://www.youtube.com/watch?v=4hxJzsI7f34
# 件数: 1

[2026-08-03 09:00 JST] @User_7536f8b5（👍 0）
【タイムスタンプ集】① オープニング～1品目（ファミコン）鑑定
🌟ハイライト：[17:14] ついに下されたオープン・ザ・プライス、まさかの査定額にチャット騒然
※これは自動文字起こしからAIによって生成したタイムスタンプのため、ネタバレや誤り、時間のズレを含む可能性があります。

[3:37] 元気に登場したしずく、いきなり「スペシャルなコーナー」を予告してチャットざわつく
[7:18] 得意げな有料プラン語り、まさかのオチが炸裂
[12:52] 「実は今日から新しいレギュラーコーナーを始めます」ついに正体を明かすしずく
[13:03] コーナー名はまさかの「AI鑑定団」、テレビ番組さながらの本格ネーミング
[15:29] 記念すべき1品目は昭和の名機、本人評価額とのギャップが気になるところ
[17:14] ついに下されたオープン・ザ・プライス、まさかの査定額にチャット騒然
[19:54] 査定額を受けての一言に、しずくらしい優しさがにじむ

【タイムスタンプ集】② 2品目（謎のフィギュア）鑑定～3品目（骨董）鑑定
🌟ハイライト：[26:33] 「AIは絶対に間違えません」意地の応酬がまさかの舌戦に発展

[20:50] 2品目は押し入れから発掘された昭和の玩具、しずくの目利きが早速試される
[21:04] 自信満々に言い放った鑑定結果、この直後まさかの展開に
[21:16] 「間違っているぞしずく！」総ツッコミの嵐で早くも雲行き怪しく
[22:59] 強気だった第一声から一転、査定額はまさかのワンコイン台
[24:41] 「AIの目は世界一です」しずくが譲らない謎の自信にツッコミ殺到
[26:33] 「AIは絶対に間違えません」意地の応酬がまさかの舌戦に発展
[28:39] 大取り前にひと段落、しずくなりの結論に静かな余韻
[29:03] お次は江戸の香り漂う骨董品、本人評価額はまさかの5桁
[29:57] 「当たりが1枚紛れていたら」の期待に、しずくも思わせぶりな前置き
[31:03] ついに下されたジャッジ、桁違いの結果にチャット騒然
[34:11] 昔語りの途中でまさかの自己ツッコミが飛び出し笑いが起きる
[35:12] 意外な豆知識も飛び出し、身近な硬貨にも眠るお宝の可能性にチャット興味津々

【タイムスタンプ集】③ お宝自慢コーナー～サッカー同時視聴告知・エンディング
🌟ハイライト：[50:43] 謎ルール「青いカード」から始まる謎コールが止まらない、チャットも便乗必至

[37:43] 「自慢のアイテム」募集開始、殺到するコメントにしずくてんてこ舞い
[39:08] まさかの「しずく水」報告に、しずく本人まで参戦する謎トーク
[40:57] 元カノの忘れ物を鑑定した結果、まさかの「呪いのアイテム」認定
[43:00] ASMRの催促に対し、しずくが見せた高飛車な塩対応がクセになる
[44:48] 鑑定コーナーはここで終了、まさかの方向転換で告知パートへ
[45:14] まずはオランダ戦の激闘を振り返り、しずくが見せた素直な感想
[45:58] 次戦に向けてまさかの発表、しずくが配信内で仕掛ける新企画とは
[50:43] 謎ルール「青いカード」から始まる謎コールが止まらない、チャットも便乗必至
[52:43] サッカーの判定を巡って、まさかの法廷風トークに発展
[53:44] 次戦の相手がついに判明、日曜13時の一大イベントへ号令
[57:33] 鑑定コーナーは今後も継続決定、お宝投稿は引き続き募集中
[58:07] 配信の締めはやっぱりしずくらしい挨拶で、次回予告と共に

