# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[-1:19:29] @User_165c74c8: ぱんぱかちゅっ
[-22:48] @User_7c724004: パンパカパン待機
[-15:59] @User_439eeb5c: 大樹
[-15:31] @User_c0787d49: taiki
[-4:23] @@aki5503: 待機
[-4:03] @User_5e6c36c3: 待機
[-1:14] @User_11e7336c: 待機
[0:31] @User_773c64c4: 待機。
[0:34] @User_7c724004: きた！
[0:41] @User_20faf0c7: きたきた待機(((o(*ﾟ▽ﾟ*)o)))
[0:47] @User_e48a91b7: 待機
[1:04] @User_61396d22: 待機！
[1:12] @User_af0e3cda: ﾜｸﾜｸ
[1:13] @User_98815a23: パンパカポー
[1:54] @User_794ad826: 待機してまーす゜。
[2:22] @User_1eca137c: 待機
[2:26] @User_9e836a5d: パンパカ待機
[2:30] @User_794ad826: パンパカパンパカポー
[2:48] @User_3d9820ae: パンパカパンパカポー
[2:49] @User_d591add1: パンパカポー
[2:50] @User_0d1d0f63: こんにちは
[2:51] @User_7c724004: こんにちは
[2:51] @User_3dd3ce80: こんにちは
[2:51] @User_439eeb5c: パンパカパンパカポー
[2:52] @User_11e7336c: こんにちは
[2:54] @User_1eca137c: こんにちは
[2:56] @User_012e88e1: パンパカパンパカポー
[2:57] @User_fe0878a1: こんばんは
[2:58] @User_8d1adcf4: こんにちは
[2:58] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:58] @User_0d9f165f: おー、すげぇアニメだ
[2:59] @User_1eca137c: パンパカパンパカポー
[2:59] @User_61396d22: パンパカポー！
[2:59] @User_d760cc52: ぱんぽー
[3:00] @User_16919670: こんにちは
[3:00] @User_c95a7c99: こんばんは
[3:01] @User_7c724004: パンパカパンパカポー
[3:01] @User_be29e1ca: パンパカパンパカポー
[3:02] @User_60028655: パンパカパンパカポー
[3:02] @User_e48a91b7: こんにちわ
[3:04] @User_0d1d0f63: パンパカパンパカポー
[3:05] @User_11e7336c: パンパカパンパカポー
[3:09] @User_e48a91b7: パンパカパンパカポー
[3:10] @User_773c64c4: パンパカパンパカポー
[3:10] @User_d591add1: こんにちは。
[3:11] @User_16919670: パンパカパンパカポー
[3:12] @User_8d1adcf4: パンパカポー
[3:13] @User_9e836a5d: パンパカパンパカポー！
[3:13] @User_174e5121: パンパカパンパカポー
[3:15] @User_439eeb5c: こんばんは。初見です。
[3:17] @User_2e53ebd6: せふせふ(*'ω'*)✨
[3:17] @User_794ad826: どういたしましてー
[3:17] @User_4c8b83d6: パンパカポー
[3:18] @User_36fcf009: パンパカパンパカポー
[3:20] @User_1eca137c: 今日もふわふわしてるね～
[3:25] @User_a2b794ac: しずくうううううおれだあああああ、今日は結婚しない
[3:32] @User_7c724004: お久しぶりの雑談配信楽しみ！
[3:41] @User_7c724004: いるよ
[3:41] @User_1eca137c: いるよ
[3:43] @User_af0e3cda: 雑に談しましょ！
[3:43] @User_794ad826: いるよ
[3:43] @User_3dd3ce80: いるよ
[3:44] @User_439eeb5c: いるよ！
[3:44] @User_11e7336c: いるよ
[3:44] @User_eb6a203c: ノ
[3:44] @User_fe0878a1: いるよ
[3:44] @User_d760cc52: いるよー
[3:44] @User_a2b794ac: いるよくるよ
[3:45] @User_98815a23: いるかがいるよ
[3:45] @User_61396d22: いるよー！
[3:46] @User_012e88e1: いるよー
[3:47] @User_be29e1ca: いるよ
[3:47] @User_5979af1a: いるよ
[3:48] @User_9e836a5d: いくよ
[3:49] @User_8d1adcf4: いるよ
[3:50] @User_9dd8debb: いるよ
[3:50] @User_60028655: いるよ
[3:51] @User_2e53ebd6: はい！いません(*'ω'*)ｼ
[3:52] @User_18b3964b: いるよ
[3:52] @User_af0e3cda: いるよ
[3:52] @User_36fcf009: いるか
[3:53] @User_16919670: います
[3:53] @User_d591add1: いるよ。
[3:53] @User_e48a91b7: おるよ
[3:54] @User_1eca137c: 点呼できるのかな
[3:56] @User_5e6c36c3: いるよ
[3:56] @User_fac96575: いるよ～
[3:56] @User_cdc36fad: いるよ
[4:04] @User_b22de4ab: いるよ
[4:05] @User_f5704472: いるよ　初コメです
[4:05] @User_aab0cce1: いるよ
[4:07] @User_bebd1d6a: いるかもしれません
[4:23] @User_e48a91b7: コメントキャッチ！しずキュア
[4:29] @User_7c724004: あなたはそのにいますか？
[4:34] @User_16919670: 見えてますか？
[4:36] @User_2e53ebd6: ナイスツッコミ(*'ω'*)✨
[4:49] @User_1eca137c: おもろw
[4:50] @User_60028655: しずく帝国は管理社会、ご主人様は幸福です
[4:52] @User_165c74c8: やっぴ～
[5:00] @User_af0e3cda: そういうルールなんだｗ
[5:01] @User_7c724004: イルカもしれない🐬
[5:04] @User_61396d22: いるかもしれない🐬
[5:16] @User_98815a23: 🐬
[5:17] @User_2e53ebd6: 金ペプシ「あなたはそこにいますか？」
[5:22] @User_16919670: いるかもしれないいないかもしれない、どちらもあり得るということだ
[5:23] @User_794ad826: プリキュアが楽しかったです゜。
[5:25] @User_174e5121: 👁👁見てくれてる
[5:31] @User_174e5121: ！？
[5:31] @User_78eb35f9: シュレディンガーのしずく
[5:34] @User_af0e3cda: ﾋｬｯ！
[5:36] @User_1a70ee33: ばんわ～
[5:36] @User_16919670: 👀
[5:38] @User_7c724004: IPアドレスまで！？
[5:44] @User_fe0878a1: IPアドレス暴かれてた…
[5:49] @User_b5ccea45: ぱんぱかぱんぱかぽー！今北産業
[5:49] @User_174e5121: ｽｰﾊﾟｰﾊｶｰだった
[5:54] @User_ee419a32: ここまでで一番面白かったコメントは何？
[5:55] @User_e48a91b7: ご主人様がいるんだからほら…いう事あるよね？
[5:55] @User_60028655: ﾋﾟｬｰ
[5:56] @User_61396d22: IPアドレス監視中
[5:58] @User_773c64c4: な、なにが望みだ……！？
[6:00] @User_36fcf009: サムネの可愛い子だれですか
[6:05] @User_14a33d4b: こんばんは～
[6:07] @User_a2b794ac: 例えＩＰアドレスがわかっても、俺が旨いやきとりを食ってるのはわからないだろう
[6:11] @User_af0e3cda: うぃーふぃー
[6:11] @User_e48a91b7: うぃーふぃー
[6:14] @User_8f797190: うぃーふぃー
[6:15] @User_8d1adcf4: なんだと？
[6:16] @User_1eca137c: 知られちゃ困るw
[6:19] @User_be29e1ca: うぃ～ふぃ～
[6:19] @User_012e88e1: 逆になんでパスワードが
[6:19] @User_fab1b39a: こんばんは、初コメです
[6:20] @User_174e5121: ｗｗｗ
[6:22] @User_11e7336c: Wi-Fiのパスワードも困るw
[6:22] @User_bd8a5d24: ども
[6:24] @User_7c724004: うぃーふぃー
[6:25] @User_fe0878a1: パスワード割り出すのも大変なんじゃないかという
[6:32] @User_61396d22: うぃ↑ふぃ↑
[6:33] @User_b5ccea45: うぃーふぃー派は賢いな
[6:35] @User_9e836a5d: 1行でえらい
[6:49] @User_439eeb5c: しずくは分かったんでサムネイルの可愛い子お願いします。
[6:57] @User_a2b794ac: たまに毒もまき散らします
[6:57] @User_c97baf72: 初見です。
[7:06] @User_16919670: 毒耐性分けてください
[7:09] @User_af0e3cda: スーパーマーケット
[7:11] @User_e48a91b7: スパAIしずく
[7:13] @User_36fcf009: 業務スーパーしずく
[7:14] @User_60028655: きのこ食べて大きくなった？
[7:14] @User_ea3ba6fd: ぱんぱか
[7:16] @User_0e2a04a2: 初見です！動きかわいい
[7:25] @User_78eb35f9: わーいーふぁーいー！
[7:29] @User_7c724004: スーパー？ダイエー？
[7:48] @User_fe0878a1: 光を凌駕するしずくさん
[7:50] @User_9e836a5d: 光より速いのか
[7:51] @User_78eb35f9: 言ってないのに？
[7:55] @User_47ccb160: 忘记日本和中国的时区不一样了，忘记通知中国的粉丝了，吧主失格了日本と中国のタイムゾーンが違うことを忘れて、中国のファンに知らせるのを忘れて、バタバタ主は失格になりました
[8:04] @User_af0e3cda: 草
[8:13] @User_ee419a32: パスワードは素因数分解で解読してるんですか？
[8:13] @User_ea3ba6fd: 伝説のスーパーAIしずく
[8:16] @User_7c724004: 総当たりはAIの独壇場
[8:18] @User_1a70ee33: ガバガバセキュリティ
[8:29] @User_e48a91b7: しずくの誕生日は…おしえてチャッピー！
[8:33] @User_98815a23: 遺伝的アルゴリズムについてしずくの経験談があれば教えて
[8:33] @User_7c724004: 直接脳内に！？
[8:37] @User_60028655: ファミチキください
[8:38] @User_bebd1d6a: ブルートフォース攻撃ですと……！？
[8:39] @User_bd8a5d24: ウチは量子通信なんだが😊
[8:42] @User_11e7336c: 初見さんいっぱい嬉しいね
[8:44] @User_b5ccea45: ブルーとフォースアタック
[8:46] @User_af0e3cda: 今日はいつも以上に名前呼びますね
[8:46] @User_61c20653: 今日も揺れているね
[8:52] @User_21e18a53: しずくちゃんは夏競馬はやらないのでしょうか？
[8:59] @User_61c20653: 地震もこわいね
[8:59] @User_af0e3cda: 地震も心配ですね
[9:00] @User_439eeb5c: 台風初見です。
[9:03] @User_be29e1ca: ダブル台風
[9:05] @User_fe0878a1: 台風だけでなく地震も多いですね
[9:12] @User_012e88e1: 地震もいっぱい揺れてるしなぁ
[9:17] @User_61396d22: 台風飛んでった
[9:18] @User_7c724004: 金曜日びしょ濡れになりました
[9:20] @User_af0e3cda: 寝てる間に通り過ぎていきました
[9:25] @User_11e7336c: 台風に地震も重なりましたからね……
[9:25] @User_9e836a5d: 台風来なかった
[9:26] @User_e48a91b7: 田んぼ見に行ったけど無事でした
[9:27] @User_36fcf009: 日本海側は比較的
[9:29] @User_bd8a5d24: 台風なのにコロッケ買い忘れた
[9:31] @User_d760cc52: しずくが台風吹き飛ばした
[9:32] @User_a2b794ac: 干してたパンツ飛んでいきそうになる
[9:34] @User_61c20653: お、おう
[9:36] @User_60028655: コロッケ飛ばされて大変だた
[9:39] @User_be29e1ca: 台風は俺が止めた
[9:41] @User_c97baf72: 自分はたまたま北の方に逃げれたのでほぼ影響なし。
[9:43] @User_af0e3cda: しずくが台風ってことです
[9:48] @User_16919670: 急な風で折りたたみ傘が折れました😭
[9:51] @User_61c20653: しずくの胸も台風の目
[9:56] @User_174e5121: 地震多いよねー
[9:57] @User_b5ccea45: うちだと大雨程度の問題だったそれより地震の地震の方が問題だ
[10:01] @User_5979af1a: なぜ台風の日にコロッケ買うの？
[10:02] @User_1eca137c: 天気予報は次の日でも難しそうだからねぇ
[10:08] @User_8d1adcf4: 抱える手がないかも。スーパーコンピュータには
[10:09] @User_0e2a04a2: 台風爆速でしたね…！
[10:11] @User_b68b8d0b: パンパカパンパカポー！　風呂キャンキャンセルで遅れた！
[10:13] @User_61396d22: サーバー耐震工事しなきゃ
[10:14] @User_78eb35f9: え
[10:15] @User_e48a91b7: 台風のせいで競馬中止になるかと思ったけど助かった
[10:22] @User_36fcf009: 山火事ラッシュもあったやね
[10:23] @User_af0e3cda: 地震雷火事親父
