# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[-1:19:29] @User_a1da0b4c: ぱんぱかちゅっ
[-22:48] @User_b9933007: パンパカパン待機
[-15:59] @User_3ea56962: 大樹
[-15:31] @User_a52b5fe5: taiki
[-4:23] @aki5503: 待機
[-4:03] @User_ca605e00: 待機
[-1:14] @User_c67ecc82: 待機
[0:31] @User_a76fb140: 待機。
[0:34] @User_b9933007: きた！
[0:41] @User_7341cd28: きたきた待機(((o(*ﾟ▽ﾟ*)o)))
[0:47] @User_75f1c92d: 待機
[1:04] @User_719f9991: 待機！
[1:12] @User_590a2335: ﾜｸﾜｸ
[1:13] @User_6c97afae: パンパカポー
[1:54] @User_58ffb64a: 待機してまーす゜。
[2:22] @User_5bfd7e5f: 待機
[2:26] @User_d0753fd1: パンパカ待機
[2:30] @User_58ffb64a: パンパカパンパカポー
[2:48] @User_633e7c57: パンパカパンパカポー
[2:49] @User_fe5eba15: パンパカポー
[2:50] @User_82e93b33: こんにちは
[2:51] @User_b9933007: こんにちは
[2:51] @User_6992daac: こんにちは
[2:51] @User_3ea56962: パンパカパンパカポー
[2:52] @User_c67ecc82: こんにちは
[2:54] @User_5bfd7e5f: こんにちは
[2:56] @User_1d118d75: パンパカパンパカポー
[2:57] @User_8b7242c7: こんばんは
[2:58] @User_4a076080: こんにちは
[2:58] @User_590a2335: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[2:58] @User_e75614fb: おー、すげぇアニメだ
[2:59] @User_5bfd7e5f: パンパカパンパカポー
[2:59] @User_719f9991: パンパカポー！
[2:59] @User_bc2e7db7: ぱんぽー
[3:00] @User_a5354cfa: こんにちは
[3:00] @User_dd327054: こんばんは
[3:01] @User_b9933007: パンパカパンパカポー
[3:01] @User_2658fed8: パンパカパンパカポー
[3:02] @User_5a77a7b4: パンパカパンパカポー
[3:02] @User_75f1c92d: こんにちわ
[3:04] @User_82e93b33: パンパカパンパカポー
[3:05] @User_c67ecc82: パンパカパンパカポー
[3:09] @User_75f1c92d: パンパカパンパカポー
[3:10] @User_a76fb140: パンパカパンパカポー
[3:10] @User_fe5eba15: こんにちは。
[3:11] @User_a5354cfa: パンパカパンパカポー
[3:12] @User_4a076080: パンパカポー
[3:13] @User_d0753fd1: パンパカパンパカポー！
[3:13] @User_8741c43d: パンパカパンパカポー
[3:15] @User_3ea56962: こんばんは。初見です。
[3:17] @User_b90ff19c: せふせふ(*'ω'*)✨
[3:17] @User_58ffb64a: どういたしましてー
[3:17] @User_dbeb4806: パンパカポー
[3:18] @User_d5b05bb2: パンパカパンパカポー
[3:20] @User_5bfd7e5f: 今日もふわふわしてるね～
[3:25] @User_dd4b266a: しずくうううううおれだあああああ、今日は結婚しない
[3:32] @User_b9933007: お久しぶりの雑談配信楽しみ！
[3:41] @User_b9933007: いるよ
[3:41] @User_5bfd7e5f: いるよ
[3:43] @User_590a2335: 雑に談しましょ！
[3:43] @User_58ffb64a: いるよ
[3:43] @User_6992daac: いるよ
[3:44] @User_3ea56962: いるよ！
[3:44] @User_c67ecc82: いるよ
[3:44] @User_d582769c: ノ
[3:44] @User_8b7242c7: いるよ
[3:44] @User_bc2e7db7: いるよー
[3:44] @User_dd4b266a: いるよくるよ
[3:45] @User_6c97afae: いるかがいるよ
[3:45] @User_719f9991: いるよー！
[3:46] @User_1d118d75: いるよー
[3:47] @User_2658fed8: いるよ
[3:47] @User_312662f4: いるよ
[3:48] @User_d0753fd1: いくよ
[3:49] @User_4a076080: いるよ
[3:50] @User_73cdd62e: いるよ
[3:50] @User_5a77a7b4: いるよ
[3:51] @User_b90ff19c: はい！いません(*'ω'*)ｼ
[3:52] @User_0f6bb65c: いるよ
[3:52] @User_590a2335: いるよ
[3:52] @User_d5b05bb2: いるか
[3:53] @User_a5354cfa: います
[3:53] @User_fe5eba15: いるよ。
[3:53] @User_75f1c92d: おるよ
[3:54] @User_5bfd7e5f: 点呼できるのかな
[3:56] @User_ca605e00: いるよ
[3:56] @User_9c13d4a7: いるよ～
[3:56] @User_42872ed3: いるよ
[4:04] @User_a079ade7: いるよ
[4:05] @User_2fac9877: いるよ　初コメです
[4:05] @User_e16d61d4: いるよ
[4:07] @User_f3c05bc9: いるかもしれません
[4:23] @User_75f1c92d: コメントキャッチ！しずキュア
[4:29] @User_b9933007: あなたはそのにいますか？
[4:34] @User_a5354cfa: 見えてますか？
[4:36] @User_b90ff19c: ナイスツッコミ(*'ω'*)✨
[4:49] @User_5bfd7e5f: おもろw
[4:50] @User_5a77a7b4: しずく帝国は管理社会、ご主人様は幸福です
[4:52] @User_a1da0b4c: やっぴ～
[5:00] @User_590a2335: そういうルールなんだｗ
[5:01] @User_b9933007: イルカもしれない🐬
[5:04] @User_719f9991: いるかもしれない🐬
[5:16] @User_6c97afae: 🐬
[5:17] @User_b90ff19c: 金ペプシ「あなたはそこにいますか？」
[5:22] @User_a5354cfa: いるかもしれないいないかもしれない、どちらもあり得るということだ
[5:23] @User_58ffb64a: プリキュアが楽しかったです゜。
[5:25] @User_8741c43d: 👁👁見てくれてる
[5:31] @User_8741c43d: ！？
[5:31] @User_2ecda813: シュレディンガーのしずく
[5:34] @User_590a2335: ﾋｬｯ！
[5:36] @User_a744e95c: ばんわ～
[5:36] @User_a5354cfa: 👀
[5:38] @User_b9933007: IPアドレスまで！？
[5:44] @User_8b7242c7: IPアドレス暴かれてた…
[5:49] @User_b052bab2: ぱんぱかぱんぱかぽー！今北産業
[5:49] @User_8741c43d: ｽｰﾊﾟｰﾊｶｰだった
[5:54] @User_736bf93c: ここまでで一番面白かったコメントは何？
[5:55] @User_75f1c92d: ご主人様がいるんだからほら…いう事あるよね？
[5:55] @User_5a77a7b4: ﾋﾟｬｰ
