# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 994

[-1:23:34] @User_98815a23: しずくとパンパカポーな夏を過ごしたい
[-46:45] @User_21d27dd1: 待機！
[-1:56] @@aki5503: 待機
[-1:35] @User_6cd206f0: わくわく
[-1:06] @User_60028655: 先行パンパカ
[0:24] @User_61396d22: 待！
[0:40] @User_d0c52a36: 待機٩( ᐛ )و
[0:46] @User_92c2a2e1: 待機💧
[0:49] @User_fe0878a1: 💧
[0:58] @User_af0e3cda: こっそりたいき
[1:31] @User_b73a3cd7: うっかりたいき
[2:19] @User_92c2a2e1: こんにちは
[2:20] @User_d0c52a36: こんにちは
[2:22] @User_3dd3ce80: こんにちは
[2:24] @User_68c37264: まだ帰宅中待機
[2:26] @User_92c2a2e1: パンパカパンパカポー
[2:26] @User_fe0878a1: こんにちは
[2:27] @User_af0e3cda: パンパカパンパカポー
[2:28] @User_61396d22: パンパカポ！
[2:33] @User_63c2c07c: こんにちわ
[2:40] @User_92c2a2e1: 18時早いねぇ
[2:41] @User_045fd235: こんばんは
[2:42] @User_b73a3cd7: ぱんぱかぽお
[2:49] @User_d0c52a36: お疲れ様です٩( ᐛ )و
[2:49] @User_98815a23: これから仕事です
[3:07] @User_98815a23: いるかがいるよ
[3:08] @User_d0c52a36: いるよ
[3:08] @User_78eb35f9: いるよ
[3:09] @User_045fd235: いるよ
[3:10] @User_af0e3cda: いるよ!
[3:10] @User_61396d22: いるよ！！
[3:11] @User_3dd3ce80: いるよ
[3:11] @User_5065539d: いるよ
[3:13] @User_b73a3cd7: イルカいるか？
[3:15] @User_6afafed3: イルヨ
[3:16] @User_68c37264: いるよ
[3:16] @User_6fa7330f: いるよー
[3:18] @User_63c2c07c: いるよ
[3:22] @User_69fee49e: いるよ〜！
[3:23] @User_9de46bcb: 初見です　いるよ
[3:25] @User_92c2a2e1: 今日は人間ドックだった！
[3:27] @User_a8bf8f26: おるで
[3:31] @User_b73a3cd7: いるよ　いないよ
[3:33] @User_61396d22: ぞい
[3:38] @User_94601084: いるよくるよ
[3:40] @User_3108dab9: いないよ
[3:44] @User_fe0878a1: いるよ
[3:46] @User_045fd235: ケロロの映画炎上してるね
[3:51] @User_60028655: いるよ（ROM中）
[3:59] @User_af0e3cda: 今日も1日（残り6時間）
[4:04] @User_d0c52a36: ٩( ᐛ )و💦
[4:11] @User_92c2a2e1: 💧💧💧
[4:13] @User_b22de4ab: いるよ
[4:16] @User_b68b8d0b: パンパかパンパカポー！ｖ
[4:25] @User_95021973: hi shizuku girlfriend
[4:27] @User_0f676911: いるよ！
[4:31] @User_14a33d4b: パンパカパンパカポー
[4:37] @User_78eb35f9: しずくが１８時って言ったんじゃん💦
[4:46] @User_fe0878a1: 撫でてもいいんだ…
[4:47] @User_045fd235: 私は21日から新しい仕事
[4:54] @User_af0e3cda: 点呼取ったのに勝ちとは
[4:55] @User_95021973: are you beautiful cute pretty
[5:06] @User_3108dab9: 俺が遅い！？俺がスロウリィ！？
[5:08] @User_92c2a2e1: しずくの健康チェック…だと…
[5:38] @User_0bf4870b: 遅刻しちゃった
[5:50] @User_fab1b39a: しずくの姿が見えたから仕事先から休憩中にちょっと見にきたよ
[6:01] @User_78eb35f9: あき先生……
[6:02] @User_af0e3cda: 全身を……！？
[6:03] @User_98815a23: あき先生ずるい！いいなあ
[6:04] @User_b68b8d0b: 安芸先生…？
[6:08] @User_045fd235: 今日はドラマとアニメ見まくってた
[6:15] @User_fe0878a1: しずくさんの言葉に従ったご主人様が負けか
[6:20] @User_b68b8d0b: あき先生・・・？
[6:26] @User_af0e3cda: トキ………
[6:27] @User_00abd90e: Where is Shizuku?
[6:29] @User_92c2a2e1: 隅々まで…だと…！あき先生が大量の敵を作った瞬間やw
[6:49] @User_b73a3cd7: それは皮肉ですか？・・・
[6:49] @User_d0c52a36: ごはん
[6:50] @User_b68b8d0b: 誉め言葉と受け取っておくよ
[6:53] @User_17e4818c: こんばんは
[6:53] @User_d0c52a36: ŧ‹"ŧ‹"(　˙༥˙　) ŧ‹"ŧ‹"
[6:54] @User_61396d22: 作業してる！
[6:55] @User_00abd90e: I'm working
[6:58] @User_045fd235: ゆっくりしながら見てる
[7:19] @User_78eb35f9: 揚げ餅せんべいと濃いお茶をのみながらしずくをキめてる
[7:22] @User_68c37264: 金曜日こそ早く帰らなきゃな日なんだよ…週末の家族サービスに差し支える
[7:22] @User_b73a3cd7: さっき届いたサボテンを植え付け完了したばかり
[7:22] @User_63c2c07c: ディアブロ4をプレイしながら見てる
[7:28] @User_0bf4870b: しずくのアーカイブ見ながら最新のしずくを摂取する
[7:28] @User_af0e3cda: 世間的には仕事サボり中って状態だと思われます
[7:29] @User_d0c52a36: わん
[7:31] @User_af0e3cda: わん
[7:31] @User_fe0878a1: わん
[7:34] @User_92c2a2e1: 全力で見てますよ！たまにトイレで白い💩出しますけど
[7:36] @User_3dd3ce80: わんわん
[7:36] @User_5065539d: わん
[7:37] @User_b68b8d0b: ３Dプリンターでも触ろうかな、と
