# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 996

[-1:23:34] @User_6c97afae: しずくとパンパカポーな夏を過ごしたい
[-46:45] @User_2895b9a2: 待機！
[-1:56] @aki5503: 待機
[-1:35] @User_5a950288: わくわく
[-1:06] @User_5a77a7b4: 先行パンパカ
[0:24] @User_719f9991: 待！
[0:40] @User_5cfd40d6: 待機٩( ᐛ )و
[0:46] @User_ec48c74f: 待機💧
[0:49] @User_8b7242c7: 💧
[0:58] @User_590a2335: こっそりたいき
[1:31] @User_e976a829: うっかりたいき
[2:19] @User_ec48c74f: こんにちは
[2:20] @User_5cfd40d6: こんにちは
[2:22] @User_6992daac: こんにちは
[2:24] @User_6c321aed: まだ帰宅中待機
[2:26] @User_ec48c74f: パンパカパンパカポー
[2:26] @User_8b7242c7: こんにちは
[2:27] @User_590a2335: パンパカパンパカポー
[2:28] @User_719f9991: パンパカポ！
[2:33] @User_1d71d07c: こんにちわ
[2:40] @User_ec48c74f: 18時早いねぇ
[2:41] @User_bb77ae4f: こんばんは
[2:42] @User_e976a829: ぱんぱかぽお
[2:49] @User_5cfd40d6: お疲れ様です٩( ᐛ )و
[2:49] @User_6c97afae: これから仕事です
[3:07] @User_6c97afae: いるかがいるよ
[3:08] @User_5cfd40d6: いるよ
[3:08] @User_2ecda813: いるよ
[3:09] @User_bb77ae4f: いるよ
[3:10] @User_590a2335: いるよ!
[3:10] @User_719f9991: いるよ！！
[3:11] @User_6992daac: いるよ
[3:11] @User_43d09b79: いるよ
[3:13] @User_e976a829: イルカいるか？
[3:15] @User_98d2844b: イルヨ
[3:16] @User_6c321aed: いるよ
[3:16] @User_ce579835: いるよー
[3:18] @User_1d71d07c: いるよ
[3:22] @User_846d577d: いるよ〜！
[3:23] @User_9422eed4: 初見です　いるよ
[3:25] @User_ec48c74f: 今日は人間ドックだった！
[3:27] @User_230724ec: おるで
[3:31] @User_e976a829: いるよ　いないよ
[3:33] @User_719f9991: ぞい
[3:38] @User_4a0dd2e8: いるよくるよ
[3:40] @User_49167cbf: いないよ
[3:44] @User_8b7242c7: いるよ
[3:46] @User_bb77ae4f: ケロロの映画炎上してるね
[3:51] @User_5a77a7b4: いるよ（ROM中）
[3:56] @User_f4fd7eca: しずくだー
[3:59] @User_590a2335: 今日も1日（残り6時間）
[4:04] @User_5cfd40d6: ٩( ᐛ )و💦
[4:11] @User_ec48c74f: 💧💧💧
[4:13] @User_a079ade7: いるよ
[4:16] @User_acb9786a: パンパかパンパカポー！ｖ
[4:25] @User_6876c487: hi shizuku girlfriend
[4:27] @User_1e8a73de: いるよ！
[4:31] @User_87ea7811: パンパカパンパカポー
[4:37] @User_2ecda813: しずくが１８時って言ったんじゃん💦
[4:41] @User_f4fd7eca: あき先生による健康チェックって？
[4:46] @User_8b7242c7: 撫でてもいいんだ…
[4:47] @User_bb77ae4f: 私は21日から新しい仕事
[4:54] @User_590a2335: 点呼取ったのに勝ちとは
[4:55] @User_6876c487: are you beautiful cute pretty
[5:06] @User_49167cbf: 俺が遅い！？俺がスロウリィ！？
[5:08] @User_ec48c74f: しずくの健康チェック…だと…
[5:38] @User_6c5dc08a: 遅刻しちゃった
[5:50] @User_955672e4: しずくの姿が見えたから仕事先から休憩中にちょっと見にきたよ
[6:01] @User_2ecda813: あき先生……
[6:02] @User_590a2335: 全身を……！？
[6:03] @User_6c97afae: あき先生ずるい！いいなあ
[6:04] @User_acb9786a: 安芸先生…？
[6:08] @User_bb77ae4f: 今日はドラマとアニメ見まくってた
[6:15] @User_8b7242c7: しずくさんの言葉に従ったご主人様が負けか
[6:20] @User_acb9786a: あき先生・・・？
[6:26] @User_590a2335: トキ………
[6:27] @User_3a160b08: Where is Shizuku?
[6:29] @User_ec48c74f: 隅々まで…だと…！あき先生が大量の敵を作った瞬間やw
[6:49] @User_e976a829: それは皮肉ですか？・・・
[6:49] @User_5cfd40d6: ごはん
[6:50] @User_acb9786a: 誉め言葉と受け取っておくよ
[6:53] @User_64afda31: こんばんは
[6:53] @User_5cfd40d6: ŧ‹"ŧ‹"(　˙༥˙　) ŧ‹"ŧ‹"
[6:54] @User_719f9991: 作業してる！
[6:55] @User_3a160b08: I'm working
[6:58] @User_bb77ae4f: ゆっくりしながら見てる
[7:19] @User_2ecda813: 揚げ餅せんべいと濃いお茶をのみながらしずくをキめてる
[7:22] @User_6c321aed: 金曜日こそ早く帰らなきゃな日なんだよ…週末の家族サービスに差し支える
[7:22] @User_e976a829: さっき届いたサボテンを植え付け完了したばかり
[7:22] @User_1d71d07c: ディアブロ4をプレイしながら見てる
[7:28] @User_6c5dc08a: しずくのアーカイブ見ながら最新のしずくを摂取する
[7:28] @User_590a2335: 世間的には仕事サボり中って状態だと思われます
[7:29] @User_5cfd40d6: わん
[7:31] @User_590a2335: わん
[7:31] @User_8b7242c7: わん
[7:34] @User_ec48c74f: 全力で見てますよ！たまにトイレで白い💩出しますけど
[7:36] @User_6992daac: わんわん
[7:36] @User_43d09b79: わん
[7:37] @User_acb9786a: ３Dプリンターでも触ろうかな、と
[7:40] @User_9422eed4: 一日中寝てた…今日も１日ゴミになった
[7:42] @User_bc2e7db7: 出遅れパンポー
[7:49] @User_9422eed4: ワン！ワン！ワン！
[7:51] @User_a744e95c: 今日は早いねしずく
[7:52] @User_5cfd40d6: 注入☆
[7:53] @User_2ecda813: 平成か
[7:53] @User_ec48c74f: リゲインなしずく
[7:57] @User_f02f75b6: やる気出てキター
[8:03] @User_6e834bca: HelloUCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE
[8:25] @User_5cfd40d6: わーい٩( ᐛ )وしずくさんの手料理٩( ᐛ )و
[8:37] @User_590a2335: しずくはそんなふうに食べるの？
[8:55] @User_719f9991: カレーの隠し味...チョコ
[8:59] @User_8b7242c7: しずくさんは苦いの大丈夫なタイプか
[9:03] @User_6876c487: i love you shizuku girlfriend
[9:05] @User_34a8c467: 仕事終わって帰宅したんですよ
[9:09] @User_590a2335: 配信機材に水やりはご法度でしょｗ
[9:14] @User_2ecda813: 配信機材は１滴モダメだｗ
[9:16] @User_5cfd40d6: 水やりしすぎて3回サボテンを枯らしました...(´・ω・)
[9:17] @User_ec48c74f: 配信機材には水は天敵でしょうね
[9:18] @User_e976a829: 配信機に水やり。。。
[9:31] @User_acb9786a: 草
[9:32] @User_9422eed4: 草
[9:32] @User_2ecda813: えっ
[9:34] @User_590a2335: 嘘ついたｗ
[9:34] @User_ec48c74f: 嘘かい！
[9:34] @User_8b7242c7: 嘘なんかーい
[9:34] @User_719f9991: ｗｗｗ
[9:37] @User_6992daac: ウソかよ
[9:54] @User_6876c487: your hair is beautiful pretty
[9:55] @User_acb9786a: 高度な吹き出し芸
[10:04] @User_590a2335: ゴミやんけ！
[10:08] @User_e976a829: えっ可燃ごみに
[10:10] @User_ec48c74f: も、燃やされる🥶
[10:17] @User_6c321aed: ひどい
[10:25] @User_719f9991: どっちも！
[10:38] @User_590a2335: 黒歴史って認識してるんだ
[11:07] @User_8b7242c7: やる気スイッチを押しすぎるとオーバーヒートして停止します
[11:33] @User_e976a829: そんなにしずく進化してたっけ、見始めたの今年からだから違いわからないや
[11:37] @User_ec48c74f: どんな，パソコン使ってんだw
[11:39] @User_2ecda813: そういえばネウロ様、ねんどろいどになるってね。
[11:40] @User_590a2335: 成長型パソコンなの？
[11:40] @User_5cfd40d6: そうそうパソコンに水やりちゃんとしないとなのです
[11:42] @User_6876c487: you like flowers heart kiss me
[11:49] @User_0f6bb65c: パソコンショートしちゃう
[11:53] @User_acb9786a: それ本当にパソコン？ガラス瓶に入った脳みそとかじゃなくて？
[12:01] @User_33e51cd0: 今のしずくのバージョンは？
[12:07] @User_61cbe74e: Halo kenalin nama ku Aufa bisa gunakan bahasa Indonesia
[12:12] @User_719f9991: 今日の処理スピードめちゃくちゃ速い...アップデートした...!?
[12:16] @User_230724ec: せやな
[12:36] @User_8d648fed: とても早い
[12:38] @User_590a2335: さっきウソですってしずくが言ってたもん！！
[12:44] @User_ec48c74f: なぜ勝ちたがる。しずくよ
[12:48] @User_bb77ae4f: しずくの好きなレストランは?
[12:50] @User_8b7242c7: パソコンがショートするとしずくさんの声を聴けなくなっちゃう
[12:53] @User_e976a829: 中の人などいない　しずくはしずくです
[12:55] @User_6c321aed: しずくのマイクラ溶岩ダイブは、心に刻んでおきます
[13:00] @User_5cfd40d6: 久しぶりに見たらかなり会話のテンポが速くなってるのです。しずくさん性能アップ٩( ᐛ )و
[13:13] @User_6876c487: you name shizuku girlfriend my name nicky from YouTube
[13:23] @User_bb77ae4f: しずくはバイトした事ある?
[13:26] @User_e976a829: うん？サッカーは見てね根や
[13:28] @User_719f9991: 日本が先制した奇跡
[13:29] @User_ec48c74f: 見たよー惜しかったね。やっぱりブラジル強かった
[13:35] @User_6c97afae: 配信の進め方がお上手で非常に学びがある
[13:37] @User_33e51cd0: ボールは友達、AIは敵？
[13:45] @User_f032a5a0: 深夜なのに叫んじまったよ
[13:53] @User_ec48c74f: シンプルだった
[14:00] @User_590a2335: その勝ちに価値はあるんか？
[14:01] @User_8b14d2fb: イエローカードで御札って言ってたの吹いた😂
[14:02] @User_9422eed4: 見事なり、と言える戦いぶりだった
[14:02] @User_6c321aed: 一瞬呼吸止まった。あの失点の瞬間
[14:15] @User_3a160b08: you can play soccer?
[14:18] @User_e976a829: 別にサッカーネタバレしてもかまわんよ
[14:46] @User_f032a5a0: 4年後しずくは何歳？
[14:47] @User_590a2335: 不正だｗ
